Cycle	Average Remaining	Standard Deviation

0	100.0	0.0
1	100.0	0.0
2	100.0	0.0
3	100.0	0.0
4	100.0	0.0
5	100.0	0.0
6	100.0	0.0
7	100.0	0.0
8	100.0	0.0
9	100.0	0.0
10	100.0	0.0
11	100.0	0.0
12	100.0	0.0
13	100.0	0.0
14	100.0	0.0
15	100.0	0.0
16	100.0	0.0
17	100.0	0.0
18	100.0	0.0
19	100.0	0.0
20	78.33333333333333	1.6666666666666714
21	72.33333333333333	12.665204593981397
22	72.47191011235955	12.904727952766265
23	72.67441860465117	12.640235533948907
24	72.65060240963855	12.45983531223944
25	72.375	12.660840216984022
26	66.66666666666667	15.233229534517033
27	66.28205128205128	15.041581637987909
28	65.97402597402598	14.83705844347815
29	66.0	14.823404916999783
30	68.07228915662651	14.189272790782924
31	69.4954128440367	15.58533071374425
32	69.62085308056872	15.731813263689574
33	69.36274509803921	15.960757214410698
34	69.48979591836735	16.02430733779082
35	69.43589743589743	16.064138375550982
36	65.6842105263158	17.71879450386961
37	65.52631578947368	17.805116137358365
38	65.80645161290323	18.040979290203914
39	65.98901098901099	17.860185708627817
40	65.76271186440678	17.75755736657805
41	61.264367816091955	20.16185006830409
42	61.04651162790697	20.595843043586257
43	60.88235294117647	20.62895133587729
44	60.83832335329341	20.701595627623384
45	60.91463414634146	20.664255406787692
46	56.58385093167702	22.17747940072836
47	55.5	22.15851980616034
48	55.064935064935064	22.517023787861348
49	54.729729729729726	22.664462646536442
50	54.62068965517241	22.953916506697336
51	49.72222222222222	24.705831020626555
52	49.07801418439716	24.62086130761057
53	48.30882352941177	25.07525438261677
54	47.803030303030305	25.624097108329117
55	47.5968992248062	25.95105246364616
56	43.38709677419355	27.03862808925431
57	43.2520325203252	27.12110310424552
58	43.22314049586777	27.34875453656311
59	43.109243697478995	27.505961631758346
60	44.24	27.308489522490994
61	51.898148148148145	24.518817484470258
62	52.132701421800945	24.73761138689414
63	52.28155339805825	24.478007927315794
64	51.93069306930693	24.772516638996308
65	52.82178217821782	25.001568424479903
66	52.85	25.245247077420302
67	52.44897959183673	25.82741554213285
68	52.22222222222222	25.511809809210494
69	52.22222222222222	25.827060170236898
70	52.752808988764045	25.40524972911629
