Cycle	Now Cost	Total Cost

0	9552	9552
1	719	10271
2	215	10486
3	47	10533
4	10	10543
5	6053	16596
6	869	17465
7	68	17533
8	36	17569
9	3	17572
10	4624	22196
11	398	22594
12	112	22706
13	0	22706
14	0	22706
15	6186	28892
16	702	29594
17	128	29722
18	79	29801
19	8	29809
20	9232	39041
21	879	39920
22	225	40145
23	74	40219
24	23	40242
25	1659	41901
26	0	41901
27	145	42046
28	182	42228
29	0	42228
30	7183	49411
31	936	50347
32	252	50599
33	72	50671
34	13	50684
35	1455	52139
36	607	52746
37	98	52844
38	15	52859
39	0	52859
40	6677	59536
41	497	60033
42	221	60254
43	3	60257
44	0	60257
45	7921	68178
46	846	69024
47	156	69180
48	60	69240
49	7	69247
50	237	69484
51	0	69484
52	7	69491
53	0	69491
54	14	69505
55	6747	76252
56	548	76800
57	101	76901
58	29	76930
59	6	76936
60	8884	85820
61	812	86632
62	246	86878
63	68	86946
64	46	86992
65	8177	95169
66	921	96090
67	198	96288
68	82	96370
69	22	96392
70	9756	106148
71	1018	107166
72	259	107425
73	44	107469
74	12	107481
75	6454	113935
76	773	114708
77	111	114819
78	15	114834
79	7	114841
80	10591	125432
81	1005	126437
82	249	126686
83	51	126737
84	30	126767
85	6692	133459
86	1069	134528
87	240	134768
88	66	134834
89	16	134850
90	8044	142894
91	842	143736
92	211	143947
93	43	143990
94	5	143995
95	0	143995
96	0	143995
97	0	143995
98	0	143995
99	0	143995
100	6074	150069
101	693	150762
102	277	151039
103	36	151075
104	13	151088
105	1535	152623
106	632	153255
107	106	153361
108	20	153381
109	97	153478
110	8750	162228
111	877	163105
112	224	163329
113	72	163401
114	5	163406
115	5648	169054
116	659	169713
117	124	169837
118	26	169863
119	25	169888
120	7080	176968
121	794	177762
122	158	177920
123	25	177945
124	12	177957
125	10972	188929
126	957	189886
127	299	190185
128	52	190237
129	10	190247
130	2115	192362
131	1385	193747
132	240	193987
133	171	194158
134	0	194158
135	7753	201911
136	815	202726
137	185	202911
138	58	202969
139	9	202978
140	9741	212719
141	1110	213829
142	293	214122
143	82	214204
144	26	214230
145	2539	216769
146	582	217351
147	79	217430
148	2	217432
149	0	217432
150	8586	226018
151	1021	227039
152	312	227351
153	86	227437
154	30	227467
155	2491	229958
156	572	230530
157	315	230845
158	59	230904
159	0	230904
160	4383	235287
161	1103	236390
162	288	236678
163	41	236719
164	27	236746
165	5890	242636
166	814	243450
167	218	243668
168	76	243744
169	10	243754
170	7234	250988
171	981	251969
172	305	252274
173	80	252354
174	30	252384
175	9361	261745
176	1222	262967
177	268	263235
178	65	263300
179	36	263336
180	11209	274545
181	1173	275718
182	308	276026
183	90	276116
184	11	276127
