Cycle	Cumulative Occupancy

0	1100.0
1	2900.0
2	5390.0
3	8530.0
4	12430.0
5	17330.0
6	23090.0
7	29630.0
8	36740.0
9	44540.0
10	53410.0
11	62800.0
12	72650.0
13	83090.0
14	93930.0
15	105160.0
16	117030.0
17	129290.0
18	141750.0
19	154330.0
20	167030.0
21	179850.0
22	192740.0
23	205690.0
24	218630.0
25	231810.0
26	244980.0
27	258030.0
28	270880.0
29	283470.0
30	295880.0
31	308050.0
32	320020.0
33	331800.0
34	343440.0
35	354930.0
36	366240.0
37	377360.0
38	388230.0
39	398900.0
40	409430.0
41	419740.0
42	429910.0
43	439780.0
44	449460.0
45	458940.0
46	468290.0
47	477530.0
48	486470.0
49	495250.0
50	503870.0
51	512380.0
52	520690.0
53	528830.0
54	536800.0
55	545200.0
56	553380.0
57	561380.0
58	569280.0
59	577040.0
60	584790.0
61	592310.0
62	599670.0
63	606910.0
64	614000.0
65	621010.0
66	627770.0
67	634460.0
68	640960.0
69	647350.0
70	653920.0
71	660370.0
72	666700.0
73	672950.0
74	679060.0
75	685230.0
76	691220.0
77	697050.0
78	702800.0
79	708420.0
80	713990.0
81	719330.0
82	724530.0
83	729630.0
84	734690.0
85	739670.0
86	744580.0
87	749410.0
88	754190.0
89	758890.0
90	763650.0
91	768350.0
92	773010.0
93	777550.0
94	782070.0
95	786560.0
96	790960.0
97	795310.0
98	799610.0
99	803770.0
100	807980.0
101	812080.0
102	816180.0
103	820240.0
104	824250.0
105	828360.0
106	832430.0
107	836480.0
108	840510.0
109	844530.0
110	848630.0
111	852690.0
112	856650.0
113	860550.0
114	864370.0
115	868260.0
116	872130.0
117	876000.0
118	879870.0
119	883710.0
120	887600.0
121	891450.0
122	895290.0
123	899120.0
124	902900.0
125	906730.0
126	910540.0
127	914310.0
128	918060.0
129	921800.0
130	925590.0
131	929360.0
132	933100.0
133	936820.0
134	940480.0
135	944220.0
136	947950.0
137	951630.0
138	955290.0
139	958910.0
140	962620.0
141	966330.0
142	969980.0
143	973580.0
144	977170.0
145	980850.0
146	984540.0
147	988230.0
148	991890.0
149	995550.0
150	999260.0
151	1002950.0
152	1006610.0
153	1010240.0
154	1013840.0
155	1017530.0
156	1021180.0
157	1024810.0
158	1028420.0
159	1032030.0
160	1036170.0
161	1040260.0
162	1044350.0
163	1048430.0
164	1052500.0
165	1056690.0
166	1060850.0
167	1064980.0
168	1069090.0
169	1073190.0
170	1077370.0
171	1081530.0
172	1085650.0
173	1089740.0
174	1093820.0
175	1097960.0
176	1102070.0
177	1106150.0
178	1110210.0
179	1114250.0
180	1118750.0
181	1123190.0
182	1127610.0
183	1132000.0
184	1136330.0
185	1140700.0
186	1145050.0
187	1149390.0
188	1153700.0
189	1157970.0
190	1162320.0
191	1166630.0
192	1170920.0
193	1175150.0
194	1179360.0
195	1183870.0
196	1188330.0
197	1192760.0
198	1197170.0
199	1201520.0
200	1206090.0
201	1210590.0
202	1215020.0
203	1219410.0
204	1223770.0
205	1228320.0
206	1232830.0
207	1237320.0
208	1241770.0
209	1246180.0
210	1250830.0
211	1255420.0
212	1260000.0
213	1264480.0
214	1268900.0
215	1273390.0
216	1277850.0
217	1282260.0
218	1286600.0
219	1290880.0
220	1295180.0
221	1299430.0
222	1303600.0
223	1307690.0
224	1311700.0
225	1315770.0
226	1319790.0
227	1323750.0
228	1327690.0
229	1331570.0
230	1335710.0
231	1339800.0
232	1343860.0
233	1347860.0
234	1351830.0
235	1355950.0
236	1360020.0
237	1364060.0
238	1368040.0
239	1371970.0
240	1375930.0
241	1379860.0
242	1383750.0
243	1387580.0
244	1391350.0
245	1395190.0
246	1398990.0
247	1402710.0
248	1406390.0
249	1410050.0
250	1413660.0
251	1417240.0
252	1420800.0
253	1424310.0
254	1427780.0
255	1431220.0
256	1434620.0
257	1437980.0
258	1441300.0
259	1444600.0
260	1447900.0
261	1451180.0
262	1454440.0
263	1457680.0
264	1460870.0
265	1464050.0
266	1467180.0
267	1470290.0
268	1473380.0
269	1476410.0
270	1479400.0
271	1482340.0
272	1485240.0
273	1488100.0
274	1490920.0
275	1493720.0
276	1496490.0
277	1499240.0
278	1501990.0
279	1504730.0
280	1507460.0
281	1510150.0
282	1512810.0
283	1515440.0
284	1518060.0
285	1520660.0
286	1523250.0
287	1525790.0
288	1528330.0
289	1530850.0
290	1533370.0
291	1535880.0
292	1538380.0
293	1540850.0
294	1543290.0
295	1545700.0
296	1548100.0
297	1550490.0
298	1552880.0
299	1555220.0
300	1557540.0
301	1559850.0
302	1562140.0
303	1564410.0
304	1566670.0
305	1568900.0
306	1571110.0
307	1573290.0
308	1575440.0
309	1577580.0
310	1579720.0
311	1581830.0
312	1583940.0
313	1586030.0
314	1588100.0
315	1590150.0
316	1592200.0
317	1594250.0
318	1596300.0
319	1598320.0
320	1600310.0
321	1602260.0
322	1604190.0
323	1606120.0
324	1608040.0
325	1609950.0
326	1611840.0
327	1613710.0
328	1615560.0
329	1617410.0
330	1619220.0
331	1621010.0
332	1622780.0
333	1624520.0
334	1626250.0
335	1627940.0
336	1629630.0
337	1631310.0
338	1632990.0
339	1634660.0
340	1636300.0
341	1637910.0
342	1639520.0
343	1641110.0
344	1642670.0
345	1644210.0
346	1645730.0
347	1647250.0
348	1648740.0
349	1650180.0
350	1651610.0
351	1653020.0
352	1654430.0
353	1655830.0
354	1657230.0
355	1658590.0
356	1659890.0
357	1661170.0
358	1662370.0
359	1663550.0
360	1664720.0
361	1665880.0
362	1667040.0
363	1668190.0
364	1669320.0
365	1670450.0
366	1671570.0
367	1672670.0
368	1673750.0
369	1674800.0
370	1675830.0
371	1676850.0
372	1677870.0
373	1678880.0
374	1679880.0
375	1680870.0
376	1681850.0
377	1682830.0
378	1683800.0
379	1684750.0
380	1685680.0
381	1686590.0
382	1687460.0
383	1688300.0
384	1689130.0
385	1689950.0
386	1690750.0
387	1691520.0
388	1692280.0
389	1693020.0
390	1693750.0
391	1694470.0
392	1695180.0
393	1695880.0
394	1696580.0
395	1697260.0
396	1697920.0
397	1698570.0
398	1699200.0
399	1699820.0
400	1700430.0
401	1701020.0
402	1701580.0
403	1702130.0
404	1702680.0
405	1703220.0
406	1703750.0
407	1704280.0
408	1704810.0
409	1705320.0
410	1705820.0
411	1706310.0
412	1706800.0
413	1707280.0
414	1707760.0
415	1708210.0
416	1708660.0
417	1709110.0
418	1709550.0
419	1709990.0
420	1710430.0
421	1710860.0
422	1711280.0
423	1711700.0
424	1712120.0
425	1712540.0
426	1712940.0
427	1713340.0
428	1713740.0
429	1714120.0
430	1714490.0
431	1714860.0
432	1715230.0
433	1715600.0
434	1715960.0
435	1716310.0
436	1716650.0
437	1716990.0
438	1717330.0
439	1717670.0
440	1718000.0
441	1718310.0
442	1718620.0
443	1718920.0
444	1719220.0
445	1719480.0
446	1719740.0
447	1719990.0
448	1720220.0
449	1720440.0
450	1720640.0
451	1720830.0
452	1721010.0
453	1721180.0
454	1721350.0
455	1721520.0
456	1721690.0
457	1721860.0
458	1722030.0
459	1722200.0
460	1722350.0
461	1722500.0
462	1722630.0
463	1722750.0
464	1722870.0
465	1722990.0
466	1723100.0
467	1723210.0
468	1723320.0
469	1723430.0
470	1723540.0
471	1723650.0
472	1723760.0
473	1723870.0
474	1723980.0
475	1724090.0
476	1724200.0
477	1724310.0
478	1724420.0
479	1724530.0
480	1724640.0
481	1724750.0
482	1724860.0
483	1724970.0
484	1725080.0
485	1725190.0
486	1725290.0
487	1725390.0
488	1725490.0
489	1725590.0
490	1725690.0
491	1725790.0
492	1725890.0
493	1725990.0
494	1726090.0
495	1726190.0
496	1726280.0
497	1726360.0
498	1726440.0
499	1726520.0
