Cycle	Cumulative Occupancy

0	7340.0
1	18780.0
2	31420.0
3	44300.0
4	57150.0
5	72510.0
6	89410.0
7	106710.0
8	123920.0
9	141000.0
10	164710.0
11	192310.0
12	220640.0
13	248690.0
14	276210.0
15	303610.0
16	330610.0
17	357020.0
18	382970.0
19	408570.0
20	437990.0
21	469410.0
22	500820.0
23	531650.0
24	561870.0
25	597910.0
26	636840.0
27	676130.0
28	715000.0
29	753020.0
30	796040.0
31	841470.0
32	887010.0
33	932090.0
34	976180.0
35	1025580.0
36	1077430.0
37	1129100.0
38	1179870.0
39	1229550.0
40	1278750.0
41	1327130.0
42	1374700.0
43	1420850.0
44	1466390.0
45	1516930.0
46	1570130.0
47	1623400.0
48	1675780.0
49	1727200.0
50	1779090.0
51	1830980.0
52	1882310.0
53	1932320.0
54	1981330.0
55	2031470.0
56	2081490.0
57	2131070.0
58	2179830.0
59	2227650.0
60	2280930.0
61	2337180.0
62	2393430.0
63	2448810.0
64	2503010.0
65	2560890.0
66	2620610.0
67	2679680.0
68	2736950.0
69	2792870.0
70	2847620.0
71	2901320.0
72	2954140.0
73	3005920.0
74	3056690.0
75	3111300.0
76	3167770.0
77	3223770.0
78	3278880.0
79	3332830.0
80	3389220.0
81	3446820.0
82	3504100.0
83	3560150.0
84	3614960.0
85	3669900.0
86	3724410.0
87	3777780.0
88	3830300.0
89	3881890.0
90	3935860.0
91	3990170.0
92	4044200.0
93	4097260.0
94	4149120.0
95	4206130.0
96	4266270.0
97	4325570.0
98	4383780.0
99	4441430.0
100	4498380.0
101	4554420.0
102	4609740.0
103	4664070.0
104	4717370.0
105	4776210.0
106	4838210.0
107	4900630.0
108	4962020.0
109	5021710.0
110	5087060.0
111	5155570.0
112	5223730.0
113	5291180.0
114	5357160.0
115	5422690.0
116	5487740.0
117	5551420.0
118	5614290.0
119	5675950.0
120	5737740.0
121	5799450.0
122	5860160.0
123	5919990.0
124	5978130.0
125	6035380.0
126	6091590.0
127	6146570.0
128	6200570.0
129	6253420.0
130	6312520.0
131	6374290.0
132	6436070.0
133	6497050.0
134	6556820.0
135	6617080.0
136	6676640.0
137	6735470.0
138	6793320.0
139	6849710.0
140	6905000.0
141	6959220.0
142	7012260.0
143	7064470.0
144	7115450.0
145	7165950.0
146	7215890.0
147	7265130.0
148	7313270.0
149	7360450.0
150	7406990.0
151	7452750.0
152	7497550.0
153	7541640.0
154	7584670.0
155	7632520.0
156	7682730.0
157	7732870.0
158	7782250.0
159	7830620.0
160	7881350.0
161	7933620.0
162	7985610.0
163	8036450.0
164	8086680.0
165	8135880.0
166	8184240.0
167	8231850.0
168	8278490.0
169	8324380.0
170	8374530.0
171	8427410.0
172	8480300.0
173	8532220.0
174	8582860.0
175	8634570.0
176	8686840.0
177	8738370.0
178	8788620.0
179	8837660.0
180	8886790.0
181	8935720.0
182	8983970.0
183	9030660.0
184	9076140.0
185	9125570.0
186	9177190.0
187	9229090.0
188	9280080.0
189	9329670.0
190	9378850.0
191	9427700.0
192	9475770.0
193	9523050.0
194	9569700.0
195	9619790.0
196	9671780.0
197	9723110.0
198	9773570.0
199	9823220.0
200	9871660.0
201	9918970.0
202	9965020.0
203	1.000978E7
204	1.005383E7
205	1.01028E7
206	1.015497E7
207	1.02073E7
208	1.025905E7
209	1.030955E7
210	1.036199E7
211	1.04153E7
212	1.046765E7
213	1.051913E7
214	1.056941E7
215	1.061843E7
216	1.06659E7
217	1.071231E7
218	1.075728E7
219	1.080136E7
220	1.08449E7
221	1.088764E7
222	1.092967E7
223	1.097068E7
224	1.10102E7
225	1.104919E7
226	1.108758E7
227	1.112534E7
228	1.11621E7
229	1.119796E7
230	1.12391E7
231	1.128286E7
232	1.132699E7
233	1.137032E7
234	1.141289E7
235	1.145448E7
236	1.149796E7
237	1.15411E7
238	1.158384E7
239	1.162532E7
240	1.166943E7
241	1.171506E7
242	1.176061E7
243	1.180509E7
244	1.184873E7
245	1.189171E7
246	1.193407E7
247	1.197546E7
248	1.20153E7
249	1.205429E7
250	1.209252E7
251	1.212954E7
252	1.216566E7
253	1.220106E7
254	1.223536E7
255	1.226862E7
256	1.230104E7
257	1.233266E7
258	1.23636E7
259	1.239397E7
260	1.242393E7
261	1.245345E7
262	1.248218E7
263	1.251045E7
264	1.253825E7
265	1.256559E7
266	1.259242E7
267	1.261869E7
268	1.264433E7
269	1.266945E7
270	1.269392E7
271	1.271788E7
272	1.274125E7
273	1.276424E7
274	1.27867E7
275	1.280874E7
276	1.283026E7
277	1.285105E7
278	1.2871E7
279	1.289034E7
280	1.290948E7
281	1.292822E7
282	1.294683E7
283	1.296529E7
284	1.298339E7
285	1.300092E7
286	1.301805E7
287	1.303468E7
288	1.305095E7
289	1.306657E7
290	1.308183E7
291	1.309652E7
292	1.311094E7
293	1.312514E7
294	1.313913E7
295	1.31529E7
296	1.316643E7
297	1.317975E7
298	1.319289E7
299	1.320584E7
300	1.32186E7
301	1.323088E7
302	1.324291E7
303	1.325475E7
304	1.326617E7
305	1.327738E7
306	1.328831E7
307	1.329908E7
308	1.330963E7
309	1.332003E7
310	1.333028E7
311	1.334039E7
312	1.335036E7
313	1.336011E7
314	1.33697E7
315	1.33792E7
316	1.338835E7
317	1.33974E7
318	1.340621E7
319	1.341494E7
320	1.342357E7
321	1.343205E7
322	1.344038E7
323	1.344843E7
324	1.345604E7
325	1.346349E7
326	1.347083E7
327	1.347794E7
328	1.348464E7
329	1.349129E7
330	1.349771E7
331	1.350403E7
332	1.351009E7
333	1.351611E7
334	1.352189E7
335	1.352755E7
336	1.35332E7
337	1.35386E7
338	1.354396E7
339	1.354922E7
340	1.355435E7
341	1.355941E7
342	1.356442E7
343	1.356941E7
344	1.357436E7
345	1.357909E7
346	1.358382E7
347	1.358854E7
348	1.359321E7
349	1.35977E7
350	1.360216E7
351	1.36065E7
352	1.36108E7
353	1.361502E7
354	1.361911E7
355	1.362319E7
356	1.362711E7
357	1.363096E7
358	1.363469E7
359	1.363842E7
360	1.364214E7
361	1.364586E7
362	1.364948E7
363	1.365305E7
364	1.365652E7
365	1.365989E7
366	1.366322E7
367	1.366638E7
368	1.36695E7
369	1.367261E7
370	1.367565E7
371	1.367868E7
372	1.368169E7
373	1.36845E7
374	1.368728E7
375	1.369003E7
376	1.369271E7
377	1.369535E7
378	1.369779E7
379	1.370009E7
380	1.370238E7
381	1.370447E7
382	1.370651E7
383	1.370849E7
384	1.371045E7
385	1.37124E7
386	1.371434E7
387	1.371626E7
388	1.371817E7
389	1.372004E7
390	1.372189E7
391	1.372374E7
392	1.372556E7
393	1.372738E7
394	1.372914E7
395	1.373078E7
396	1.373233E7
397	1.373385E7
398	1.373533E7
399	1.373681E7
400	1.373829E7
401	1.373974E7
402	1.37411E7
403	1.374246E7
404	1.374381E7
405	1.374516E7
406	1.374643E7
