Cycle	Cumulative Occupancy

0	7340.0
1	18780.0
2	31420.0
3	44300.0
4	57150.0
5	72520.0
6	89430.0
7	106740.0
8	123960.0
9	141050.0
10	164780.0
11	192400.0
12	220760.0
13	248850.0
14	276420.0
15	303890.0
16	330980.0
17	357490.0
18	383570.0
19	409320.0
20	438880.0
21	470470.0
22	502090.0
23	533170.0
24	563680.0
25	600060.0
26	639360.0
27	679060.0
28	718370.0
29	756850.0
30	800370.0
31	846320.0
32	892420.0
33	938090.0
34	982810.0
35	1032900.0
36	1085440.0
37	1137860.0
38	1189440.0
39	1239980.0
40	1290080.0
41	1339370.0
42	1387900.0
43	1435040.0
44	1481640.0
45	1533250.0
46	1587590.0
47	1642070.0
48	1695660.0
49	1748350.0
50	1801580.0
51	1854860.0
52	1907630.0
53	1959160.0
54	2009710.0
55	2061470.0
56	2113190.0
57	2164480.0
58	2215010.0
59	2264660.0
60	2319890.0
61	2378170.0
62	2436520.0
63	2494050.0
64	2550410.0
65	2610490.0
66	2672460.0
67	2733900.0
68	2793640.0
69	2851960.0
70	2909180.0
71	2965330.0
72	3020720.0
73	3075200.0
74	3128810.0
75	3186300.0
76	3245740.0
77	3304710.0
78	3362890.0
79	3420030.0
80	3479660.0
81	3540470.0
82	3601090.0
83	3660630.0
84	3718990.0
85	3777540.0
86	3835770.0
87	3892970.0
88	3949450.0
89	4004970.0
90	4062910.0
91	4121190.0
92	4179300.0
93	4236480.0
94	4292600.0
95	4353890.0
96	4418450.0
97	4482120.0
98	4544770.0
99	4607030.0
100	4668620.0
101	4729370.0
102	4789590.0
103	4848880.0
104	4907230.0
105	4971040.0
106	5038070.0
107	5105650.0
108	5172280.0
109	5237400.0
110	5308150.0
111	5382010.0
112	5455580.0
113	5528620.0
114	5600230.0
115	5671520.0
116	5742330.0
117	5811760.0
118	5880460.0
119	5948080.0
120	6015840.0
121	6083570.0
122	6150420.0
123	6216590.0
124	6281150.0
125	6345040.0
126	6408030.0
127	6469910.0
128	6531030.0
129	6591210.0
130	6657590.0
131	6726710.0
132	6795870.0
133	6864410.0
134	6931950.0
135	6999860.0
136	7067260.0
137	7134170.0
138	7200330.0
139	7265140.0
140	7328960.0
141	7391580.0
142	7453200.0
143	7513820.0
144	7573470.0
145	7632840.0
146	7691700.0
147	7750140.0
148	7807760.0
149	7864490.0
150	7920720.0
151	7976360.0
152	8030900.0
153	8084760.0
154	8137190.0
155	8194370.0
156	8253890.0
157	8313520.0
158	8372560.0
159	8430690.0
160	8491110.0
161	8552920.0
162	8614560.0
163	8675190.0
164	8735250.0
165	8794470.0
166	8853150.0
167	8911240.0
168	8968450.0
169	9025050.0
170	9085700.0
171	9149160.0
172	9212680.0
173	9275390.0
174	9336970.0
175	9399570.0
176	9462740.0
177	9525190.0
178	9586380.0
179	9646490.0
180	9706860.0
181	9767270.0
182	9827250.0
183	9885270.0
184	9942200.0
185	1.000317E7
186	1.006627E7
187	1.012988E7
188	1.01926E7
189	1.025414E7
190	1.031515E7
191	1.037615E7
192	1.043668E7
193	1.049665E7
194	1.055612E7
195	1.06189E7
196	1.06835E7
197	1.074735E7
198	1.081028E7
199	1.087264E7
200	1.09337E7
201	1.099381E7
202	1.105273E7
203	1.111032E7
204	1.116722E7
205	1.122879E7
206	1.129354E7
207	1.135837E7
208	1.142247E7
209	1.148516E7
210	1.154978E7
211	1.161536E7
212	1.168019E7
213	1.174443E7
214	1.180771E7
215	1.187004E7
216	1.193065E7
217	1.199045E7
218	1.204892E7
219	1.210664E7
220	1.216406E7
221	1.222077E7
222	1.227695E7
223	1.233221E7
224	1.238608E7
225	1.243943E7
226	1.249243E7
227	1.254484E7
228	1.259628E7
229	1.264693E7
230	1.270253E7
231	1.276057E7
232	1.281906E7
233	1.28769E7
234	1.293404E7
235	1.299043E7
236	1.304857E7
237	1.310644E7
238	1.316416E7
239	1.322074E7
240	1.327969E7
241	1.334017E7
242	1.340078E7
243	1.346036E7
244	1.351945E7
245	1.357797E7
246	1.363598E7
247	1.369314E7
248	1.374895E7
249	1.380414E7
250	1.385864E7
251	1.391184E7
252	1.39643E7
253	1.401629E7
254	1.406744E7
255	1.411741E7
256	1.416687E7
257	1.421572E7
258	1.426404E7
259	1.431158E7
260	1.435855E7
261	1.440528E7
262	1.445119E7
263	1.449707E7
264	1.454251E7
265	1.458771E7
266	1.463268E7
267	1.467717E7
268	1.472118E7
269	1.476489E7
270	1.480821E7
271	1.485091E7
272	1.489332E7
273	1.493569E7
274	1.49776E7
275	1.501898E7
276	1.505956E7
277	1.509976E7
278	1.513876E7
279	1.517709E7
280	1.521527E7
281	1.525341E7
282	1.529147E7
283	1.532978E7
284	1.536777E7
285	1.540542E7
286	1.544248E7
287	1.547908E7
288	1.551526E7
289	1.555086E7
290	1.55863E7
291	1.562121E7
292	1.565616E7
293	1.569076E7
294	1.572501E7
295	1.575922E7
296	1.579303E7
297	1.582665E7
298	1.586039E7
299	1.5894E7
300	1.592725E7
301	1.596025E7
302	1.599325E7
303	1.602583E7
304	1.605819E7
305	1.609052E7
306	1.61227E7
307	1.615502E7
308	1.618719E7
309	1.621921E7
310	1.625115E7
311	1.628314E7
312	1.631499E7
313	1.63468E7
314	1.63785E7
315	1.641021E7
316	1.64412E7
317	1.647233E7
318	1.650318E7
319	1.65336E7
320	1.656375E7
321	1.659365E7
322	1.662347E7
323	1.66531E7
324	1.668222E7
325	1.671139E7
326	1.674036E7
327	1.676953E7
328	1.679851E7
329	1.682675E7
330	1.685466E7
331	1.688257E7
332	1.690999E7
333	1.693731E7
334	1.696412E7
335	1.699071E7
336	1.701736E7
337	1.70435E7
338	1.70697E7
339	1.709572E7
340	1.712165E7
341	1.714776E7
342	1.717402E7
343	1.720056E7
344	1.722673E7
345	1.725269E7
346	1.727874E7
347	1.730495E7
348	1.733115E7
349	1.735718E7
350	1.738299E7
351	1.740862E7
352	1.743401E7
353	1.745926E7
354	1.748417E7
355	1.75093E7
356	1.753437E7
357	1.755946E7
358	1.758432E7
359	1.760928E7
360	1.76346E7
361	1.765992E7
362	1.768534E7
363	1.771065E7
364	1.773605E7
365	1.776145E7
366	1.778681E7
367	1.781204E7
368	1.783756E7
369	1.786315E7
370	1.788875E7
371	1.791422E7
372	1.793971E7
373	1.796536E7
374	1.799098E7
375	1.801682E7
376	1.804269E7
377	1.806848E7
378	1.809391E7
379	1.811927E7
380	1.814482E7
381	1.817036E7
382	1.819565E7
383	1.822083E7
384	1.824584E7
385	1.827097E7
386	1.829606E7
387	1.832124E7
388	1.834638E7
389	1.837138E7
390	1.839638E7
391	1.842172E7
392	1.844708E7
393	1.847252E7
394	1.849807E7
395	1.852382E7
396	1.854987E7
397	1.857594E7
398	1.860211E7
399	1.862817E7
400	1.865443E7
401	1.868062E7
402	1.870663E7
403	1.87324E7
404	1.875817E7
