cycle Data5 Data15 Data25 Data35 Data45
0
1
2
3
4
5
6
7
8
9
10
11
12
13
14
15
16
17
18
19
20
21
22
23
24
25
26     0
27     0
28     0
29     4
30    15
31    26
32    34
33    44
34    64
35    82
36   101
37   115
38   134
39   164
40   191
41   220
42   248
43   269
44   291
45   324
46   361
47   396
48   425
49   463
50   507
51   542
52   567
53   604
54   628
55   662
56   705
57   745
58   782
59   820
60   848
61   880
62   919
63   964
64  1001
65  1039
66  1077
67  1111
68  1148
69  1192
70  1224
71  1259
72  1287
73  1287
74  1287
75  1287
76  1286     0
77  1282     0
78  1277     0
79  1270    10
80  1261    16
81  1249    30
82  1235    44
83  1217    53
84  1195    74
85  1182    99
86  1164   114
87  1145   133
88  1123   149
89  1101   168
90  1073   193
91  1049   208
92  1025   230
93   989   264
94   960   289
95   936   335
96   898   367
97   863   408
98   816   408
99   783   408
100   748   408
101   715   407
102   685   403
103   665   400
104   618   387
105   579   374
106   534   370
107   498   349
108   470   332
109   441   315
110   405   290
111   367   276
112   329   260
113   293   242
114   251   222
115   217   200
116   183   172
117   138   143
118   103   113
119    63    75
120    37    47
121    16    21
122     6     8
123     0     0
124     0     0
125     0     0
126     0     0     0
127     0     0     0
128     0     0     0
129     0     0     8
130     0     0    17
131     0     0    24
132     0     0    35
133     0     0    43
134     0     0    64
135     0     0    87
136     0     0    96
137     0     0   114
138     0     0   133
139     0     0   160
140     0     0   186
141     0     0   210
142     0     0   238
143     0     0   272
144     0     0   303
145     0     0   336
146     0     0   369
147     0     0   396
148     0     0   420
149     0     0   459
150     0     0   504
151     0     0   549
152     0     0   592
153     0     0   631
154     0     0   660
155     0     0   689
156     0     0   728
157     0     0   765
158     0     0   794
159     0     0   826
160     0     0   860
161     0     0   908
162     0     0   942
163     0     0   942
164     0     0   942
165     0     0   942
166     0     0   941
167     0     0   939
168     0     0   929
169     0     0   926
170     0     0   912
171     0     0   903
172     0     0   891
173     0     0   883
174     0     0   867
175     0     0   846
176     0     0   821     0
177     0     0   808     0
178     0     0   785     0
179     0     0   759    15
180     0     0   734    24
181     0     0   708    37
182     0     0   674    53
183     0     0   644    61
184     0     0   610    77
185     0     0   578   100
186     0     0   541   128
187     0     0   514   149
188     0     0   482   165
189     0     0   430   197
190     0     0   378   228
191     0     0   343   251
192     0     0   318   285
193     0     0   275   315
194     0     0   253   331
195     0     0   215   371
196     0     0   187   407
197     0     0   153   451
198     0     0   117   482
199     0     0    71   522
200     0     0    39   554
201     0     0    15   584
202     0     0     2   623
203     0     0     0   657
204     0     0     0   695
205     0     0     0   723
206     0     0     0   763
207     0     0     0   793
208     0     0     0   826
209     0     0     0   855
210     0     0     0   881
211     0     0     0   912
212     0     0     0   950
213     0     0     0   996
214     0     0     0  1028
215     0     0     0  1065
216     0     0     0  1082
217     0     0     0  1117
218     0     0     0  1151
219     0     0     0  1185
220     0     0     0  1216
221     0     0     0  1255
222     0     0     0  1297
223     0     0     0  1329
224     0     0     0  1364
225     0     0     0  1383
226     0     0     0  1400     0
227     0     0     0  1424     0
228     0     0     0  1453     0
229     0     0     0  1484    11
230     0     0     0  1507    25
231     0     0     0  1507    35
232     0     0     0  1507    40
233     0     0     0  1507    45
234     0     0     0  1504    58
235     0     0     0  1501    77
236     0     0     0  1494    96
237     0     0     0  1480   118
238     0     0     0  1469   133
239     0     0     0  1455   166
240     0     0     0  1435   187
241     0     0     0  1420   217
242     0     0     0  1403   241
243     0     0     0  1383   265
244     0     0     0  1361   293
245     0     0     0  1330   327
246     0     0     0  1312   354
247     0     0     0  1292   394
248     0     0     0  1265   428
249     0     0     0  1235   458
250     0     0     0  1189   504
251     0     0     0  1161   543
252     0     0     0  1120   580
253     0     0     0  1100   613
254     0     0     0  1057   653
255     0     0     0  1020   690
256     0     0     0   982   733
257     0     0     0   958   781
258     0     0     0   926   812
259     0     0     0   888   854
260     0     0     0   845   886
261     0     0     0   809   919
262     0     0     0   782   955
263     0     0     0   747   989
264     0     0     0   717  1018
265     0     0     0   688  1048
266     0     0     0   650  1081
267     0     0     0   624  1114
268     0     0     0   587  1148
269     0     0     0   559  1173
270     0     0     0   525  1202
271     0     0     0   498  1235
272     0     0     0   460  1235
273     0     0     0   418  1235
274     0     0     0   379  1235
275     0     0     0   350  1233
276     0     0     0   318  1228
277     0     0     0   279  1220
278     0     0     0   237  1213
279     0     0     0   206  1205
280     0     0     0   183  1198
281     0     0     0   150  1187
282     0     0     0   125  1176
283     0     0     0    99  1164
284     0     0     0    81  1144
285     0     0     0    51  1116
286     0     0     0    34  1096
287     0     0     0    18  1075
288     0     0     0     6  1046
289     0     0     0     0  1015
290     0     0     0     0   996
291     0     0     0     0   967
292     0     0     0     0   942
293     0     0     0     0   911
294     0     0     0     0   878
295     0     0     0     0   845
296     0     0     0     0   810
297     0     0     0     0   767
298     0     0     0     0   728
299     0     0     0     0   690
300     0     0     0     0   658
301     0     0     0     0   613
302     0     0     0     0   571
303     0     0     0     0   543
304     0     0     0     0   504
305     0     0     0     0   461
306     0     0     0     0   426
307     0     0     0     0   386
308     0     0     0     0   348
309     0     0     0     0   314
310     0     0     0     0   278
311     0     0     0     0   246
312     0     0     0     0   212
313     0     0     0     0   186
314     0     0     0     0   157
315     0     0     0     0   130
316     0     0     0     0    90
317     0     0     0     0    55
318     0     0     0     0    28
319     0     0     0     0    16
320     0     0     0     0     7
321     0     0     0     0     0
322     0     0     0     0     0
323     0     0     0     0     0
324     0     0     0     0     0
325     0     0     0     0     0
326     0     0     0     0     0
327     0     0     0     0     0
328     0     0     0     0     0
329     0     0     0     0     0
330     0     0     0     0     0
331     0     0     0     0     0
332     0     0     0     0     0
333     0     0     0     0     0
334     0     0     0     0     0
335     0     0     0     0     0
336     0     0     0     0     0
337     0     0     0     0     0
338     0     0     0     0     0
339     0     0     0     0     0
340     0     0     0     0     0
341     0     0     0     0     0
342     0     0     0     0     0
343     0     0     0     0     0
344     0     0     0     0     0
345     0     0     0     0     0
346     0     0     0     0     0
347     0     0     0     0     0
348     0     0     0     0     0
349     0     0     0     0     0
350     0     0     0     0     0
351     0     0     0     0     0
352     0     0     0     0     0
353     0     0     0     0     0
354     0     0     0     0     0
355     0     0     0     0     0
356     0     0     0     0     0
357     0     0     0     0     0
358     0     0     0     0     0
359     0     0     0     0     0
360     0     0     0     0     0
361     0     0     0     0     0
362     0     0     0     0     0
363     0     0     0     0     0
364     0     0     0     0     0
365     0     0     0     0     0
366     0     0     0     0     0
367     0     0     0     0     0
368     0     0     0     0     0
369     0     0     0     0     0
370     0     0     0     0     0
371     0     0     0     0     0
372     0     0     0     0     0
373     0     0     0     0     0
374     0     0     0     0     0
375     0     0     0     0     0
376     0     0     0     0     0
377     0     0     0     0     0
378     0     0     0     0     0
379     0     0     0     0     0
380     0     0     0     0     0
381     0     0     0     0     0
382     0     0     0     0     0
383     0     0     0     0     0
384     0     0     0     0     0
385     0     0     0     0     0
386     0     0     0     0     0
387     0     0     0     0     0
388     0     0     0     0     0
389     0     0     0     0     0
390     0     0     0     0     0
391     0     0     0     0     0
392     0     0     0     0     0
393     0     0     0     0     0
394     0     0     0     0     0
395     0     0     0     0     0
396     0     0     0     0     0
397     0     0     0     0     0
398     0     0     0     0     0
399     0     0     0     0     0
400     0     0     0     0     0
401     0     0     0     0     0
402     0     0     0     0     0
403     0     0     0     0     0
404     0     0     0     0     0
405     0     0     0     0     0
406     0     0     0     0     0
407     0     0     0     0     0
408     0     0     0     0     0
409     0     0     0     0     0
410     0     0     0     0     0
411     0     0     0     0     0
412     0     0     0     0     0
413     0     0     0     0     0
414     0     0     0     0     0
415     0     0     0     0     0
416     0     0     0     0     0
417     0     0     0     0     0
418     0     0     0     0     0
419     0     0     0     0     0
420     0     0     0     0     0
421     0     0     0     0     0
422     0     0     0     0     0
423     0     0     0     0     0
424     0     0     0     0     0
425     0     0     0     0     0
426     0     0     0     0     0
427     0     0     0     0     0
428     0     0     0     0     0
429     0     0     0     0     0
430     0     0     0     0     0
431     0     0     0     0     0
432     0     0     0     0     0
433     0     0     0     0     0
434     0     0     0     0     0
435     0     0     0     0     0
436     0     0     0     0     0
437     0     0     0     0     0
438     0     0     0     0     0
439     0     0     0     0     0
440     0     0     0     0     0
441     0     0     0     0     0
442     0     0     0     0     0
443     0     0     0     0     0
444     0     0     0     0     0
445     0     0     0     0     0
446     0     0     0     0     0
447     0     0     0     0     0
448     0     0     0     0     0
449     0     0     0     0     0
450     0     0     0     0     0
451     0     0     0     0     0
452     0     0     0     0     0
453     0     0     0     0     0
454     0     0     0     0     0
455     0     0     0     0     0
456     0     0     0     0     0
457     0     0     0     0     0
458     0     0     0     0     0
459     0     0     0     0     0
460     0     0     0     0     0
461     0     0     0     0     0
462     0     0     0     0     0
463     0     0     0     0     0
464     0     0     0     0     0
465     0     0     0     0     0
466     0     0     0     0     0
467     0     0     0     0     0
468     0     0     0     0     0
469     0     0     0     0     0
470     0     0     0     0     0
471     0     0     0     0     0
472     0     0     0     0     0
473     0     0     0     0     0
474     0     0     0     0     0
475     0     0     0     0     0
476     0     0     0     0     0
477     0     0     0     0     0
478     0     0     0     0     0
479     0     0     0     0     0
480     0     0     0     0     0
481     0     0     0     0     0
482     0     0     0     0     0
483     0     0     0     0     0
484     0     0     0     0     0
485     0     0     0     0     0
486     0     0     0     0     0
487     0     0     0     0     0
488     0     0     0     0     0
489     0     0     0     0     0
490     0     0     0     0     0
491     0     0     0     0     0
492     0     0     0     0     0
493     0     0     0     0     0
494     0     0     0     0     0
495     0     0     0     0     0
496     0     0     0     0     0
497     0     0     0     0     0
498     0     0     0     0     0
499     0     0     0     0     0

