cycle	Ave: occupancy
0	0.0
1	0.0
2	0.0
3	0.0
4	13.0
5	41.0
6	79.0
7	132.0
8	191.0
9	274.0
10	394.0
11	530.0
12	703.0
13	900.0
14	1154.0
15	1471.0
16	1851.0
17	2292.0
18	2780.0
19	3364.0
20	4039.0
21	4807.0
22	5635.0
23	6545.0
24	7565.0
25	8729.0
26	10010.0
27	11419.0
28	12941.0
29	14576.0
30	16353.0
31	18255.0
32	20268.0
33	22380.0
34	24628.0
35	27041.0
36	29611.0
37	32326.0
38	35193.0
39	38220.0
40	41403.0
41	44785.0
42	48345.0
43	52088.0
44	56025.0
45	60170.0
46	64510.0
47	69034.0
48	73734.0
49	78612.0
50	83710.0
51	88978.0
52	94427.0
53	100065.0
54	105899.0
55	111965.0
56	118192.0
57	124645.0
58	131268.0
59	138083.0
60	145099.0
61	152352.0
62	159826.0
63	167500.0
64	175388.0
65	183507.0
66	191817.0
67	200321.0
68	209010.0
69	217881.0
70	226958.0
71	236212.0
72	245639.0
73	255165.0
74	264820.0
75	274613.0
76	284536.0
77	294570.0
78	304675.0
79	314886.0
80	325200.0
81	335621.0
82	346117.0
83	356618.0
84	367190.0
85	377836.0
86	388487.0
87	399177.0
88	409859.0
89	420555.0
90	431257.0
91	441985.0
92	452668.0
93	463316.0
94	473914.0
95	484519.0
96	495069.0
97	505539.0
98	515891.0
99	526104.0
100	536204.0
101	546116.0
102	555851.0
103	565412.0
104	574799.0
105	584056.0
106	593093.0
107	601913.0
108	610530.0
109	618961.0
110	627233.0
111	635333.0
112	643273.0
113	651034.0
114	658607.0
115	665994.0
116	673192.0
117	680160.0
118	686925.0
119	693495.0
120	699851.0
121	706031.0
122	712024.0
123	717824.0
124	723447.0
125	728951.0
126	734330.0
127	739616.0
128	744787.0
129	749838.0
130	754783.0
131	759638.0
132	764433.0
133	769142.0
134	773831.0
135	778500.0
136	783151.0
137	787845.0
138	792564.0
139	797349.0
140	802212.0
141	807175.0
142	812234.0
143	817419.0
144	822768.0
145	828293.0
146	833965.0
147	839781.0
148	845736.0
149	851825.0
150	858013.0
151	864320.0
152	870730.0
153	877224.0
154	883858.0
155	890598.0
156	897475.0
157	904484.0
158	911594.0
159	918839.0
160	926238.0
161	933788.0
162	941468.0
163	949217.0
164	957052.0
165	964981.0
166	973005.0
167	981086.0
168	989219.0
169	997408.0
170	1005637.0
171	1013959.0
172	1022327.0
173	1030741.0
174	1039206.0
175	1047738.0
176	1056397.0
177	1065146.0
178	1073951.0
179	1082816.0
180	1091749.0
181	1100746.0
182	1109776.0
183	1118840.0
184	1127913.0
185	1136998.0
186	1146091.0
187	1155207.0
188	1164306.0
189	1173399.0
190	1182445.0
191	1191484.0
192	1200494.0
193	1209478.0
194	1218423.0
195	1227355.0
196	1236260.0
197	1245115.0
198	1253947.0
199	1262787.0
200	1271615.0
201	1280415.0
202	1289205.0
203	1298011.0
204	1306831.0
205	1315673.0
206	1324539.0
207	1333404.0
208	1342232.0
209	1351030.0
210	1359794.0
211	1368544.0
212	1377271.0
213	1386016.0
214	1394803.0
215	1403638.0
216	1412477.0
217	1421338.0
218	1430224.0
219	1439125.0
220	1448111.0
221	1457172.0
222	1466302.0
223	1475445.0
224	1484634.0
225	1493874.0
226	1503179.0
227	1512512.0
228	1521846.0
229	1531223.0
230	1540631.0
231	1550069.0
232	1559550.0
233	1569051.0
234	1578605.0
235	1588264.0
236	1597995.0
237	1607824.0
238	1617725.0
239	1627681.0
240	1637692.0
241	1647761.0
242	1657879.0
243	1668063.0
244	1678326.0
245	1688706.0
246	1699207.0
247	1709844.0
248	1720596.0
249	1731455.0
250	1742426.0
251	1753513.0
252	1764717.0
253	1776064.0
254	1787430.0
255	1798830.0
256	1810275.0
257	1821756.0
258	1833253.0
259	1844774.0
260	1856269.0
261	1867699.0
262	1879142.0
263	1890521.0
264	1901806.0
265	1913009.0
266	1924096.0
267	1935109.0
268	1946023.0
269	1956822.0
270	1967447.0
271	1977917.0
272	1988185.0
273	1998240.0
274	2008051.0
275	2017629.0
276	2026917.0
277	2035952.0
278	2044683.0
279	2053164.0
280	2061370.0
281	2069299.0
282	2076934.0
283	2084288.0
284	2091372.0
285	2098153.0
286	2104647.0
287	2110859.0
288	2116794.0
289	2122491.0
290	2127948.0
291	2133155.0
292	2138154.0
293	2142972.0
294	2147580.0
295	2152038.0
296	2156352.0
297	2160514.0
298	2164542.0
299	2168417.0
300	2172156.0
301	2175771.0
302	2179270.0
303	2182666.0
304	2185955.0
305	2189118.0
306	2192170.0
307	2195106.0
308	2197923.0
309	2200630.0
310	2203244.0
311	2205765.0
312	2208194.0
313	2210510.0
314	2212733.0
315	2214852.0
316	2216848.0
317	2218733.0
318	2220517.0
319	2222210.0
320	2223842.0
321	2225404.0
322	2226935.0
323	2228437.0
324	2229911.0
325	2231362.0
326	2232784.0
327	2234176.0
328	2235532.0
329	2236848.0
330	2238136.0
331	2239397.0
332	2240613.0
333	2241800.0
334	2242960.0
335	2244093.0
336	2245190.0
337	2246258.0
338	2247287.0
339	2248274.0
340	2249217.0
341	2250116.0
342	2250980.0
343	2251808.0
344	2252603.0
345	2253368.0
346	2254095.0
347	2254795.0
348	2255461.0
349	2256105.0
350	2256715.0
351	2257285.0
352	2257833.0
353	2258352.0
354	2258833.0
355	2259282.0
356	2259695.0
357	2260075.0
358	2260424.0
359	2260744.0
360	2261041.0
361	2261316.0
362	2261571.0
363	2261796.0
364	2261993.0
365	2262167.0
366	2262326.0
367	2262463.0
368	2262583.0
369	2262681.0
370	2262752.0
371	2262811.0
372	2262857.0
373	2262888.0
374	2262908.0
375	2262916.0
376	2262917.0
377	2262917.0
378	2262917.0
379	2262917.0
380	2262917.0
381	2262917.0
382	2262917.0
383	2262917.0
384	2262917.0
385	2262917.0
386	2262917.0
387	2262917.0
388	2262917.0
389	2262917.0
390	2262917.0
391	2262917.0
392	2262917.0
393	2262917.0
394	2262917.0
395	2262917.0
396	2262917.0
397	2262917.0
398	2262917.0
399	2262917.0
400	2262917.0
401	2262917.0
402	2262917.0
403	2262917.0
404	2262917.0
405	2262917.0
406	2262917.0
407	2262917.0
408	2262917.0
409	2262917.0
410	2262917.0
411	2262917.0
412	2262917.0
413	2262917.0
414	2262917.0
415	2262917.0
416	2262917.0
417	2262917.0
418	2262917.0
419	2262917.0
420	2262917.0
421	2262917.0
422	2262917.0
423	2262917.0
424	2262917.0
425	2262917.0
426	2262917.0
427	2262917.0
428	2262917.0
429	2262917.0
430	2262917.0
431	2262917.0
432	2262917.0
433	2262917.0
434	2262917.0
435	2262917.0
436	2262917.0
437	2262917.0
438	2262917.0
439	2262917.0
440	2262917.0
441	2262917.0
442	2262917.0
443	2262917.0
444	2262917.0
445	2262917.0
446	2262917.0
447	2262917.0
448	2262917.0
449	2262917.0
450	2262917.0
