Cycle	Now Replications	Total Replications

0	0	0
1	0	0
2	0	0
3	0	0
4	12	12
5	22	22
6	29	29
7	42	42
8	55	55
9	82	82
10	109	109
11	135	135
12	141	141
13	151	151
14	176	176
15	194	196
16	211	221
17	233	247
18	252	275
19	292	322
20	332	380
21	368	434
22	414	494
23	462	551
24	514	619
25	579	695
26	656	774
27	720	838
28	807	925
29	938	1056
30	1070	1188
31	1183	1301
32	1295	1413
33	1420	1538
34	1589	1707
35	1738	1856
36	1905	2023
37	2076	2194
38	2232	2350
39	2405	2523
40	2585	2703
41	2790	2908
42	2995	3113
43	3179	3297
44	3401	3519
45	3583	3701
46	3765	3883
47	3959	4077
48	4107	4226
49	4291	4417
50	4471	4605
51	4652	4793
52	4809	4957
53	4950	5115
54	5113	5292
55	5266	5471
56	5417	5652
57	5594	5860
58	5714	6027
59	5865	6225
60	5969	6370
61	6029	6502
62	6072	6608
63	6114	6723
64	6188	6884
65	6250	7030
66	6295	7159
67	6358	7299
68	6415	7447
69	6518	7637
70	6597	7805
71	6625	7944
72	6659	8096
73	6711	8262
74	6766	8433
75	6833	8619
76	6892	8793
77	6939	8944
78	6984	9087
79	7009	9227
80	7059	9394
81	7122	9555
82	7152	9698
83	7177	9847
84	7211	10010
85	7218	10155
86	7226	10306
87	7232	10461
88	7232	10626
89	7278	10806
90	7338	10992
91	7353	11159
92	7351	11302
93	7388	11457
94	7433	11633
95	7479	11812
96	7553	12036
97	7587	12218
98	7611	12390
99	7671	12591
100	7735	12818
101	7795	13043
102	7843	13250
103	7875	13448
104	7961	13698
105	8017	13924
106	8095	14149
107	8185	14386
108	8230	14572
109	8329	14786
110	8429	15004
111	8552	15232
112	8654	15456
113	8750	15658
114	8885	15907
115	9027	16145
116	9119	16331
117	9234	16544
118	9340	16737
119	9460	16970
120	9622	17232
121	9754	17468
122	9865	17700
123	9976	17929
124	10096	18168
125	10243	18436
126	10330	18662
127	10440	18890
128	10519	19091
129	10606	19338
130	10706	19579
131	10768	19804
132	10822	20029
133	10835	20218
134	10883	20428
135	10957	20646
136	11011	20856
137	11055	21087
138	11127	21302
139	11194	21535
140	11289	21782
141	11385	22023
142	11475	22263
143	11575	22515
144	11669	22739
145	11791	22984
146	11896	23215
147	11984	23434
148	12081	23671
149	12211	23951
150	12339	24218
