Cycle	Cumulative Occupancy

0	50.0
1	100.0
2	150.0
3	200.0
4	250.0
5	1020.0
6	1790.0
7	2560.0
8	3330.0
9	4100.0
10	4890.0
11	5680.0
12	6470.0
13	7260.0
14	8050.0
15	8880.0
16	9710.0
17	10540.0
18	11370.0
19	12200.0
20	13050.0
21	13900.0
22	14750.0
23	15600.0
24	16450.0
25	17790.0
26	19130.0
27	20470.0
28	21810.0
29	23150.0
30	24710.0
31	26270.0
32	27830.0
33	29390.0
34	30950.0
35	32520.0
36	34090.0
37	35660.0
38	37230.0
39	38800.0
40	40410.0
41	42020.0
42	43630.0
43	45240.0
44	46850.0
45	48580.0
46	50310.0
47	52040.0
48	53770.0
49	55500.0
50	57450.0
51	59400.0
52	61350.0
53	63300.0
54	65250.0
55	67540.0
56	69830.0
57	72120.0
58	74410.0
59	76700.0
60	79040.0
61	81400.0
62	83780.0
63	86180.0
64	88580.0
65	91020.0
66	93460.0
67	95910.0
68	98360.0
69	100800.0
70	103310.0
71	105820.0
72	108330.0
73	110830.0
74	113330.0
75	116380.0
76	119720.0
77	123120.0
78	126500.0
79	129860.0
80	133280.0
81	136700.0
82	140110.0
83	143510.0
84	146890.0
85	150520.0
86	154270.0
87	158080.0
88	161860.0
89	165620.0
90	169460.0
91	173310.0
92	177110.0
93	180930.0
94	184740.0
95	188590.0
96	192450.0
97	196300.0
98	200130.0
99	203950.0
100	207810.0
101	211660.0
102	215480.0
103	219280.0
104	223050.0
105	226860.0
106	230640.0
107	234430.0
108	238190.0
109	241930.0
110	245690.0
111	249440.0
112	253180.0
113	256920.0
114	260660.0
115	272160.0
116	288050.0
117	305070.0
118	322300.0
119	339340.0
120	356180.0
121	372770.0
122	389170.0
123	405300.0
124	421160.0
125	437450.0
126	453530.0
127	469330.0
128	484880.0
129	500170.0
130	515360.0
131	530370.0
132	545190.0
133	559700.0
134	574010.0
135	588190.0
136	602150.0
137	615930.0
138	629520.0
139	642930.0
140	656220.0
141	669340.0
142	682320.0
143	695130.0
144	707730.0
145	720200.0
146	732520.0
147	744720.0
148	756870.0
149	768850.0
150	780760.0
151	792580.0
152	804220.0
153	815680.0
154	826930.0
155	838900.0
156	850710.0
157	862420.0
158	874070.0
159	885580.0
160	897080.0
161	908500.0
162	919770.0
163	930970.0
164	942090.0
165	953290.0
166	964410.0
167	975480.0
168	986370.0
169	997150.0
170	1009710.0
171	1023150.0
172	1036700.0
173	1050180.0
174	1063450.0
175	1076680.0
176	1089790.0
177	1102720.0
178	1115520.0
179	1128110.0
180	1140590.0
181	1152950.0
182	1165110.0
183	1177120.0
184	1188970.0
185	1200660.0
186	1212270.0
187	1223680.0
188	1234970.0
189	1246110.0
190	1257210.0
191	1268220.0
192	1279040.0
193	1289800.0
194	1300430.0
195	1310990.0
196	1321560.0
197	1332060.0
198	1342470.0
199	1352730.0
200	1362910.0
201	1373010.0
202	1383010.0
203	1392910.0
204	1402760.0
205	1412520.0
206	1422220.0
207	1431840.0
208	1441430.0
209	1450960.0
210	1460630.0
211	1470200.0
212	1479690.0
213	1489110.0
214	1498430.0
215	1507860.0
216	1517300.0
217	1526720.0
218	1536040.0
219	1545300.0
220	1554550.0
221	1563670.0
222	1572740.0
223	1581730.0
224	1590690.0
225	1599650.0
226	1608590.0
227	1617510.0
228	1626390.0
229	1635230.0
230	1644080.0
231	1652870.0
232	1661620.0
233	1670320.0
234	1678990.0
235	1688450.0
236	1698330.0
237	1708330.0
238	1718340.0
239	1728340.0
240	1738340.0
241	1748330.0
242	1758270.0
243	1768180.0
244	1778080.0
245	1787950.0
246	1797800.0
247	1807630.0
248	1817460.0
249	1827230.0
250	1836970.0
251	1846710.0
252	1856400.0
253	1866090.0
254	1875760.0
255	1885410.0
256	1895030.0
257	1904640.0
258	1914240.0
259	1923830.0
260	1933360.0
261	1942870.0
262	1952370.0
263	1961870.0
264	1971370.0
265	1980870.0
266	1990370.0
267	1999870.0
268	2009370.0
269	2018870.0
270	2028370.0
271	2037870.0
272	2047370.0
273	2056870.0
274	2066370.0
275	2075870.0
276	2085370.0
277	2094870.0
278	2104370.0
279	2113870.0
280	2123370.0
281	2132870.0
282	2142370.0
283	2151870.0
284	2161370.0
285	2170870.0
286	2180370.0
287	2189870.0
288	2199370.0
289	2208870.0
290	2218370.0
291	2227870.0
292	2237370.0
293	2246870.0
294	2256370.0
295	2265870.0
296	2275370.0
297	2284870.0
298	2294370.0
299	2303870.0
300	2313370.0
301	2322870.0
302	2332370.0
303	2341870.0
304	2351370.0
305	2360870.0
306	2370370.0
307	2379870.0
308	2389370.0
309	2398870.0
310	2408370.0
311	2417870.0
312	2427370.0
313	2436870.0
314	2446370.0
315	2455870.0
316	2465370.0
317	2474870.0
318	2484370.0
319	2493870.0
320	2503370.0
321	2512870.0
322	2522370.0
323	2531870.0
324	2541370.0
325	2550870.0
326	2560370.0
327	2569870.0
328	2579370.0
329	2588870.0
330	2598370.0
331	2607870.0
332	2617370.0
333	2626870.0
334	2636370.0
335	2645870.0
336	2655370.0
337	2664870.0
338	2674370.0
339	2683870.0
340	2693370.0
341	2702870.0
342	2712370.0
343	2721870.0
344	2731370.0
345	2740870.0
346	2750370.0
347	2759870.0
348	2769370.0
349	2778870.0
350	2788370.0
351	2797870.0
352	2807370.0
353	2816870.0
354	2826370.0
355	2835870.0
356	2845370.0
357	2854870.0
358	2864370.0
359	2873870.0
360	2883370.0
361	2892870.0
362	2902370.0
363	2911870.0
364	2921370.0
365	2930870.0
366	2940370.0
367	2949870.0
368	2959370.0
369	2968870.0
370	2978370.0
371	2987870.0
372	2997370.0
373	3006870.0
374	3016370.0
375	3025870.0
376	3035370.0
377	3044870.0
378	3054370.0
379	3063870.0
380	3073370.0
381	3082870.0
382	3092370.0
383	3101870.0
384	3111370.0
385	3120870.0
386	3130370.0
387	3139870.0
388	3149370.0
389	3158870.0
390	3168370.0
391	3177870.0
392	3187370.0
393	3196870.0
394	3206370.0
395	3215870.0
396	3225370.0
397	3234870.0
398	3244370.0
399	3253870.0
400	3263370.0
401	3272870.0
402	3282370.0
403	3291870.0
404	3301370.0
405	3310870.0
406	3320370.0
407	3329870.0
408	3339370.0
409	3348870.0
410	3358370.0
411	3367870.0
412	3377370.0
413	3386870.0
414	3396370.0
415	3405870.0
416	3415370.0
417	3424870.0
418	3434370.0
419	3443870.0
420	3453370.0
421	3462870.0
422	3472370.0
423	3481870.0
424	3491370.0
425	3500870.0
426	3510370.0
427	3519870.0
