Cycle	Availability	Now Replications	Total Replications

0	1.0	15.0	15.0
1	1.0	15.0	15.0
2	1.0	15.0	15.0
3	0.9333333333333333	14.0	15.0
4	0.9333333333333333	14.0	15.0
5	0.95	38.0	40.0
6	0.95	38.0	40.0
7	0.95	38.0	40.0
8	0.95	38.0	40.0
9	0.875	35.0	40.0
10	0.94	94.0	100.0
11	0.94	94.0	100.0
12	0.9375	120.0	128.0
13	0.8984375	115.0	128.0
14	0.8828125	113.0	128.0
15	0.9211822660098522	187.0	203.0
16	0.9014778325123153	183.0	203.0
17	0.8768472906403941	178.0	203.0
18	0.8374384236453202	170.0	203.0
19	0.8275862068965517	168.0	203.0
20	0.8088235294117647	165.0	204.0
21	0.803921568627451	164.0	204.0
22	0.7745098039215687	158.0	204.0
23	0.7696078431372549	157.0	204.0
24	0.7549019607843137	154.0	204.0
25	0.7813765182186235	193.0	247.0
26	0.8	236.0	295.0
27	0.7943037974683544	251.0	316.0
28	0.7808641975308642	253.0	324.0
29	0.7685185185185185	249.0	324.0
30	0.863036303630363	523.0	606.0
31	0.8686868686868687	602.0	693.0
32	0.8555708390646493	622.0	727.0
33	0.8469945355191257	620.0	732.0
34	0.8292349726775956	607.0	732.0
35	0.8337531486146096	662.0	794.0
36	0.8136020151133502	646.0	794.0
37	0.792191435768262	629.0	794.0
38	0.7720403022670025	613.0	794.0
39	0.7581863979848866	602.0	794.0
40	0.7617370892018779	649.0	852.0
41	0.75	639.0	852.0
42	0.7382629107981221	629.0	852.0
43	0.710093896713615	605.0	852.0
44	0.6971830985915493	594.0	852.0
45	0.6890380313199105	616.0	894.0
46	0.6677852348993288	597.0	894.0
47	0.6543624161073825	585.0	894.0
48	0.6431767337807607	575.0	894.0
49	0.6432491767288694	586.0	911.0
50	0.6295081967213115	576.0	915.0
51	0.6021857923497268	551.0	915.0
52	0.585792349726776	536.0	915.0
53	0.5792349726775956	530.0	915.0
54	0.566120218579235	518.0	915.0
55	0.562296858071506	519.0	923.0
56	0.5557963163596966	513.0	923.0
57	0.5449620801733478	503.0	923.0
58	0.5373781148429035	496.0	923.0
59	0.5265438786565547	486.0	923.0
60	0.5277777777777778	494.0	936.0
61	0.5192307692307693	486.0	936.0
62	0.49893162393162394	467.0	936.0
63	0.49038461538461536	459.0	936.0
64	0.47649572649572647	446.0	936.0
65	0.7348886532343585	1386.0	1886.0
66	0.7708241516086382	1749.0	2269.0
67	0.7611438183347351	1810.0	2378.0
68	0.7424305267523849	1790.0	2411.0
69	0.7232548533663775	1751.0	2421.0
70	0.7111750205423172	1731.0	2434.0
71	0.6983217355710193	1706.0	2443.0
72	0.6823577568563242	1667.0	2443.0
73	0.6631191158411789	1620.0	2443.0
74	0.6508391322144904	1590.0	2443.0
75	0.6416091019910606	1579.0	2461.0
76	0.6241365298659082	1536.0	2461.0
77	0.6082893132872816	1497.0	2461.0
78	0.5928484355952864	1459.0	2461.0
79	0.580658268996343	1429.0	2461.0
80	0.5709651257096513	1408.0	2466.0
81	0.5527169505271695	1363.0	2466.0
82	0.5360908353609084	1322.0	2466.0
83	0.5267639902676399	1299.0	2466.0
84	0.5150040551500406	1270.0	2466.0
85	0.5172684458398744	1318.0	2548.0
86	0.5139318885448917	1328.0	2584.0
87	0.50787552823665	1322.0	2603.0
88	0.5005762581636574	1303.0	2603.0
89	0.4950153374233129	1291.0	2608.0
90	0.4799847502859321	1259.0	2623.0
91	0.46626000762485703	1223.0	2623.0
92	0.4574914220358368	1200.0	2623.0
93	0.4498665650019062	1180.0	2623.0
94	0.4372855508959207	1147.0	2623.0
95	0.42704761904761906	1121.0	2625.0
96	0.42019047619047617	1103.0	2625.0
97	0.4125714285714286	1083.0	2625.0
98	0.4038095238095238	1060.0	2625.0
99	0.3942857142857143	1035.0	2625.0
100	0.4010397326401782	1080.0	2693.0
101	0.3934790663208596	1062.0	2699.0
102	0.38753687315634217	1051.0	2712.0
103	0.3786265148733015	1031.0	2723.0
104	0.37164891663606314	1012.0	2723.0
105	0.3630690161527166	989.0	2724.0
106	0.35205580029368577	959.0	2724.0
107	0.3524261218533382	966.0	2741.0
108	0.3436701933600876	942.0	2741.0
109	0.3363735862823787	922.0	2741.0
110	0.32567469000729393	893.0	2742.0
111	0.31947483588621445	876.0	2742.0
112	0.31436907366885486	862.0	2742.0
113	0.3078045222465354	844.0	2742.0
114	0.30488694383661563	836.0	2742.0
115	0.30348078317621463	837.0	2758.0
116	0.29369108049311093	810.0	2758.0
117	0.2878897751994199	794.0	2758.0
118	0.2828136330674402	780.0	2758.0
119	0.2781000725163162	767.0	2758.0
120	0.27335264301230994	755.0	2762.0
121	0.27081824764663287	748.0	2762.0
122	0.2657494569152788	734.0	2762.0
123	0.25959449674149165	717.0	2762.0
124	0.25235336712527157	697.0	2762.0
125	0.24719913263462234	684.0	2767.0
126	0.24286230574629564	672.0	2767.0
127	0.2403324900614384	665.0	2767.0
128	0.23382724972894833	647.0	2767.0
129	0.22696060715576435	628.0	2767.0
130	0.22950232724668815	641.0	2793.0
131	0.22556390977443608	630.0	2793.0
132	0.22019334049409237	615.0	2793.0
133	0.21768707482993196	608.0	2793.0
134	0.21446473326172574	599.0	2793.0
135	0.23031358885017422	661.0	2870.0
136	0.23268698060941828	672.0	2888.0
137	0.229706390328152	665.0	2895.0
138	0.22528418877023768	654.0	2903.0
139	0.22149500516706855	643.0	2903.0
140	0.21935261707988982	637.0	2904.0
141	0.21143250688705234	614.0	2904.0
142	0.20626721763085398	599.0	2904.0
143	0.20385674931129477	592.0	2904.0
144	0.19662534435261708	571.0	2904.0
145	0.2046070460704607	604.0	2952.0
146	0.2108615487763996	629.0	2983.0
147	0.20482735501173316	611.0	2983.0
148	0.20046932618169627	598.0	2983.0
149	0.19879316124706672	593.0	2983.0
150	0.21489222730241672	658.0	3062.0
151	0.21293272370999347	652.0	3062.0
152	0.20672762900065317	633.0	3062.0
153	0.2015022860875245	617.0	3062.0
154	0.19497060744611366	597.0	3062.0
155	0.1932445599220526	595.0	3079.0
156	0.19032153296524845	586.0	3079.0
157	0.1864241636895096	574.0	3079.0
158	0.18057810977590127	556.0	3079.0
159	0.17895420591101008	551.0	3079.0
160	0.17488643737832577	539.0	3082.0
161	0.16904607397793642	521.0	3082.0
162	0.16580142764438677	511.0	3082.0
163	0.16125892277741727	497.0	3082.0
164	0.15801427644386762	487.0	3082.0
165	0.19511440940012367	631.0	3234.0
166	0.20237732398658945	664.0	3281.0
167	0.19859884252208346	652.0	3283.0
168	0.19220225403594274	631.0	3283.0
169	0.18641486445324398	612.0	3283.0
170	0.17965895249695493	590.0	3284.0
171	0.17722289890377588	582.0	3284.0
172	0.17943305186972255	595.0	3316.0
173	0.17611580217129072	584.0	3316.0
174	0.1697828709288299	563.0	3316.0
175	0.21251778093883358	747.0	3515.0
176	0.2150295524908528	764.0	3553.0
177	0.2135431300927227	760.0	3559.0
178	0.20893007582139847	744.0	3561.0
179	0.20662549129702415	736.0	3562.0
180	0.22480196667577165	823.0	3661.0
181	0.2193389784211964	803.0	3661.0
182	0.21660748429390878	793.0	3661.0
183	0.2097787489756897	768.0	3661.0
184	0.20513520895930074	751.0	3661.0
185	0.20326530612244897	747.0	3675.0
186	0.19972789115646258	734.0	3675.0
187	0.19727891156462585	725.0	3675.0
188	0.1929251700680272	709.0	3675.0
189	0.1872108843537415	688.0	3675.0
190	0.18221376121838456	670.0	3677.0
191	0.18003807451726953	662.0	3677.0
192	0.17704650530323635	651.0	3677.0
193	0.17242317106336688	634.0	3677.0
194	0.16888768017405495	621.0	3677.0
195	0.17834224598930482	667.0	3740.0
196	0.17727272727272728	663.0	3740.0
197	0.17299465240641712	647.0	3740.0
198	0.16898395721925133	632.0	3740.0
199	0.16390374331550803	613.0	3740.0
200	0.16293333333333335	611.0	3750.0
201	0.16	600.0	3750.0
202	0.15493333333333334	581.0	3750.0
203	0.14826666666666666	556.0	3750.0
204	0.14506666666666668	544.0	3750.0
205	0.14285714285714285	536.0	3752.0
206	0.1455026455026455	550.0	3780.0
207	0.14695057833859096	559.0	3804.0
208	0.14300736067297581	544.0	3804.0
209	0.14011566771819137	533.0	3804.0
210	0.18601190476190477	750.0	4032.0
211	0.19203518201807965	786.0	4093.0
212	0.18838457784285018	772.0	4098.0
213	0.18350414836505613	752.0	4098.0
214	0.1780922176140522	730.0	4099.0
215	0.18012121212121213	743.0	4125.0
216	0.17832083232518753	737.0	4133.0
217	0.17771883289124668	737.0	4147.0
218	0.17410176030865687	722.0	4147.0
219	0.17024354955389437	706.0	4147.0
220	0.19124531835205993	817.0	4272.0
221	0.19442508710801393	837.0	4305.0
222	0.19333178976614956	835.0	4319.0
223	0.1893956934475573	818.0	4319.0
224	0.1852280620514008	800.0	4319.0
225	0.19677712210621878	867.0	4406.0
226	0.19133000453926463	843.0	4406.0
227	0.18747162959600544	826.0	4406.0
228	0.18656377666817975	822.0	4406.0
229	0.18293236495687698	806.0	4406.0
230	0.25738916256157635	1254.0	4872.0
231	0.26943833699780134	1348.0	5003.0
232	0.2671831545490663	1345.0	5034.0
233	0.2621031746031746	1321.0	5040.0
234	0.25763585878619594	1299.0	5042.0
235	0.2666536813400857	1369.0	5134.0
