Cycle	Now Cost	Average Cost

0	5098	5098.0
1	900	2999.0
2	526	2174.6666666666665
3	531	1763.75
4	443	1499.6
5	7565	2510.5
6	1162	2317.8571428571427
7	656	2110.125
8	508	1932.111111111111
9	457	1784.6
10	1337	1743.909090909091
11	1077	1688.3333333333333
12	293	1581.0
13	499	1503.7142857142858
14	649	1446.7333333333333
15	2721	1526.375
16	760	1481.2941176470588
17	1478	1481.111111111111
18	528	1430.9473684210527
19	505	1384.65
20	3029	1462.952380952381
21	921	1438.3181818181818
22	1312	1432.8260869565217
23	997	1414.6666666666667
24	312	1370.56
25	502	1337.1538461538462
26	513	1306.6296296296296
27	244	1268.6785714285713
28	773	1251.5862068965516
29	67	1212.1
30	1718	1228.4193548387098
31	826	1215.84375
32	858	1205.0
33	1343	1209.0588235294117
34	177	1179.5714285714287
35	622	1164.0833333333333
36	586	1148.4594594594594
37	669	1135.842105263158
38	288	1114.1025641025642
39	483	1098.325
40	0	1071.5365853658536
41	656	1061.642857142857
42	197	1041.5348837209303
43	0	1017.8636363636364
44	192	999.5111111111111
45	2148	1024.4782608695652
46	915	1022.1489361702128
47	748	1016.4375
48	0	995.6938775510204
49	1628	1008.34
50	1873	1025.2941176470588
51	0	1005.5769230769231
52	456	995.2075471698113
53	1168	998.4074074074074
54	226	984.3636363636364
55	738	979.9642857142857
56	455	970.7543859649123
57	254	958.3965517241379
58	391	948.7796610169491
59	1037	950.25
60	503	942.9180327868852
61	0	927.7096774193549
62	127	915.0
63	280	905.078125
64	0	891.1538461538462
65	0	877.6515151515151
66	0	864.5522388059702
67	1387	872.2352941176471
68	0	859.5942028985507
69	0	847.3142857142857
70	0	835.3802816901408
71	0	823.7777777777778
72	519	819.6027397260274
73	0	808.527027027027
74	0	797.7466666666667
75	0	787.25
76	0	777.025974025974
77	0	767.0641025641025
78	801	767.493670886076
79	0	757.9
80	0	748.5432098765432
81	0	739.4146341463414
82	0	730.5060240963855
83	1366	738.0714285714286
84	0	729.3882352941176
85	0	720.9069767441861
86	327	716.3793103448276
87	0	708.2386363636364
88	0	700.2808988764045
89	0	692.5
90	0	684.8901098901099
91	0	677.445652173913
92	209	672.4086021505376
93	0	665.2553191489362
94	655	665.1473684210526
95	0	658.21875
96	0	651.4329896907217
97	0	644.7857142857143
98	0	638.2727272727273
99	1939	651.28
100	5109	695.4158415841584
101	0	688.5980392156863
102	781	689.495145631068
103	0	682.8653846153846
104	0	676.3619047619047
105	0	669.9811320754717
106	0	663.7196261682243
107	0	657.574074074074
108	0	651.5412844036697
109	0	645.6181818181818
110	1995	657.7747747747748
111	0	651.9017857142857
112	0	646.1327433628319
113	0	640.4649122807018
114	0	634.895652173913
115	0	629.4224137931035
116	0	624.042735042735
117	0	618.7542372881356
118	0	613.5546218487395
119	0	608.4416666666667
120	0	603.4132231404959
121	0	598.4672131147541
122	0	593.6016260162602
123	0	588.8145161290323
124	0	584.104
125	0	579.468253968254
126	0	574.9055118110236
127	0	570.4140625
128	0	565.9922480620155
129	0	561.6384615384616
130	0	557.3511450381679
131	0	553.1287878787879
132	0	548.9699248120301
133	0	544.8731343283582
134	0	540.837037037037
135	0	536.8602941176471
136	0	532.9416058394161
137	0	529.0797101449275
138	0	525.273381294964
139	0	521.5214285714286
140	0	517.822695035461
141	0	514.1760563380282
142	0	510.5804195804196
143	0	507.03472222222223
144	0	503.53793103448277
145	0	500.0890410958904
146	1899	509.6054421768707
147	0	506.1621621621622
148	0	502.76510067114094
149	1474	509.24
150	0	505.8675496688742
151	0	502.5394736842105
152	0	499.2549019607843
153	0	496.012987012987
154	0	492.81290322580645
155	0	489.65384615384613
156	0	486.5350318471338
157	0	483.45569620253167
158	0	480.41509433962267
159	0	477.4125
160	0	474.4472049689441
161	0	471.51851851851853
162	0	468.62576687116564
163	0	465.7682926829268
164	0	462.94545454545454
165	0	460.1566265060241
166	0	457.4011976047904
167	0	454.67857142857144
168	0	451.9881656804734
169	0	449.32941176470587
170	0	446.70175438596493
171	0	444.1046511627907
172	0	441.53757225433526
173	0	439.0
174	0	436.49142857142857
175	0	434.0113636363636
176	0	431.5593220338983
177	0	429.13483146067415
178	0	426.7374301675978
179	0	424.3666666666667
180	0	422.0220994475138
181	0	419.7032967032967
182	0	417.40983606557376
183	0	415.14130434782606
184	0	412.8972972972973
185	0	410.6774193548387
186	0	408.4812834224599
187	0	406.3085106382979
188	0	404.1587301587302
189	0	402.0315789473684
190	0	399.9267015706806
191	0	397.84375
192	0	395.7823834196891
193	0	393.74226804123714
194	0	391.7230769230769
195	0	389.7244897959184
196	0	387.74619289340103
197	0	385.7878787878788
198	0	383.8492462311558
199	0	381.93
200	0	380.02985074626866
201	0	378.1485148514852
202	0	376.2857142857143
203	0	374.44117647058823
204	0	372.6146341463415
205	0	370.80582524271847
206	0	369.0144927536232
207	0	367.24038461538464
208	0	365.48325358851673
209	0	363.74285714285713
210	0	362.01895734597156
211	0	360.311320754717
