Cycle	Now Cost	Average Cost	Number of Replication

0	543	543.0	408
1	198	370.5	352
2	152	297.6666666666667	328
3	101	248.5	260
4	100	218.8	244
5	701	299.1666666666667	676
6	256	293.0	512
7	221	284.0	532
8	186	273.1111111111111	532
9	162	262.0	460
10	699	301.72727272727275	936
11	370	307.4166666666667	860
12	266	304.2307692307692	696
13	296	303.64285714285717	840
14	215	297.73333333333335	656
15	544	313.125	1068
16	354	315.52941176470586	868
17	300	314.6666666666667	840
18	263	311.94736842105266	820
19	234	308.05	756
20	659	324.76190476190476	1024
21	438	329.90909090909093	1040
22	263	327.0	724
23	233	323.0833333333333	700
24	261	320.6	796
25	721	336.0	1120
26	358	336.81481481481484	928
27	299	335.4642857142857	820
28	253	332.62068965517244	760
29	228	329.1333333333333	684
30	856	346.1290322580645	1212
31	379	347.15625	972
32	284	345.24242424242425	832
33	251	342.47058823529414	744
34	223	339.0571428571429	724
35	733	350.0	1068
36	350	350.0	892
37	319	349.1842105263158	920
38	247	346.56410256410254	784
39	224	343.5	748
40	673	351.5365853658537	1076
41	398	352.64285714285717	1020
42	319	351.86046511627904	876
43	251	349.5681818181818	776
44	215	346.5777777777778	676
45	768	355.7391304347826	1092
46	295	354.4468085106383	804
47	257	352.4166666666667	728
48	223	349.7755102040816	704
49	230	347.38	740
50	620	352.72549019607845	984
51	348	352.63461538461536	836
52	279	351.24528301886795	796
53	290	350.1111111111111	876
54	232	347.96363636363634	736
55	734	354.85714285714283	1080
56	300	353.89473684210526	824
57	320	353.3103448275862	908
58	243	351.4406779661017	756
59	234	349.48333333333335	772
60	725	355.6393442622951	996
61	294	354.64516129032256	756
62	278	353.42857142857144	768
63	275	352.203125	792
64	239	350.46153846153845	756
65	688	355.57575757575756	920
66	336	355.2835820895522	864
67	275	354.1029411764706	716
68	265	352.81159420289856	772
69	221	350.92857142857144	700
70	694	355.76056338028167	1024
71	338	355.5138888888889	868
72	311	354.90410958904107	764
73	255	353.55405405405406	756
74	209	351.62666666666667	656
75	532	354.0	988
76	354	354.0	828
77	244	352.5897435897436	704
78	227	351.0	700
79	205	349.175	652
80	675	353.1975308641975	996
81	363	353.3170731707317	852
82	263	352.2289156626506	724
83	265	351.1904761904762	764
84	218	349.6235294117647	660
85	448	350.7674418604651	900
86	221	349.2758620689655	592
87	240	348.03409090909093	660
88	226	346.6629213483146	668
89	185	344.8666666666667	536
90	563	347.2637362637363	784
91	325	347.0217391304348	700
92	250	345.97849462365593	612
93	232	344.7659574468085	608
94	175	342.9789473684211	512
95	542	345.0520833333333	748
96	305	344.63917525773195	692
97	258	343.7551020408163	592
98	210	342.4040404040404	560
99	199	340.97	524
100	577	343.3069306930693	708
101	311	342.9901960784314	712
102	227	341.86407766990294	576
103	200	340.5	564
104	191	339.0761904761905	504
105	508	340.6698113207547	888
106	265	339.9626168224299	604
107	213	338.787037037037	568
108	200	337.51376146788994	524
109	197	336.23636363636365	500
110	484	337.56756756756755	668
111	280	337.05357142857144	616
112	256	336.3362831858407	564
113	237	335.46491228070175	532
114	193	334.2260869565217	476
115	554	336.12068965517244	648
116	275	335.5982905982906	572
117	225	334.66101694915255	536
118	168	333.26050420168065	432
119	161	331.825	412
120	500	333.21487603305786	648
121	282	332.7950819672131	548
122	240	332.0406504065041	492
123	180	330.81451612903226	436
124	173	329.552	412
125	418	330.25396825396825	604
126	282	329.87401574803147	508
127	187	328.7578125	420
128	197	327.73643410852713	428
129	149	326.3615384615385	364
130	447	327.2824427480916	508
131	249	326.68939393939394	420
132	254	326.14285714285717	464
133	193	325.14925373134326	408
134	141	323.7851851851852	340
135	418	324.4779411764706	476
136	218	323.7007299270073	356
137	253	323.18840579710144	412
138	215	322.41007194244605	436
139	165	321.2857142857143	328
140	391	321.78014184397165	388
141	196	320.8943661971831	336
142	187	319.958041958042	296
143	168	318.90277777777777	312
144	150	317.73793103448276	288
145	416	318.4109589041096	396
146	213	317.6938775510204	332
147	191	316.8378378378378	380
148	149	315.71140939597313	264
149	158	314.66	308
150	208	313.95364238410593	340
151	134	312.76973684210526	292
152	143	311.66013071895424	272
153	142	310.5584415584416	248
154	107	309.2451612903226	200
155	153	308.2435897435897	272
156	132	307.1210191082803	248
157	137	306.04430379746833	292
158	111	304.8176100628931	208
159	106	303.575	216
160	252	303.2546583850932	236
161	137	302.2283950617284	212
162	159	301.3496932515337	244
163	118	300.2317073170732	160
164	106	299.05454545454546	184
165	195	298.4277108433735	236
166	201	297.8443113772455	268
167	105	296.69642857142856	156
168	135	295.7396449704142	208
169	90	294.52941176470586	156
170	233	294.16959064327483	244
171	136	293.25	160
172	103	292.15028901734104	140
173	104	291.0689655172414	160
174	84	289.8857142857143	136
175	197	289.35795454545456	168
176	144	288.5367231638418	176
177	114	287.5561797752809	152
178	120	286.62011173184356	128
179	136	285.78333333333336	152
180	188	285.24309392265195	136
181	175	284.6373626373626	144
182	96	283.60655737704917	120
183	102	282.6195652173913	144
184	78	281.5135135135135	128
185	192	281.03225806451616	164
186	101	280.06951871657753	120
187	78	278.99468085106383	84
188	93	278.010582010582	112
189	42	276.7684210526316	72
190	92	275.80104712041884	56
191	103	274.9010416666667	84
192	99	273.9896373056995	88
193	60	272.88659793814435	60
194	54	271.7641025641026	72
195	96	270.8673469387755	92
196	59	269.79187817258884	48
197	96	268.9141414141414	100
198	72	267.9246231155779	84
199	69	266.93	76
200	52	265.8606965174129	64
201	82	264.9504950495049	76
202	63	263.95566502463055	76
203	64	262.97549019607845	68
204	31	261.8439024390244	36
205	86	260.99029126213594	60
206	54	259.9903381642512	40
207	90	259.1730769230769	72
208	55	258.1961722488038	40
209	67	257.2857142857143	56
210	42	256.2654028436019	44
211	81	255.43867924528303	56
212	53	254.4882629107981	28
213	60	253.57943925233644	44
214	33	252.55348837209303	40
215	102	251.8564814814815	52
216	55	250.94930875576037	44
217	13	249.8577981651376	16
218	49	248.9406392694064	28
219	48	248.02727272727273	24
220	96	247.3393665158371	48
221	70	246.54054054054055	36
222	13	245.4932735426009	12
223	20	244.48660714285714	20
224	32	243.54222222222222	24
225	33	242.61061946902655	16
226	23	241.6431718061674	12
227	21	240.67543859649123	12
228	13	239.6812227074236	12
229	32	238.77826086956523	28
230	11	237.7922077922078	4
231	18	236.8448275862069	12
232	13	235.88412017167383	16
233	15	234.94017094017093	8
234	0	233.94042553191488	0
235	77	233.27542372881356	24
236	6	232.31645569620252	4
237	14	231.39915966386553	12
238	26	230.5397489539749	8
239	23	229.675	8
240	11	228.76763485477179	4
241	9	227.8595041322314	4
242	7	226.9506172839506	4
243	10	226.06147540983608	4
244	7	225.16734693877552	8
245	58	224.4878048780488	12
246	0	223.57894736842104	0
247	15	222.73790322580646	8
248	10	221.8835341365462	4
249	13	221.048	8
250	0	220.16733067729083	0
251	10	219.33333333333334	8
252	0	218.46640316205534	0
253	18	217.6771653543307	8
254	7	216.85098039215686	4
255	0	216.00390625	0
256	0	215.16342412451363	0
257	0	214.3294573643411	0
258	0	213.5019305019305	0
259	25	212.77692307692308	8
260	0	211.96168582375478	0
261	0	211.15267175572518	0
262	0	210.34980988593156	0
263	0	209.5530303030303	0
264	9	208.79622641509434	4
265	0	208.01127819548873	0
266	0	207.2322097378277	0
267	0	206.4589552238806	0
268	0	205.6914498141264	0
269	0	204.92962962962963	0
270	0	204.17343173431735	0
271	0	203.42279411764707	0
272	0	202.67765567765568	0
273	0	201.93795620437956	0
274	0	201.20363636363638	0
275	0	200.4746376811594	0
276	0	199.75090252707582	0
277	0	199.03237410071944	0
278	0	198.3189964157706	0
279	0	197.6107142857143	0
280	0	196.90747330960855	0
281	0	196.20921985815602	0
282	0	195.51590106007066	0
283	0	194.82746478873239	0
284	0	194.14385964912282	0
285	0	193.46503496503496	0
286	0	192.79094076655053	0
287	0	192.12152777777777	0
288	0	191.4567474048443	0
289	0	190.79655172413794	0
290	0	190.1408934707904	0
291	0	189.48972602739727	0
292	0	188.8430034129693	0
293	0	188.20068027210885	0
294	0	187.5627118644068	0
295	0	186.92905405405406	0
296	0	186.2996632996633	0
297	0	185.6744966442953	0
298	0	185.05351170568562	0
299	0	184.43666666666667	0
300	0	183.82392026578074	0
301	0	183.21523178807948	0
302	0	182.6105610561056	0
303	0	182.00986842105263	0
304	0	181.41311475409836	0
305	0	180.8202614379085	0
306	0	180.23127035830618	0
307	0	179.6461038961039	0
308	0	179.06472491909386	0
309	0	178.48709677419356	0
310	0	177.91318327974275	0
311	0	177.34294871794873	0
312	0	176.77635782747603	0
313	0	176.21337579617835	0
314	0	175.65396825396826	0
315	0	175.09810126582278	0
316	0	174.54574132492112	0
317	0	173.99685534591194	0
