Cycle	Now Cost	Average Cost	Number of Replication

0	555	555.0	332
1	240	397.5	328
2	123	306.0	244
3	150	267.0	296
4	72	228.0	212
5	336	246.0	372
6	192	238.28571428571428	336
7	161	228.625	324
8	161	221.11111111111111	344
9	124	211.4	324
10	298	219.27272727272728	380
11	166	214.83333333333334	384
12	140	209.07692307692307	304
13	158	205.42857142857142	328
14	100	198.4	276
15	122	193.625	292
16	120	189.2941176470588	264
17	132	186.11111111111111	236
18	54	179.1578947368421	136
19	93	174.85	232
20	102	171.38095238095238	164
21	63	166.45454545454547	124
22	46	161.2173913043478	84
23	26	155.58333333333334	60
24	30	150.56	60
25	109	148.96153846153845	92
26	43	145.03703703703704	44
27	39	141.25	40
28	34	137.55172413793105	24
29	11	133.33333333333334	16
30	101	132.29032258064515	44
31	61	130.0625	32
32	1	126.15151515151516	4
33	8	122.67647058823529	4
34	14	119.57142857142857	8
35	26	116.97222222222223	12
36	19	114.32432432432432	20
37	61	112.92105263157895	16
38	70	111.82051282051282	24
39	16	109.425	12
40	26	107.39024390243902	20
41	42	105.83333333333333	16
42	13	103.67441860465117	8
43	47	102.38636363636364	16
44	6	100.24444444444444	4
45	75	99.69565217391305	28
46	43	98.48936170212765	24
47	10	96.64583333333333	4
48	2	94.71428571428571	4
49	29	93.4	8
50	2	91.6078431372549	4
51	4	89.92307692307692	8
52	50	89.16981132075472	16
53	35	88.16666666666667	20
54	15	86.83636363636364	4
55	32	85.85714285714286	8
56	36	84.98245614035088	12
57	11	83.70689655172414	4
58	0	82.28813559322033	0
59	14	81.15	4
60	24	80.21311475409836	16
61	0	78.91935483870968	0
62	0	77.66666666666667	0
63	13	76.65625	8
64	0	75.47692307692307	0
65	0	74.33333333333333	0
66	20	73.5223880597015	4
67	27	72.83823529411765	4
68	0	71.78260869565217	0
69	0	70.75714285714285	0
70	0	69.7605633802817	0
71	0	68.79166666666667	0
72	0	67.84931506849315	0
73	0	66.93243243243244	0
74	0	66.04	0
75	0	65.17105263157895	0
76	0	64.32467532467533	0
77	6	63.57692307692308	4
78	0	62.77215189873418	0
79	0	61.9875	0
80	0	61.22222222222222	0
81	31	60.853658536585364	4
82	14	60.28915662650602	4
83	0	59.57142857142857	0
84	0	58.870588235294115	0
85	5	58.24418604651163	4
86	0	57.57471264367816	0
87	11	57.04545454545455	4
88	0	56.40449438202247	0
89	0	55.77777777777778	0
90	10	55.27472527472528	4
91	11	54.79347826086956	4
92	0	54.204301075268816	0
93	15	53.787234042553195	4
94	0	53.22105263157895	0
95	0	52.666666666666664	0
96	0	52.123711340206185	0
97	3	51.62244897959184	4
98	0	51.101010101010104	0
99	0	50.59	0
100	0	50.08910891089109	0
101	0	49.59803921568628	0
102	0	49.116504854368934	0
103	15	48.78846153846154	4
104	6	48.38095238095238	4
105	0	47.924528301886795	0
106	0	47.47663551401869	0
107	0	47.03703703703704	0
108	0	46.60550458715596	0
109	0	46.18181818181818	0
110	0	45.765765765765764	0
111	0	45.357142857142854	0
112	7	45.017699115044245	4
113	0	44.62280701754386	0
114	0	44.23478260869565	0
115	0	43.85344827586207	0
116	0	43.47863247863248	0
117	0	43.110169491525426	0
118	0	42.747899159663866	0
119	0	42.391666666666666	0
120	0	42.04132231404959	0
121	0	41.69672131147541	0
122	0	41.357723577235774	0
123	0	41.024193548387096	0
124	0	40.696	0
125	0	40.37301587301587	0
126	0	40.05511811023622	0
127	0	39.7421875	0
128	0	39.434108527131784	0
129	0	39.13076923076923	0
130	0	38.83206106870229	0
131	0	38.53787878787879	0
132	0	38.24812030075188	0
133	0	37.96268656716418	0
134	0	37.681481481481484	0
135	0	37.404411764705884	0
136	0	37.13138686131387	0
137	0	36.86231884057971	0
138	0	36.597122302158276	0
139	0	36.33571428571429	0
140	0	36.07801418439716	0
141	0	35.82394366197183	0
142	0	35.57342657342657	0
143	0	35.326388888888886	0
144	0	35.08275862068965	0
145	0	34.842465753424655	0
146	0	34.605442176870746	0
147	0	34.37162162162162	0
148	0	34.14093959731544	0
149	0	33.913333333333334	0
150	0	33.688741721854306	0
151	0	33.4671052631579	0
152	0	33.248366013071895	0
153	0	33.032467532467535	0
154	0	32.81935483870968	0
155	0	32.60897435897436	0
156	0	32.40127388535032	0
157	0	32.19620253164557	0
158	0	31.9937106918239	0
159	0	31.79375	0
160	0	31.596273291925467	0
161	0	31.401234567901234	0
162	0	31.208588957055216	0
163	0	31.01829268292683	0
164	0	30.830303030303032	0
165	0	30.64457831325301	0
166	0	30.461077844311376	0
167	0	30.279761904761905	0
168	0	30.100591715976332	0
169	0	29.923529411764704	0
170	0	29.748538011695906	0
171	18	29.680232558139537	4
172	0	29.508670520231213	0
173	0	29.339080459770116	0
174	0	29.17142857142857	0
175	6	29.039772727272727	4
176	0	28.875706214689266	0
177	0	28.713483146067414	0
178	0	28.553072625698324	0
179	0	28.394444444444446	0
180	0	28.23756906077348	0
181	0	28.082417582417584	0
182	0	27.92896174863388	0
183	0	27.777173913043477	0
184	0	27.627027027027026	0
185	0	27.478494623655912	0
186	0	27.331550802139038	0
187	0	27.18617021276596	0
188	0	27.04232804232804	0
189	0	26.9	0
190	0	26.759162303664922	0
191	0	26.619791666666668	0
192	0	26.481865284974095	0
193	0	26.34536082474227	0
194	0	26.21025641025641	0
195	0	26.0765306122449	0
196	0	25.944162436548222	0
197	0	25.81313131313131	0
198	0	25.683417085427134	0
199	0	25.555	0
200	0	25.427860696517413	0
201	0	25.301980198019802	0
202	0	25.177339901477833	0
203	0	25.05392156862745	0
204	0	24.931707317073172	0
205	0	24.810679611650485	0
206	0	24.690821256038646	0
207	0	24.572115384615383	0
208	0	24.454545454545453	0
209	0	24.33809523809524	0
210	0	24.222748815165875	0
211	0	24.108490566037737	0
212	0	23.995305164319248	0
213	0	23.88317757009346	0
214	0	23.772093023255813	0
215	0	23.662037037037038	0
216	0	23.552995391705068	0
217	0	23.44495412844037	0
218	0	23.337899543378995	0
219	0	23.23181818181818	0
220	0	23.126696832579185	0
221	0	23.02252252252252	0
222	0	22.919282511210763	0
223	0	22.816964285714285	0
224	0	22.715555555555557	0
225	0	22.615044247787612	0
226	0	22.515418502202643	0
227	0	22.416666666666668	0
228	0	22.31877729257642	0
229	0	22.221739130434784	0
230	0	22.125541125541126	0
231	0	22.030172413793103	0
232	0	21.935622317596568	0
233	0	21.84188034188034	0
234	0	21.748936170212765	0
235	0	21.656779661016948	0
236	0	21.565400843881857	0
237	0	21.474789915966387	0
238	0	21.384937238493723	0
239	0	21.295833333333334	0
240	0	21.20746887966805	0
241	0	21.119834710743802	0
242	0	21.032921810699587	0
243	0	20.94672131147541	0
244	0	20.86122448979592	0
245	0	20.776422764227643	0
246	0	20.692307692307693	0
247	0	20.608870967741936	0
248	0	20.526104417670684	0
249	0	20.444	0
250	0	20.362549800796813	0
251	0	20.28174603174603	0
252	0	20.201581027667984	0
253	0	20.12204724409449	0
254	0	20.04313725490196	0
255	0	19.96484375	0
256	0	19.88715953307393	0
257	0	19.810077519379846	0
258	0	19.733590733590734	0
259	0	19.657692307692308	0
260	0	19.582375478927204	0
261	0	19.50763358778626	0
262	0	19.433460076045627	0
263	0	19.359848484848484	0
264	0	19.286792452830188	0
265	0	19.214285714285715	0
266	0	19.142322097378276	0
267	0	19.07089552238806	0
268	0	19.0	0
269	0	18.92962962962963	0
270	0	18.85977859778598	0
271	0	18.790441176470587	0
272	0	18.721611721611723	0
273	0	18.653284671532848	0
274	0	18.585454545454546	0
275	0	18.518115942028984	0
276	0	18.451263537906136	0
277	0	18.384892086330936	0
278	0	18.31899641577061	0
279	0	18.25357142857143	0
280	0	18.18861209964413	0
281	0	18.124113475177303	0
282	0	18.060070671378092	0
283	0	17.996478873239436	0
284	0	17.933333333333334	0
285	0	17.87062937062937	0
286	0	17.808362369337978	0
287	0	17.74652777777778	0
288	0	17.685121107266436	0
289	0	17.624137931034483	0
290	0	17.563573883161514	0
291	0	17.503424657534246	0
292	0	17.44368600682594	0
293	0	17.3843537414966	0
294	0	17.325423728813558	0
295	0	17.26689189189189	0
296	0	17.208754208754208	0
297	0	17.151006711409394	0
298	0	17.093645484949832	0
299	0	17.036666666666665	0
300	0	16.980066445182725	0
301	0	16.923841059602648	0
302	0	16.86798679867987	0
303	0	16.8125	0
304	0	16.757377049180327	0
305	0	16.702614379084967	0
306	0	16.648208469055376	0
307	0	16.594155844155843	0
308	0	16.540453074433657	0
309	0	16.48709677419355	0
310	0	16.434083601286172	0
311	0	16.381410256410255	0
312	0	16.329073482428115	0
313	0	16.277070063694268	0
314	0	16.225396825396825	0
315	0	16.174050632911392	0
316	0	16.123028391167193	0
317	0	16.072327044025158	0
318	0	16.021943573667713	0
319	0	15.971875	0
320	0	15.922118380062305	0
321	0	15.872670807453416	0
322	0	15.823529411764707	0
323	0	15.774691358024691	0
324	0	15.726153846153846	0
325	0	15.677914110429448	0
326	0	15.629969418960245	0
327	0	15.582317073170731	0
328	0	15.534954407294833	0
329	0	15.487878787878788	0
330	0	15.441087613293051	0
331	0	15.394578313253012	0
332	0	15.348348348348349	0
333	0	15.302395209580839	0
334	0	15.256716417910448	0
335	0	15.211309523809524	0
336	0	15.166172106824925	0
337	0	15.121301775147929	0
338	0	15.076696165191741	0
339	0	15.032352941176471	0
340	0	14.988269794721408	0
341	0	14.944444444444445	0
342	0	14.900874635568513	0
343	0	14.857558139534884	0
344	0	14.814492753623188	0
345	0	14.771676300578035	0
346	0	14.729106628242075	0
347	0	14.686781609195402	0
348	0	14.644699140401146	0
349	0	14.602857142857143	0
350	0	14.561253561253562	0
351	0	14.519886363636363	0
352	0	14.478753541076488	0
353	0	14.437853107344633	0
354	0	14.39718309859155	0
355	0	14.356741573033707	0
356	0	14.316526610644258	0
357	0	14.276536312849162	0
358	0	14.236768802228413	0
359	0	14.197222222222223	0
360	0	14.157894736842104	0
361	0	14.11878453038674	0
362	0	14.079889807162534	0
363	0	14.041208791208792	0
364	0	14.002739726027396	0
365	0	13.96448087431694	0
366	0	13.926430517711172	0
367	0	13.888586956521738	0
368	0	13.850948509485095	0
369	0	13.813513513513513	0
370	0	13.776280323450134	0
371	0	13.739247311827956	0
372	0	13.702412868632708	0
373	0	13.665775401069519	0
374	0	13.629333333333333	0
375	0	13.59308510638298	0
376	0	13.557029177718833	0
377	0	13.52116402116402	0
378	0	13.485488126649077	0
379	0	13.45	0
380	0	13.414698162729659	0
381	0	13.379581151832461	0
382	0	13.344647519582246	0
383	0	13.309895833333334	0
384	0	13.275324675324676	0
385	0	13.240932642487047	0
386	0	13.20671834625323	0
387	0	13.172680412371134	0
388	0	13.138817480719794	0
389	0	13.105128205128205	0
390	0	13.07161125319693	0
391	0	13.03826530612245	0
