Cycle	Now Cost	Average Cost	Number of Replication

0	2421	2421.0	332
1	441	1431.0	328
2	120	994.0	244
3	188	792.5	296
4	67	647.4	212
5	1343	763.3333333333334	372
6	312	698.8571428571429	336
7	321	651.625	324
8	238	605.6666666666666	344
9	113	556.4	324
10	1331	626.8181818181819	380
11	280	597.9166666666666	384
12	171	565.0769230769231	304
13	275	544.3571428571429	328
14	97	514.5333333333333	276
15	173	493.1875	292
16	147	472.8235294117647	264
17	314	464.0	236
18	33	441.3157894736842	136
19	88	423.65	232
20	159	411.04761904761904	164
21	68	395.45454545454544	124
22	63	381.0	84
23	19	365.9166666666667	60
24	39	352.84	60
25	813	370.53846153846155	92
26	64	359.18518518518516	44
27	312	357.5	40
28	41	346.58620689655174	24
29	30	336.03333333333336	16
30	826	351.83870967741933	44
31	341	351.5	32
32	1	340.8787878787879	4
33	15	331.29411764705884	4
34	92	324.45714285714286	8
35	173	320.25	12
36	17	312.05405405405406	20
37	181	308.60526315789474	16
38	418	311.4102564102564	24
39	9	303.85	12
40	72	298.1951219512195	20
41	235	296.6904761904762	16
42	10	290.0232558139535	8
43	262	289.3863636363636	16
44	1	282.97777777777776	4
45	590	289.6521739130435	28
46	104	285.70212765957444	24
47	45	280.6875	4
48	3	275.0204081632653	4
49	245	274.42	8
50	1	269.05882352941177	4
51	6	264.0	8
52	322	265.0943396226415	16
53	65	261.3888888888889	20
54	91	258.2909090909091	4
55	335	259.6607142857143	8
56	213	258.8421052631579	12
57	28	254.86206896551724	4
58	0	250.54237288135593	0
59	105	248.11666666666667	4
60	18	244.34426229508196	16
61	0	240.40322580645162	0
62	0	236.5873015873016	0
63	67	233.9375	8
64	0	230.33846153846153	0
65	0	226.84848484848484	0
66	210	226.59701492537314	4
67	378	228.8235294117647	4
68	0	225.5072463768116	0
69	0	222.28571428571428	0
70	0	219.1549295774648	0
71	0	216.11111111111111	0
72	0	213.15068493150685	0
73	0	210.27027027027026	0
74	0	207.46666666666667	0
75	0	204.73684210526315	0
76	0	202.07792207792207	0
77	21	199.75641025641025	4
78	0	197.22784810126583	0
79	0	194.7625	0
80	0	192.35802469135803	0
81	496	196.0609756097561	4
82	105	194.96385542168676	4
83	0	192.64285714285714	0
84	0	190.3764705882353	0
85	15	188.3372093023256	4
86	0	186.17241379310346	0
87	3	184.0909090909091	4
88	0	182.02247191011236	0
89	0	180.0	0
90	55	178.62637362637363	4
91	36	177.07608695652175	4
92	0	175.1720430107527	0
93	120	174.58510638297872	4
94	0	172.74736842105264	0
95	0	170.94791666666666	0
96	0	169.18556701030928	0
97	6	167.5204081632653	4
98	0	165.82828282828282	0
99	0	164.17	0
100	0	162.54455445544554	0
101	0	160.95098039215685	0
102	0	159.38834951456312	0
103	120	159.0096153846154	4
104	21	157.6952380952381	4
105	0	156.20754716981133	0
106	0	154.74766355140187	0
107	0	153.3148148148148	0
108	0	151.90825688073394	0
109	0	150.52727272727273	0
110	0	149.17117117117118	0
111	0	147.83928571428572	0
112	28	146.7787610619469	4
113	0	145.49122807017545	0
114	0	144.22608695652173	0
115	0	142.98275862068965	0
116	0	141.76068376068375	0
117	0	140.5593220338983	0
118	0	139.3781512605042	0
119	0	138.21666666666667	0
120	0	137.07438016528926	0
121	0	135.95081967213116	0
122	0	134.84552845528455	0
123	0	133.75806451612902	0
124	0	132.688	0
125	0	131.63492063492063	0
126	0	130.5984251968504	0
127	0	129.578125	0
128	0	128.57364341085272	0
129	0	127.58461538461539	0
130	0	126.61068702290076	0
131	0	125.65151515151516	0
132	0	124.70676691729324	0
133	0	123.77611940298507	0
134	0	122.85925925925926	0
135	0	121.95588235294117	0
136	0	121.06569343065694	0
137	0	120.18840579710145	0
138	0	119.32374100719424	0
139	0	118.47142857142858	0
140	0	117.63120567375887	0
141	0	116.80281690140845	0
142	0	115.98601398601399	0
143	0	115.18055555555556	0
144	0	114.38620689655173	0
145	0	113.6027397260274	0
146	0	112.82993197278911	0
147	0	112.06756756756756	0
148	0	111.31543624161074	0
149	0	110.57333333333334	0
150	0	109.84105960264901	0
151	0	109.11842105263158	0
152	0	108.40522875816994	0
153	0	107.7012987012987	0
154	0	107.00645161290322	0
155	0	106.32051282051282	0
156	0	105.64331210191082	0
157	0	104.9746835443038	0
158	0	104.31446540880503	0
159	0	103.6625	0
160	0	103.01863354037268	0
161	0	102.38271604938272	0
162	0	101.75460122699387	0
163	0	101.13414634146342	0
164	0	100.52121212121212	0
165	0	99.91566265060241	0
166	0	99.31736526946108	0
167	0	98.72619047619048	0
168	0	98.14201183431953	0
169	0	97.56470588235294	0
170	0	96.99415204678363	0
171	171	97.42441860465117	4
172	0	96.86127167630057	0
173	0	96.30459770114942	0
174	0	95.75428571428571	0
175	21	95.32954545454545	4
176	0	94.7909604519774	0
177	0	94.25842696629213	0
178	0	93.73184357541899	0
179	0	93.21111111111111	0
180	0	92.69613259668509	0
181	0	92.18681318681318	0
182	0	91.68306010928961	0
183	0	91.18478260869566	0
184	0	90.69189189189188	0
185	0	90.20430107526882	0
186	0	89.72192513368984	0
187	0	89.24468085106383	0
188	0	88.77248677248677	0
189	0	88.30526315789474	0
190	0	87.84293193717278	0
191	0	87.38541666666667	0
192	0	86.93264248704664	0
193	0	86.48453608247422	0
194	0	86.04102564102564	0
195	0	85.60204081632654	0
196	0	85.16751269035532	0
197	0	84.73737373737374	0
198	0	84.31155778894473	0
199	0	83.89	0
200	0	83.4726368159204	0
201	0	83.05940594059406	0
202	0	82.65024630541872	0
203	0	82.24509803921569	0
204	0	81.84390243902439	0
205	0	81.44660194174757	0
206	0	81.05314009661836	0
207	0	80.66346153846153	0
208	0	80.27751196172248	0
209	0	79.8952380952381	0
210	0	79.51658767772511	0
211	0	79.14150943396227	0
212	0	78.7699530516432	0
213	0	78.40186915887851	0
214	0	78.03720930232558	0
215	0	77.67592592592592	0
216	0	77.31797235023042	0
217	0	76.96330275229357	0
218	0	76.61187214611873	0
219	0	76.26363636363637	0
220	0	75.91855203619909	0
221	0	75.57657657657657	0
222	0	75.23766816143498	0
223	0	74.90178571428571	0
224	0	74.56888888888889	0
225	0	74.23893805309734	0
226	0	73.91189427312776	0
227	0	73.58771929824562	0
228	0	73.26637554585153	0
229	0	72.94782608695652	0
230	0	72.63203463203463	0
231	0	72.31896551724138	0
232	0	72.00858369098712	0
233	0	71.7008547008547	0
234	0	71.39574468085107	0
235	0	71.09322033898304	0
236	0	70.79324894514768	0
237	0	70.49579831932773	0
238	0	70.20083682008368	0
239	0	69.90833333333333	0
240	0	69.61825726141079	0
241	0	69.3305785123967	0
242	0	69.04526748971193	0
243	0	68.76229508196721	0
244	0	68.48163265306123	0
245	0	68.20325203252033	0
246	0	67.92712550607287	0
247	0	67.65322580645162	0
248	0	67.38152610441767	0
249	0	67.112	0
250	0	66.84462151394422	0
251	0	66.57936507936508	0
252	0	66.31620553359684	0
253	0	66.05511811023622	0
254	0	65.79607843137255	0
255	0	65.5390625	0
256	0	65.284046692607	0
257	0	65.03100775193798	0
258	0	64.77992277992279	0
259	0	64.53076923076924	0
260	0	64.28352490421456	0
261	0	64.0381679389313	0
262	0	63.79467680608365	0
263	0	63.553030303030305	0
264	0	63.31320754716981	0
265	0	63.07518796992481	0
266	0	62.838951310861425	0
267	0	62.6044776119403	0
268	0	62.37174721189591	0
269	0	62.14074074074074	0
270	0	61.91143911439114	0
271	0	61.68382352941177	0
272	0	61.45787545787546	0
273	0	61.23357664233577	0
274	0	61.01090909090909	0
275	0	60.789855072463766	0
276	0	60.57039711191336	0
277	0	60.35251798561151	0
278	0	60.13620071684588	0
279	0	59.92142857142857	0
280	0	59.70818505338078	0
281	0	59.49645390070922	0
282	0	59.28621908127209	0
283	0	59.07746478873239	0
284	0	58.87017543859649	0
285	0	58.66433566433567	0
286	0	58.45993031358885	0
287	0	58.25694444444444	0
288	0	58.055363321799305	0
289	0	57.855172413793106	0
290	0	57.65635738831615	0
291	0	57.45890410958904	0
292	0	57.262798634812285	0
293	0	57.06802721088435	0
294	0	56.87457627118644	0
295	0	56.682432432432435	0
296	0	56.49158249158249	0
297	0	56.30201342281879	0
298	0	56.11371237458194	0
299	0	55.92666666666667	0
300	0	55.74086378737542	0
301	0	55.556291390728475	0
302	0	55.37293729372937	0
303	0	55.19078947368421	0
304	0	55.00983606557377	0
305	0	54.830065359477125	0
306	0	54.6514657980456	0
307	0	54.47402597402598	0
308	0	54.297734627831716	0
309	0	54.12258064516129	0
310	0	53.948553054662376	0
311	0	53.77564102564103	0
312	0	53.6038338658147	0
313	0	53.43312101910828	0
314	0	53.263492063492066	0
315	0	53.09493670886076	0
316	0	52.927444794952685	0
317	0	52.76100628930818	0
318	0	52.59561128526646	0
319	0	52.43125	0
320	0	52.26791277258567	0
321	0	52.1055900621118	0
322	0	51.94427244582043	0
323	0	51.78395061728395	0
324	0	51.62461538461538	0
325	0	51.466257668711656	0
326	0	51.308868501529055	0
327	0	51.15243902439025	0
328	0	50.99696048632219	0
329	0	50.842424242424244	0
330	0	50.68882175226586	0
331	0	50.536144578313255	0
332	0	50.38438438438438	0
333	0	50.23353293413174	0
334	0	50.08358208955224	0
335	0	49.93452380952381	0
336	0	49.78635014836795	0
337	0	49.63905325443787	0
338	0	49.49262536873157	0
339	0	49.34705882352941	0
340	0	49.20234604105572	0
341	0	49.058479532163744	0
342	0	48.91545189504373	0
343	0	48.77325581395349	0
344	0	48.631884057971014	0
345	0	48.49132947976879	0
346	0	48.351585014409224	0
347	0	48.21264367816092	0
348	0	48.07449856733524	0
349	0	47.93714285714286	0
350	0	47.800569800569804	0
351	0	47.66477272727273	0
352	0	47.52974504249292	0
353	0	47.3954802259887	0
354	0	47.261971830985914	0
355	0	47.12921348314607	0
356	0	46.99719887955182	0
357	0	46.865921787709496	0
358	0	46.73537604456825	0
359	0	46.605555555555554	0
360	0	46.47645429362881	0
361	0	46.348066298342545	0
362	0	46.22038567493113	0
363	0	46.09340659340659	0
364	0	45.967123287671235	0
365	0	45.84153005464481	0
366	0	45.716621253406	0
367	0	45.59239130434783	0
368	0	45.46883468834688	0
369	0	45.34594594594594	0
370	0	45.22371967654986	0
371	0	45.10215053763441	0
372	0	44.98123324396783	0
373	0	44.86096256684492	0
374	0	44.74133333333333	0
375	0	44.62234042553192	0
376	0	44.50397877984085	0
377	0	44.386243386243386	0
378	0	44.26912928759894	0
379	0	44.15263157894737	0
380	0	44.036745406824146	0
381	0	43.92146596858639	0
382	0	43.806788511749346	0
383	0	43.692708333333336	0
384	0	43.579220779220776	0
385	0	43.46632124352332	0
386	0	43.354005167958654	0
387	0	43.24226804123711	0
388	0	43.131105398457585	0
389	0	43.02051282051282	0
390	0	42.910485933503836	0
391	0	42.80102040816327	0
392	0	42.69211195928753	0
393	0	42.58375634517766	0
394	0	42.47594936708861	0
395	0	42.36868686868687	0
396	0	42.26196473551637	0
397	0	42.15577889447236	0
398	0	42.05012531328321	0
399	0	41.945	0
400	0	41.84039900249377	0
401	0	41.7363184079602	0
402	0	41.63275434243176	0
403	0	41.52970297029703	0
404	0	41.42716049382716	0
405	0	41.32512315270936	0
406	0	41.223587223587224	0
407	0	41.122549019607845	0
408	0	41.02200488997555	0
409	0	40.921951219512195	0
410	0	40.82238442822384	0
411	0	40.72330097087379	0
412	0	40.624697336561745	0
413	0	40.52657004830918	0
414	0	40.4289156626506	0
415	0	40.33173076923077	0
416	0	40.23501199040767	0
417	0	40.13875598086124	0
418	0	40.042959427207634	0
419	0	39.94761904761905	0
420	0	39.85273159144893	0
421	0	39.758293838862556	0
422	0	39.664302600472816	0
423	0	39.570754716981135	0
424	0	39.47764705882353	0
425	0	39.3849765258216	0
426	0	39.29274004683841	0
427	0	39.200934579439256	0
428	0	39.10955710955711	0
429	0	39.01860465116279	0
430	0	38.928074245939676	0
431	0	38.83796296296296	0
432	0	38.748267898383375	0
433	0	38.65898617511521	0
434	0	38.57011494252873	0
435	0	38.481651376146786	0
436	0	38.39359267734554	0
437	0	38.305936073059364	0
438	0	38.21867881548975	0
439	0	38.13181818181818	0
440	0	38.0453514739229	0
441	0	37.959276018099544	0
442	0	37.87358916478555	0
443	0	37.788288288288285	0
444	0	37.70337078651686	0
445	0	37.61883408071749	0
446	0	37.53467561521253	0
447	0	37.450892857142854	0
448	0	37.367483296213805	0
449	0	37.284444444444446	0
450	0	37.20177383592018	0
451	0	37.11946902654867	0
452	0	37.037527593818986	0
453	0	36.95594713656388	0
454	0	36.87472527472527	0
455	0	36.79385964912281	0
456	0	36.713347921225385	0
457	0	36.633187772925766	0
458	0	36.553376906318086	0
459	0	36.47391304347826	0
460	0	36.39479392624729	0
461	0	36.316017316017316	0
462	0	36.23758099352052	0
463	0	36.15948275862069	0
464	0	36.081720430107524	0
465	0	36.00429184549356	0
466	0	35.92719486081371	0
467	0	35.85042735042735	0
468	0	35.77398720682303	0
469	0	35.69787234042553	0
470	0	35.62208067940552	0
471	0	35.54661016949152	0
472	0	35.471458773784356	0
473	0	35.39662447257384	0
474	0	35.322105263157894	0
475	0	35.247899159663866	0
476	0	35.17400419287212	0
477	0	35.10041841004184	0
478	0	35.02713987473904	0
479	0	34.954166666666666	0
480	0	34.88149688149688	0
481	0	34.809128630705395	0
482	0	34.737060041407865	0
483	0	34.66528925619835	0
484	0	34.59381443298969	0
485	0	34.522633744855966	0
486	0	34.4517453798768	0
487	0	34.381147540983605	0
488	0	34.31083844580777	0
489	0	34.24081632653061	0
490	0	34.17107942973524	0
491	0	34.10162601626016	0
492	0	34.03245436105477	0
493	0	33.963562753036435	0
494	0	33.89494949494949	0
495	0	33.82661290322581	0
496	0	33.758551307847085	0
497	0	33.69076305220884	0
498	0	33.62324649298597	0
499	0	33.556	0
