Cycle	Cumulative Occupancy

0	1840.0
1	4390.0
2	7670.0
3	11670.0
4	16340.0
5	22100.0
6	28540.0
7	35580.0
8	43390.0
9	51870.0
10	60870.0
11	70460.0
12	80580.0
13	91290.0
14	102570.0
15	114370.0
16	126460.0
17	138850.0
18	151440.0
19	164270.0
20	177420.0
21	190680.0
22	204220.0
23	217770.0
24	231240.0
25	244640.0
26	257980.0
27	271210.0
28	284220.0
29	297090.0
30	309830.0
31	322330.0
32	334520.0
33	346460.0
34	358250.0
35	369890.0
36	381440.0
37	392780.0
38	403950.0
39	414960.0
40	425820.0
41	436600.0
42	447140.0
43	457370.0
44	467380.0
45	477180.0
46	486850.0
47	496380.0
48	505790.0
49	514950.0
50	524030.0
51	532980.0
52	541780.0
53	550400.0
54	558850.0
55	567680.0
56	576400.0
57	584950.0
58	593390.0
59	601650.0
60	609680.0
61	617460.0
62	625100.0
63	632490.0
64	639690.0
65	646720.0
66	653620.0
67	660440.0
68	667140.0
69	673700.0
70	680120.0
71	686390.0
72	692480.0
73	698430.0
74	704230.0
75	709930.0
76	715530.0
77	721040.0
78	726470.0
79	731820.0
80	737130.0
81	742280.0
82	747270.0
83	752150.0
84	756980.0
85	762470.0
86	767820.0
87	773030.0
88	778160.0
89	783170.0
90	788130.0
91	792990.0
92	797700.0
93	802270.0
94	806810.0
95	811280.0
96	815710.0
97	820070.0
98	824320.0
99	828530.0
100	832700.0
101	836780.0
102	840820.0
103	844810.0
104	848760.0
105	852670.0
106	856550.0
107	860310.0
108	864000.0
109	867640.0
110	871200.0
111	874670.0
112	878100.0
113	881440.0
114	884700.0
115	887860.0
116	890930.0
117	893880.0
118	896750.0
119	899570.0
120	902340.0
121	905060.0
122	907760.0
123	910400.0
124	913020.0
125	915930.0
126	918760.0
127	921530.0
128	924260.0
129	926980.0
130	929680.0
131	932360.0
132	935030.0
133	937640.0
134	940170.0
135	942830.0
136	945430.0
137	947990.0
138	950500.0
139	952950.0
140	955900.0
141	958820.0
142	961680.0
143	964480.0
144	967220.0
145	970280.0
146	973290.0
147	976200.0
148	979060.0
149	981820.0
150	984540.0
151	987200.0
152	989820.0
153	992400.0
154	994930.0
155	997490.0
156	1000020.0
157	1002440.0
158	1004830.0
159	1007230.0
160	1009590.0
161	1011900.0
162	1014150.0
163	1016360.0
164	1018530.0
165	1020840.0
166	1023100.0
167	1025320.0
168	1027500.0
169	1029660.0
170	1031840.0
171	1033950.0
172	1036050.0
173	1038090.0
174	1040070.0
175	1042010.0
176	1043940.0
177	1045840.0
178	1047700.0
179	1049510.0
180	1051690.0
181	1053830.0
182	1055940.0
183	1058020.0
184	1060060.0
185	1062140.0
186	1064200.0
187	1066230.0
188	1068220.0
189	1070140.0
190	1072200.0
191	1074200.0
192	1076130.0
193	1078030.0
194	1079900.0
195	1081800.0
196	1083660.0
197	1085500.0
198	1087320.0
199	1089110.0
200	1091440.0
201	1093670.0
202	1095880.0
203	1098000.0
204	1100060.0
205	1102100.0
206	1104090.0
207	1106070.0
208	1107990.0
209	1109870.0
210	1111770.0
211	1113640.0
212	1115500.0
213	1117310.0
214	1119050.0
215	1120780.0
216	1122490.0
217	1124190.0
218	1125890.0
219	1127570.0
220	1129260.0
221	1130900.0
222	1132510.0
223	1134090.0
224	1135650.0
225	1137190.0
226	1138700.0
227	1140190.0
228	1141650.0
229	1143090.0
230	1144530.0
231	1145940.0
232	1147320.0
233	1148700.0
234	1150050.0
235	1151430.0
236	1152780.0
237	1154110.0
238	1155380.0
239	1156620.0
240	1157770.0
241	1158890.0
242	1159960.0
243	1161020.0
244	1162050.0
245	1163690.0
246	1165280.0
247	1166850.0
248	1168390.0
249	1169920.0
250	1171430.0
251	1172910.0
252	1174340.0
253	1175730.0
254	1177050.0
255	1178360.0
256	1179650.0
257	1180940.0
258	1182190.0
259	1183420.0
260	1184620.0
261	1185790.0
262	1186940.0
263	1188060.0
264	1189180.0
265	1190280.0
266	1191350.0
267	1192390.0
268	1193400.0
269	1194400.0
270	1195400.0
271	1196360.0
272	1197310.0
273	1198210.0
274	1199090.0
275	1199940.0
276	1200760.0
277	1201550.0
278	1202320.0
279	1203070.0
280	1203810.0
281	1204490.0
282	1205150.0
283	1205800.0
284	1206440.0
285	1207050.0
286	1207640.0
287	1208210.0
288	1208740.0
289	1209270.0
290	1209790.0
291	1210290.0
292	1210760.0
293	1211230.0
294	1211690.0
295	1212130.0
296	1212570.0
297	1213000.0
298	1213410.0
299	1213820.0
300	1214230.0
301	1214620.0
302	1215000.0
303	1215380.0
304	1215740.0
305	1216090.0
306	1216430.0
307	1216760.0
308	1217070.0
309	1217370.0
310	1217640.0
311	1217900.0
312	1218150.0
313	1218400.0
314	1218640.0
315	1218880.0
316	1219120.0
317	1219350.0
318	1219580.0
319	1219810.0
320	1220030.0
321	1220250.0
322	1220470.0
323	1220690.0
324	1220900.0
325	1221110.0
326	1221320.0
327	1221530.0
328	1221720.0
329	1221910.0
330	1222100.0
331	1222290.0
332	1222480.0
333	1222670.0
334	1222860.0
335	1223050.0
336	1223240.0
337	1223430.0
338	1223620.0
339	1223800.0
340	1223980.0
341	1224160.0
342	1224340.0
343	1224510.0
344	1224680.0
345	1224850.0
346	1225020.0
347	1225190.0
348	1225360.0
349	1225530.0
350	1225690.0
351	1225850.0
352	1226010.0
353	1226170.0
354	1226330.0
355	1226490.0
356	1226650.0
357	1226790.0
358	1226910.0
359	1227020.0
360	1227130.0
361	1227230.0
362	1227330.0
363	1227430.0
364	1227530.0
365	1227630.0
366	1227730.0
367	1227820.0
368	1227910.0
369	1228000.0
370	1228090.0
371	1228180.0
372	1228260.0
373	1228340.0
374	1228410.0
375	1228480.0
376	1228550.0
377	1228620.0
378	1228690.0
379	1228760.0
380	1228830.0
381	1228900.0
382	1228970.0
383	1229030.0
384	1229090.0
385	1229150.0
386	1229190.0
387	1229230.0
388	1229270.0
389	1229310.0
390	1229350.0
391	1229390.0
392	1229430.0
393	1229470.0
394	1229500.0
395	1229530.0
396	1229560.0
397	1229590.0
398	1229620.0
399	1229650.0
400	1229680.0
401	1229710.0
402	1229740.0
403	1229770.0
404	1229800.0
405	1229830.0
406	1229860.0
407	1229890.0
408	1229920.0
409	1229950.0
410	1229980.0
411	1230010.0
412	1230040.0
413	1230070.0
414	1230100.0
415	1230130.0
416	1230160.0
417	1230190.0
418	1230220.0
419	1230240.0
420	1230260.0
421	1230280.0
422	1230300.0
423	1230320.0
424	1230340.0
425	1230360.0
426	1230380.0
427	1230400.0
428	1230420.0
429	1230440.0
430	1230460.0
431	1230480.0
432	1230500.0
433	1230520.0
434	1230540.0
435	1230560.0
436	1230580.0
437	1230600.0
438	1230620.0
439	1230640.0
440	1230650.0
441	1230660.0
442	1230670.0
443	1230680.0
444	1230690.0
445	1230700.0
446	1230710.0
447	1230720.0
448	1230730.0
449	1230740.0
450	1230750.0
451	1230760.0
452	1230770.0
453	1230780.0
454	1230790.0
455	1230800.0
456	1230810.0
457	1230820.0
458	1230830.0
459	1230840.0
460	1230850.0
461	1230860.0
462	1230870.0
463	1230880.0
464	1230890.0
465	1230900.0
466	1230910.0
467	1230920.0
468	1230930.0
469	1230940.0
470	1230950.0
471	1230960.0
472	1230970.0
473	1230980.0
474	1230990.0
475	1231000.0
476	1231010.0
477	1231020.0
478	1231030.0
479	1231040.0
480	1231050.0
481	1231060.0
482	1231070.0
483	1231080.0
484	1231090.0
485	1231100.0
486	1231110.0
487	1231120.0
488	1231130.0
489	1231140.0
490	1231150.0
491	1231160.0
492	1231170.0
493	1231180.0
494	1231190.0
495	1231200.0
496	1231210.0
497	1231220.0
498	1231230.0
499	1231240.0
