Cycle	Cumulative Occupancy

0	3640.0
1	8800.0
2	14820.0
3	21650.0
4	29230.0
5	41390.0
6	55230.0
7	70390.0
8	86770.0
9	104270.0
10	126080.0
11	149810.0
12	174920.0
13	201180.0
14	228630.0
15	259890.0
16	293190.0
17	327810.0
18	363790.0
19	400750.0
20	442110.0
21	485320.0
22	529890.0
23	575500.0
24	621850.0
25	673250.0
26	726410.0
27	780440.0
28	834850.0
29	889610.0
30	948190.0
31	1008070.0
32	1068920.0
33	1130250.0
34	1191520.0
35	1256190.0
36	1322110.0
37	1388440.0
38	1455350.0
39	1522890.0
40	1594630.0
41	1667250.0
42	1740510.0
43	1813970.0
44	1887290.0
45	1964250.0
46	2041780.0
47	2119900.0
48	2198680.0
49	2277620.0
50	2359490.0
51	2440980.0
52	2523630.0
53	2606110.0
54	2688090.0
55	2772360.0
56	2857480.0
57	2942730.0
58	3027900.0
59	3112320.0
60	3199300.0
61	3287200.0
62	3375470.0
63	3463380.0
64	3551000.0
65	3641230.0
66	3731430.0
67	3821460.0
68	3911190.0
69	4000870.0
70	4092990.0
71	4185290.0
72	4277270.0
73	4368020.0
74	4457690.0
75	4548920.0
76	4639710.0
77	4729600.0
78	4819370.0
79	4908570.0
80	4999300.0
81	5089970.0
82	5179730.0
83	5268880.0
84	5357420.0
85	5447590.0
86	5538540.0
87	5629080.0
88	5718470.0
89	5807470.0
90	5898070.0
91	5988670.0
92	6078930.0
93	6168720.0
94	6257330.0
95	6347470.0
96	6437140.0
97	6526020.0
98	6614670.0
99	6702510.0
100	6791230.0
101	6880140.0
102	6968930.0
103	7056360.0
104	7143020.0
105	7230920.0
106	7318640.0
107	7405660.0
108	7492290.0
109	7577780.0
110	7664690.0
111	7751850.0
112	7838500.0
113	7924590.0
114	8010140.0
115	8096290.0
116	8181930.0
117	8266720.0
118	8350860.0
119	8434410.0
120	8518210.0
121	8602060.0
122	8685150.0
123	8767590.0
124	8848480.0
125	8929630.0
126	9011150.0
127	9092690.0
128	9173660.0
129	9254120.0
130	9335000.0
131	9416390.0
132	9496940.0
133	9577290.0
134	9656870.0
135	9737520.0
136	9818120.0
137	9897930.0
138	9977190.0
139	1.00556E7
