Cycle	Now Cost	Average Cost	Number of Replication

0	2731	2731.0	320
1	310	1520.5	392
2	137	1059.3333333333333	272
3	116	823.5	296
4	147	688.2	260
5	2256	949.5	636
6	271	852.5714285714286	592
7	212	772.5	552
8	203	709.2222222222222	484
9	154	653.7	624
10	1315	713.8181818181819	852
11	343	682.9166666666666	824
12	225	647.6923076923077	728
13	210	616.4285714285714	740
14	201	588.7333333333333	704
15	1382	638.3125	964
16	462	627.9411764705883	880
17	336	611.7222222222222	800
18	264	593.421052631579	816
19	233	575.4	724
20	1561	622.3333333333334	1060
21	503	616.9090909090909	904
22	328	604.3478260869565	796
23	235	588.9583333333334	828
24	181	572.64	688
25	2531	647.9615384615385	1236
26	344	636.7037037037037	956
27	245	622.7142857142857	804
28	211	608.5172413793103	808
29	183	594.3333333333334	732
30	1404	620.4516129032259	1068
31	368	612.5625	968
32	324	603.8181818181819	844
33	265	593.8529411764706	812
34	157	581.3714285714286	668
35	1241	599.6944444444445	1044
36	361	593.2432432432432	876
37	261	584.5	756
38	208	574.8461538461538	704
39	238	566.425	688
40	2263	607.8048780487804	1176
41	408	603.047619047619	872
42	273	595.3720930232558	756
43	229	587.0454545454545	732
44	198	578.4	732
45	2863	628.0652173913044	1056
46	392	623.0425531914893	844
47	269	615.6666666666666	776
48	209	607.3673469387755	776
49	188	598.98	720
50	783	602.5882352941177	1092
51	327	597.2884615384615	844
52	272	591.1509433962265	772
53	236	584.574074074074	772
54	155	576.7636363636364	680
55	1690	596.6428571428571	948
56	353	592.3684210526316	804
57	300	587.3275862068965	840
58	224	581.1694915254237	760
59	174	574.3833333333333	644
60	930	580.2131147540983	1084
61	346	576.4354838709677	872
62	275	571.6507936507936	736
63	197	565.796875	680
64	250	560.9384615384615	736
65	1805	579.7878787878788	1108
66	450	577.8507462686567	780
67	242	572.9117647058823	756
68	224	567.8550724637681	704
69	207	562.7	780
70	2876	595.2816901408451	980
71	439	593.1111111111111	840
72	316	589.3150684931506	852
73	187	583.8783783783783	588
74	192	578.6533333333333	632
75	1528	591.1447368421053	876
76	344	587.9350649350649	840
77	262	583.7564102564103	700
78	220	579.1518987341772	664
79	191	574.3	628
80	928	578.6666666666666	812
81	379	576.2317073170732	856
82	269	572.5301204819277	640
83	259	568.797619047619	656
84	230	564.8117647058823	688
85	1506	575.7558139534884	852
86	366	573.3448275862069	772
87	267	569.8636363636364	724
88	204	565.7528089887641	608
89	213	561.8333333333334	644
90	1863	576.1318681318681	880
91	339	573.554347826087	664
92	353	571.1827956989247	640
93	246	567.7234042553191	732
94	186	563.7052631578947	524
95	1287	571.2395833333334	764
96	294	568.3814432989691	620
97	318	565.8265306122449	656
98	280	562.939393939394	612
99	169	559.0	460
100	1363	566.960396039604	812
101	382	565.1470588235294	672
102	327	562.8349514563107	668
103	220	559.5384615384615	508
104	230	556.4	548
105	1956	569.6037735849056	756
106	346	567.5140186915888	648
107	215	564.25	576
108	217	561.0642201834862	508
109	224	558.0	568
110	1849	569.6306306306307	716
111	357	567.7321428571429	616
112	271	565.1061946902655	560
113	234	562.2017543859649	548
114	229	559.304347826087	576
115	1370	566.2931034482758	652
116	300	564.017094017094	508
117	276	561.5762711864406	524
118	227	558.7647058823529	528
119	211	555.8666666666667	484
120	770	557.6363636363636	560
121	511	557.2540983606557	576
122	295	555.1219512195122	468
123	213	552.3629032258065	372
124	159	549.216	376
125	1365	555.6904761904761	568
126	455	554.8976377952756	540
127	338	553.203125	488
128	219	550.6124031007752	432
129	164	547.6384615384616	420
130	1438	554.4351145038167	540
131	328	552.719696969697	524
132	199	550.0601503759399	384
133	290	548.1194029850747	352
134	164	545.2740740740741	344
135	1648	553.3823529411765	436
136	263	551.2627737226277	376
137	227	548.9130434782609	368
138	197	546.3812949640288	384
139	157	543.6	336
140	1661	551.5248226950355	480
141	354	550.1338028169014	436
142	195	547.6503496503497	360
143	150	544.8888888888889	264
144	115	541.9241379310345	280
145	686	542.9109589041096	376
146	490	542.5510204081633	420
147	247	540.5540540540541	372
148	172	538.0805369127517	264
149	158	535.5466666666666	240
150	761	537.0397350993378	316
151	614	537.546052631579	320
152	268	535.7843137254902	360
153	173	533.4285714285714	216
154	202	531.2903225806451	272
155	1109	534.9935897435897	264
156	371	533.9490445859873	260
157	198	531.8227848101266	240
158	169	529.5408805031446	248
159	138	527.09375	208
160	1222	531.4099378881988	240
161	297	529.9629629629629	228
162	246	528.2208588957055	224
163	147	525.8963414634146	192
164	200	523.9212121212121	168
165	1404	529.222891566265	208
166	229	527.4251497005988	184
167	219	525.5892857142857	220
168	118	523.1775147928994	184
169	154	521.0058823529412	164
170	1706	527.9356725146199	192
171	259	526.3720930232558	212
172	258	524.820809248555	204
173	169	522.7758620689655	176
174	85	520.2742857142857	112
175	1130	523.7386363636364	216
176	409	523.090395480226	192
177	205	521.3033707865169	128
178	174	519.3631284916202	208
179	95	517.0055555555556	120
180	686	517.939226519337	172
181	268	516.565934065934	128
182	297	515.3661202185792	120
183	323	514.320652173913	128
184	187	512.5513513513514	104
185	1148	515.9677419354839	136
186	308	514.855614973262	136
187	74	512.5106382978723	76
188	225	510.989417989418	104
189	249	509.61052631578946	88
190	162	507.79057591623035	100
191	60	505.4583333333333	56
192	69	503.1968911917098	60
193	150	501.37628865979383	92
194	93	499.28205128205127	80
195	607	499.8316326530612	112
196	60	497.5989847715736	32
197	327	496.73737373737373	84
198	94	494.713567839196	48
199	68	492.58	68
200	569	492.96019900497515	72
201	192	491.470297029703	60
202	113	489.60591133004925	48
203	472	489.51960784313724	64
204	173	487.9756097560976	44
205	932	490.13106796116506	44
206	74	488.1207729468599	36
207	254	486.9951923076923	52
208	301	486.10526315789474	72
209	132	484.4190476190476	28
210	234	483.23222748815164	48
211	284	482.29245283018867	40
212	45	480.23943661971833	36
213	301	479.4018691588785	56
214	375	478.9162790697674	40
215	164	477.4583333333333	24
216	242	476.37327188940094	48
217	186	475.04128440366975	44
218	65	473.1689497716895	32
219	118	471.55454545454546	20
220	116	469.9457013574661	20
221	473	469.9594594594595	40
222	166	468.5964125560538	44
223	16	466.57589285714283	20
224	46	464.70666666666665	8
225	275	463.86725663716817	52
226	184	462.63436123348015	24
227	1	460.609649122807	4
228	923	462.6288209606987	20
229	4	460.6347826086957	8
230	42	458.8225108225108	16
231	404	458.58620689655174	28
232	34	456.7639484978541	20
233	3	454.8247863247863	4
234	78	453.22127659574465	4
235	310	452.614406779661	8
236	20	450.789029535865	8
237	38	449.0546218487395	12
238	28	447.2928870292887	4
239	0	445.4291666666667	4
240	29	443.701244813278	12
241	53	442.08677685950414	16
242	0	440.26748971193416	0
243	3	438.4754098360656	4
244	178	437.41224489795917	12
245	4	435.650406504065	8
246	105	434.31174089068827	4
247	0	432.56048387096774	0
248	15	430.8835341365462	4
249	55	429.38	4
250	46	427.85258964143424	8
251	0	426.1547619047619	0
252	16	424.5335968379447	8
253	15	422.9212598425197	4
254	0	421.2627450980392	0
255	0	419.6171875	0
256	0	417.98443579766536	0
257	0	416.3643410852713	0
258	15	414.81467181467184	4
259	0	413.21923076923076	0
260	0	411.6360153256705	0
261	0	410.0648854961832	0
262	0	408.5057034220532	0
263	0	406.9583333333333	0
264	0	405.42264150943396	0
265	0	403.8984962406015	0
266	0	402.38576779026215	0
267	0	400.88432835820896	0
268	0	399.3940520446097	0
269	0	397.9148148148148	0
270	0	396.44649446494464	0
271	0	394.9889705882353	0
272	0	393.54212454212455	0
273	0	392.1058394160584	0
274	0	390.68	0
275	0	389.2644927536232	0
276	0	387.85920577617327	0
277	0	386.4640287769784	0
278	0	385.078853046595	0
279	0	383.7035714285714	0
280	0	382.33807829181495	0
281	0	380.9822695035461	0
282	0	379.63604240282683	0
283	0	378.2992957746479	0
284	0	376.9719298245614	0
285	0	375.65384615384613	0
286	0	374.3449477351916	0
287	0	373.0451388888889	0
288	0	371.75432525951555	0
289	0	370.47241379310344	0
290	0	369.1993127147766	0
291	0	367.9349315068493	0
292	0	366.679180887372	0
293	0	365.43197278911566	0
294	0	364.19322033898305	0
295	0	362.9628378378378	0
296	0	361.74074074074076	0
297	0	360.5268456375839	0
298	0	359.32107023411373	0
299	0	358.12333333333333	0
300	0	356.93355481727576	0
301	0	355.75165562913907	0
302	0	354.57755775577556	0
303	0	353.4111842105263	0
304	0	352.25245901639346	0
305	0	351.10130718954247	0
306	0	349.95765472312706	0
307	0	348.82142857142856	0
308	0	347.6925566343042	0
309	0	346.5709677419355	0
310	0	345.45659163987136	0
311	0	344.34935897435895	0
312	0	343.24920127795525	0
313	0	342.156050955414	0
314	0	341.0698412698413	0
315	0	339.99050632911394	0
316	0	338.9179810725552	0
317	0	337.8522012578616	0
318	0	336.7931034482759	0
319	0	335.740625	0
320	0	334.69470404984423	0
321	0	333.6552795031056	0
322	0	332.6222910216718	0
323	0	331.59567901234567	0
324	0	330.5753846153846	0
325	0	329.56134969325154	0
326	0	328.5535168195719	0
327	0	327.5518292682927	0
328	0	326.5562310030395	0
329	0	325.56666666666666	0
330	0	324.58308157099697	0
331	0	323.605421686747	0
332	0	322.6336336336336	0
333	0	321.66766467065867	0
334	0	320.70746268656717	0
335	0	319.7529761904762	0
336	0	318.8041543026706	0
337	0	317.8609467455621	0
338	0	316.9233038348083	0
339	0	315.99117647058824	0
340	0	315.06451612903226	0
341	0	314.1432748538012	0
342	0	313.2274052478134	0
343	0	312.3168604651163	0
344	0	311.4115942028985	0
345	0	310.5115606936416	0
346	0	309.61671469740634	0
347	0	308.72701149425285	0
348	0	307.84240687679085	0
349	0	306.96285714285716	0
350	0	306.0883190883191	0
351	0	305.21875	0
352	0	304.35410764872523	0
353	0	303.49435028248587	0
354	0	302.6394366197183	0
355	0	301.78932584269666	0
356	0	300.9439775910364	0
357	0	300.1033519553073	0
358	0	299.2674094707521	0
359	0	298.43611111111113	0
360	0	297.60941828254846	0
361	0	296.78729281767954	0
362	0	295.969696969697	0
363	0	295.1565934065934	0
364	0	294.34794520547945	0
365	0	293.54371584699453	0
366	0	292.74386920980925	0
367	0	291.9483695652174	0
368	0	291.1571815718157	0
369	0	290.3702702702703	0
370	0	289.5876010781671	0
371	0	288.80913978494624	0
372	0	288.0348525469169	0
373	0	287.2647058823529	0
374	0	286.4986666666667	0
375	0	285.73670212765956	0
376	0	284.9787798408488	0
377	0	284.22486772486775	0
378	0	283.4749340369393	0
379	0	282.7289473684211	0
380	0	281.98687664041995	0
381	0	281.24869109947645	0
382	0	280.51436031331593	0
383	0	279.7838541666667	0
384	0	279.0571428571429	0
385	0	278.3341968911917	0
386	0	277.61498708010333	0
387	0	276.89948453608247	0
388	0	276.1876606683805	0
389	0	275.4794871794872	0
390	0	274.7749360613811	0
391	0	274.07397959183675	0
392	0	273.3765903307888	0
393	0	272.6827411167513	0
394	0	271.99240506329113	0
395	0	271.30555555555554	0
396	0	270.6221662468514	0
397	0	269.9422110552764	0
398	0	269.265664160401	0
399	0	268.5925	0
400	0	267.92269326683294	0
401	0	267.2562189054726	0
402	0	266.59305210918114	0
403	0	265.9331683168317	0
404	0	265.27654320987654	0
405	0	264.6231527093596	0
406	0	263.97297297297297	0
407	0	263.32598039215685	0
408	0	262.68215158924204	0
409	0	262.04146341463417	0
410	0	261.40389294403894	0
411	0	260.7694174757282	0
412	0	260.13801452784503	0
413	0	259.5096618357488	0
414	0	258.8843373493976	0
415	0	258.2620192307692	0
416	0	257.64268585131896	0
417	0	257.0263157894737	0
418	0	256.4128878281623	0
419	0	255.80238095238096	0
420	0	255.19477434679334	0
421	0	254.59004739336493	0
422	0	253.98817966903073	0
423	0	253.38915094339623	0
424	0	252.79294117647058	0
425	0	252.19953051643193	0
426	0	251.60889929742387	0
427	0	251.0210280373832	0
428	0	250.43589743589743	0
429	0	249.853488372093	0
430	0	249.2737819025522	0
431	0	248.69675925925927	0
432	0	248.12240184757505	0
433	0	247.55069124423963	0
434	0	246.98160919540229	0
435	0	246.4151376146789	0
436	0	245.8512585812357	0
437	0	245.28995433789953	0
438	0	244.73120728929385	0
439	0	244.175	0
440	0	243.62131519274377	0
441	0	243.07013574660633	0
442	0	242.5214446952596	0
443	0	241.97522522522522	0
444	0	241.4314606741573	0
445	0	240.89013452914799	0
446	0	240.35123042505592	0
447	0	239.81473214285714	0
448	0	239.2806236080178	0
449	0	238.7488888888889	0
450	0	238.21951219512195	0
451	0	237.69247787610618	0
452	0	237.16777041942606	0
453	0	236.64537444933922	0
454	0	236.12527472527472	0
455	0	235.60745614035088	0
456	0	235.09190371991247	0
457	0	234.57860262008734	0
458	0	234.06753812636165	0
459	0	233.55869565217392	0
460	0	233.0520607375271	0
461	0	232.54761904761904	0
462	0	232.04535637149027	0
463	0	231.54525862068965	0
464	0	231.047311827957	0
465	0	230.55150214592274	0
466	0	230.05781584582442	0
467	0	229.56623931623932	0
468	0	229.07675906183368	0
469	0	228.58936170212766	0
470	0	228.10403397027602	0
471	0	227.62076271186442	0
472	0	227.13953488372093	0
473	0	226.66033755274262	0
474	0	226.18315789473684	0
475	0	225.7079831932773	0
476	0	225.23480083857442	0
477	0	224.76359832635984	0
478	0	224.29436325678498	0
479	0	223.82708333333332	0
480	0	223.36174636174636	0
481	0	222.89834024896265	0
482	0	222.4368530020704	0
483	0	221.97727272727272	0
484	0	221.519587628866	0
485	0	221.06378600823047	0
486	0	220.6098562628337	0
487	0	220.1577868852459	0
488	0	219.70756646216768	0
489	0	219.25918367346938	0
490	0	218.81262729124236	0
491	0	218.3678861788618	0
492	0	217.92494929006085	0
493	0	217.4838056680162	0
494	0	217.04444444444445	0
495	0	216.60685483870967	0
496	0	216.17102615694165	0
497	0	215.73694779116465	0
498	0	215.30460921843687	0
499	0	214.874	0
