Cycle	Average Remaining	Standard Deviation

0	99.58	2.925371771245527
1	99.255	3.307147562477381
2	98.905	3.6528858454652537
3	98.52573713143428	4.020402010591073
4	98.2	4.286723690652386
5	97.10855427713857	5.590052851155002
6	96.38403990024938	6.069847976565619
7	95.7064128256513	6.392025777654091
8	95.18168242906918	6.700662348942184
9	94.56435643564356	6.988114322907218
10	93.43349753694581	8.296281693425449
11	92.56043413912185	8.512775657327566
12	91.75655616031668	8.864205010174736
13	91.10782865583457	9.091285516426899
14	90.44182621502209	9.133287932420624
15	89.33333333333333	10.166747026361957
16	88.49093581577658	10.682560158462698
17	87.45579567779961	11.043306586783332
18	86.49261083743842	11.524249154334742
19	85.8716049382716	11.901540900724346
20	84.90332176499751	12.952738322790285
21	84.17165668662675	13.545708588716677
22	83.34825870646766	13.979158446398998
23	82.59481037924152	14.204573674252886
24	82.07433450527373	14.422984779655204
25	80.99849473156046	15.448189293469367
26	80.0752256770311	15.790666604183059
27	79.49824385348721	16.175103019388555
28	79.06860290435654	16.61738898082315
29	78.49800399201597	17.042160143879396
30	77.44	17.897262360484106
31	76.62994491737606	18.284769512893188
32	76.11835506519559	18.788202477754627
33	75.8987090367428	19.194297398747793
34	75.45816733067728	19.543797189166963
35	74.78304239401496	20.169413261440244
36	74.44664031620553	20.8761798566391
37	74.14066369489846	21.280535511033875
38	73.83629191321499	21.826872809190533
39	73.43151693667157	22.557576563462142
40	72.82375851996105	23.325336453949767
41	72.28655544651619	23.890614669302057
42	71.84931506849315	24.40948016720304
43	71.53996101364523	24.691806662932777
44	71.24693176239568	25.278400739839462
45	70.63484251968504	26.309122778442074
46	70.03461918892187	26.86121321613073
47	69.87745098039215	27.31094578215052
48	69.50659501709819	27.505669966867927
49	69.39882697947215	27.94366355576285
50	68.85341074020319	28.366152086721364
51	68.38584585555017	29.104369080526293
52	68.05758906783797	29.384563329386705
53	67.98729848558867	29.787119639729763
54	67.70087124878994	30.226616905240753
55	66.97596153846153	30.562659575338966
56	66.57101865136299	30.94620696275697
57	65.93374939990399	31.391190856191688
58	65.7593123209169	31.75508892768344
59	65.75	31.871851277359994
60	65.2385496183206	32.25005923150948
61	64.74236641221374	32.40962049112514
62	64.47318007662835	32.8974227733095
63	64.22318422318422	33.22213739641268
64	64.34615384615384	33.635692906168934
65	63.91911410688493	34.14659004629996
66	63.42028985507246	34.514798297937276
67	63.28147788040836	34.81060573469983
68	63.14437984496124	35.00445803278541
69	63.06608357628766	35.094100518004446
70	62.92292777508483	35.42386433687204
71	62.74232830004871	35.816196508476885
72	62.55339805825243	35.936288287899394
73	62.7579556412729	36.00197505596739
74	62.7063339731286	36.17322512510001
75	62.708631378159275	36.38022796819129
76	62.65054528212423	36.48156495142625
77	62.52385496183206	36.41006479257757
78	62.68465909090909	36.510284648217095
79	62.72598201609087	36.804641816052516
80	62.63507109004739	36.66389980528449
81	62.82618935468676	36.43878251915194
82	62.89719626168224	36.76557591978877
83	63.045923149015934	36.71437819775985
84	63.00187617260788	36.81534848518475
85	62.64373232799246	36.65739241322406
86	62.388625592417064	36.7245952505754
87	62.32954545454545	36.805348726830424
88	62.19327333017527	36.98416319788364
89	62.37914691943128	36.92390630484753
90	62.21112696148359	36.78287022740552
91	62.19256434699714	36.83934517137872
92	62.18034351145038	36.859944442508265
93	62.4287072243346	36.84490871345991
94	62.24401913875598	36.91249629191175
95	62.15554488718195	36.81872267155259
96	62.04501915708812	36.76288479886491
97	62.37935977066412	36.922895157325
98	62.511893434823975	36.63436606581831
99	62.70773638968481	36.828338382182736
100	62.5298900047824	36.96666825274065
101	62.79446828803052	36.70668462587698
102	63.042857142857144	36.514228891825546
103	63.24928639391056	36.481786968906825
104	63.4720908230842	36.453662121849725
105	63.436754176610975	36.17906051064029
106	63.277431720172494	36.04860185105236
107	63.510282161645144	36.0237152624088
108	63.5933014354067	35.89702164653094
109	63.77979027645377	36.08839996934845
110	63.69554810914313	36.18530049269335
111	63.87686387686388	36.07957739573479
112	64.02017291066282	36.09127737681988
113	64.23354156655454	36.30673501283991
114	64.50145208131656	36.37848806001025
115	64.56616577799322	36.42632619332175
116	65.08540751586139	36.130979356275404
117	65.2101661779081	36.11380162690021
118	65.28864970645793	36.19065891160825
119	65.42814960629921	36.30260548038634
120	65.60019598236158	36.536807427627664
121	65.66454144188327	36.21770099032848
122	65.7568359375	36.070304290592084
123	65.82067613914748	35.684407435846886
124	66.3155316021558	35.780791991042555
125	66.14818449460255	35.81560635342738
126	66.3671875	35.56740907599127
127	66.5903555772041	35.352633373868635
128	66.86676427525622	35.38265091163281
129	67.17274939172749	35.4282347890919
130	67.31494920174165	35.154464117440014
131	67.39446870451238	35.21415338253785
132	67.78260869565217	34.955587388671404
133	68.06640625	34.93948200315691
134	68.34956183057449	35.04990142443231
135	68.488824101069	35.11815503839239
136	69.11325301204819	35.09167638055448
137	69.14534041525833	34.881627139567826
138	69.52542372881356	34.9599023399288
139	69.7677793904209	34.78850052679601
140	70.01447876447877	34.94505689541276
141	70.16908212560386	34.94907328052374
142	70.25778210116732	34.957548705133334
143	70.25316455696202	35.027945584713635
144	70.35939776590578	34.89239919621307
145	70.35173424523693	35.12311612812366
146	70.63507572056669	34.937613976636534
147	71.11056989771066	34.81449092670433
148	71.24084025403029	34.82950688280096
149	71.7131669114048	34.87401222582347
150	71.72090729783038	35.01650664781561
151	72.26608187134502	34.77622762262271
152	72.3972602739726	34.96310109523043
153	72.6806640625	35.06401100914756
154	72.89769946157611	35.02569303608628
155	72.9960899315738	35.062056430846155
156	73.35613092330239	34.93519306001145
157	73.42801175318316	35.2005171575822
158	73.681640625	35.264995658914266
159	74.05378973105134	35.25824018658756
160	74.35121951219512	34.87927611690133
161	74.72398632144602	34.732436795433365
162	74.7766323024055	34.62307057188586
163	75.13712047012733	34.439225343470284
164	75.16510596352883	34.274275499239614
165	75.57142857142857	34.13469407950604
166	75.90975968612065	34.33224370536179
167	76.337890625	34.37413994840282
168	76.78015564202335	34.27920881399975
169	77.11013645224172	34.25366491220715
170	77.5217812197483	34.182986631598766
171	77.85852713178295	34.243119425530075
172	78.13468992248062	34.308510903271596
173	78.60318994683422	34.07617681810559
174	79.21407907425265	33.89866156368033
175	79.27704997573993	34.04574126389195
176	79.52866861030127	34.04333873263863
177	79.90305380513814	33.79785214992355
178	79.93154034229829	33.939412790034865
179	80.31691857630425	33.66643635795781
180	80.29006882989184	33.83148654775112
181	80.58765915768853	33.53657093124132
182	80.84479371316307	33.29590783720345
183	81.17444717444718	33.133965095955745
184	81.39753086419753	32.33631001811403
185	81.52517275419545	32.23290820031601
186	81.78942165101334	31.694316800392645
187	82.011863568957	31.782144059095078
188	82.52714708785784	31.736473267316295
189	82.85433070866142	31.618625337369252
190	82.97830374753451	31.256152987535504
191	83.14595660749507	31.348426103937207
192	83.32021642892278	31.414325204991684
193	83.39724680432646	31.173957698199434
194	83.59251968503936	31.26643036355984
195	83.75554460325283	30.907521838089533
196	83.83366141732283	31.0518116343273
197	84.15399705738106	30.93040355352424
198	84.42864149092692	30.38427574120965
199	84.71050049067713	30.081521092314865
200	84.77575160177427	29.75435446211764
201	84.98276710979813	29.68662660050571
202	85.32218396458435	29.81881111649734
203	85.54027504911592	29.84840623493172
204	85.82390555828825	29.410645064781676
205	86.01577909270218	29.076923812788447
206	86.29411764705883	29.039328222630736
207	86.56585365853658	28.639282374798924
208	86.6780654616512	28.35807405789351
209	86.91183633706771	28.140448676622846
210	87.03451628585319	27.88124331466091
211	87.1638141809291	27.87164240463917
212	87.42061553492917	27.44955417861125
213	87.76911836337068	26.881447557009846
214	88.00586510263929	26.715818822052892
215	88.16455696202532	26.766903019127817
216	88.40931134820562	26.718870934097485
217	88.47868217054264	26.723708245430007
218	88.55339805825243	26.477230528326995
219	88.63746958637469	26.505013340992488
220	88.77669902912622	26.36568606070412
221	89.10058027079303	25.90463218010015
222	89.20520231213872	25.904684361694557
223	89.40009675858732	25.41743529029562
224	89.46987951807229	25.392219545970057
225	89.76978417266187	25.084017680549785
226	90.07187350263536	24.63580632170325
227	90.27831094049904	24.659982701759105
228	90.35594035594036	24.698081537646658
229	90.51566265060241	24.280947168777693
230	90.53114437469821	24.243207955051325
231	90.61776061776062	24.251319168613634
232	90.76029055690073	24.18263413344167
233	90.8843537414966	24.109096910570937
234	90.99221789883268	24.114077697598088
235	91.07699805068226	24.11491246565193
236	91.12634671890304	24.146173549808818
237	91.24693176239568	23.908464946834787
238	91.4223088163663	23.749510485042027
239	91.67235494880546	23.540992963206044
240	91.46601941747574	23.603267625991464
241	91.66344294003868	23.290470242952143
242	91.87800192122958	22.838717725493808
243	92.05288461538461	22.82786120569198
244	92.2153110047847	22.13323330386066
245	92.39328537170263	21.42985127634341
246	92.51084337349397	20.89496116160864
247	92.607861936721	20.87030748222197
248	92.88867562380038	20.28946265767114
249	92.90197971994206	20.328742923810264
250	93.13189448441247	20.221355539878047
251	93.33012048192771	20.253369118788857
252	93.39294345094248	20.206676144561957
253	93.56137797185832	20.108344790824095
254	93.75725338491296	19.714882846698046
255	93.87548262548262	19.726117381754605
256	93.9351403678606	19.691365461081233
257	94.09685230024213	19.45302862197552
258	94.15653864851726	19.275216231630594
259	94.29054054054055	19.223643038854192
