Cycle	Cumulative Occupancy

0	4130.0
1	9410.0
2	15630.0
3	22690.0
4	30440.0
5	40010.0
6	50390.0
7	61410.0
8	73030.0
9	85430.0
10	99260.0
11	114390.0
12	130250.0
13	146750.0
14	163850.0
15	181930.0
16	200860.0
17	220190.0
18	240000.0
19	259930.0
20	280610.0
21	301500.0
22	322880.0
23	344380.0
24	365640.0
25	387180.0
26	408500.0
27	429540.0
28	450220.0
29	470960.0
30	492110.0
31	513520.0
32	534840.0
33	555800.0
34	576500.0
35	597240.0
36	617520.0
37	637810.0
38	657730.0
39	677700.0
40	697660.0
41	717690.0
42	737570.0
43	757180.0
44	776430.0
45	795440.0
46	814260.0
47	832830.0
48	851280.0
49	869810.0
50	887970.0
51	905810.0
52	923290.0
53	940870.0
54	958170.0
55	975430.0
56	992410.0
57	1009060.0
58	1025350.0
59	1041110.0
60	1057240.0
61	1073120.0
62	1088740.0
63	1104130.0
64	1119040.0
65	1134190.0
66	1149080.0
67	1163550.0
68	1178280.0
69	1192770.0
70	1206970.0
71	1220920.0
72	1234610.0
73	1248100.0
74	1261280.0
75	1274550.0
76	1287430.0
77	1300150.0
78	1312630.0
79	1324870.0
80	1337430.0
81	1349940.0
82	1362200.0
83	1374520.0
84	1386550.0
85	1398310.0
86	1409790.0
87	1421020.0
88	1432170.0
89	1443120.0
90	1454000.0
91	1464720.0
92	1475210.0
93	1485600.0
94	1495820.0
95	1505820.0
96	1515370.0
97	1524680.0
98	1533910.0
99	1543040.0
100	1552200.0
101	1561110.0
102	1569930.0
103	1578430.0
104	1586720.0
105	1594850.0
106	1602790.0
107	1610720.0
108	1618500.0
109	1626200.0
110	1633530.0
111	1640760.0
112	1647710.0
113	1654420.0
114	1661060.0
115	1667690.0
116	1674090.0
117	1680750.0
118	1687210.0
119	1693490.0
120	1699660.0
121	1705730.0
122	1711630.0
123	1717390.0
124	1723030.0
125	1728650.0
126	1734220.0
127	1739660.0
128	1744870.0
129	1750040.0
130	1755290.0
131	1760380.0
132	1765330.0
133	1770170.0
134	1774810.0
135	1780130.0
136	1785350.0
137	1790490.0
138	1795450.0
139	1800270.0
140	1805010.0
141	1809650.0
142	1814190.0
143	1818640.0
144	1822990.0
145	1827420.0
146	1831760.0
147	1836000.0
148	1840150.0
149	1844200.0
150	1848250.0
151	1852270.0
152	1856250.0
153	1860130.0
154	1863940.0
155	1868090.0
156	1872180.0
157	1876230.0
158	1880210.0
159	1884090.0
160	1888070.0
161	1891970.0
162	1895830.0
163	1899600.0
164	1903330.0
165	1907010.0
166	1910590.0
167	1914090.0
168	1917460.0
169	1920770.0
170	1924030.0
171	1927200.0
172	1930310.0
173	1933300.0
174	1936190.0
175	1939070.0
176	1941850.0
177	1944500.0
178	1947040.0
179	1949550.0
180	1952010.0
181	1954410.0
182	1956790.0
183	1959130.0
184	1961400.0
185	1963650.0
186	1965880.0
187	1968050.0
188	1970200.0
189	1972290.0
190	1974390.0
191	1976450.0
192	1978450.0
193	1980430.0
194	1982360.0
195	1984270.0
196	1986160.0
197	1988040.0
198	1989840.0
199	1991610.0
200	1993340.0
201	1995020.0
202	1996650.0
203	1998210.0
204	1999630.0
205	2001110.0
206	2002540.0
207	2003900.0
208	2005220.0
209	2006530.0
210	2007800.0
211	2009070.0
212	2010330.0
213	2011570.0
214	2012810.0
215	2014020.0
216	2015230.0
217	2016420.0
218	2017570.0
219	2018720.0
220	2019900.0
221	2021030.0
222	2022160.0
223	2023260.0
224	2024330.0
225	2025590.0
226	2026840.0
227	2028050.0
228	2029250.0
229	2030450.0
230	2031640.0
231	2032790.0
232	2033900.0
233	2034980.0
234	2036050.0
235	2037130.0
236	2038210.0
237	2039240.0
238	2040260.0
239	2041240.0
240	2042210.0
241	2043110.0
242	2044000.0
243	2044880.0
244	2045710.0
245	2046560.0
246	2047390.0
247	2048220.0
248	2049020.0
249	2049800.0
250	2050560.0
251	2051310.0
252	2052050.0
253	2052760.0
254	2053450.0
255	2054130.0
256	2054790.0
257	2055430.0
258	2056070.0
259	2056710.0
260	2057330.0
261	2057940.0
262	2058550.0
263	2059150.0
264	2059750.0
265	2060320.0
266	2060870.0
267	2061410.0
268	2061940.0
269	2062440.0
270	2062920.0
271	2063400.0
272	2063830.0
273	2064260.0
274	2064690.0
275	2065110.0
276	2065520.0
277	2065930.0
278	2066330.0
279	2066720.0
280	2067110.0
281	2067460.0
282	2067810.0
283	2068140.0
284	2068470.0
285	2068790.0
286	2069110.0
287	2069420.0
288	2069730.0
289	2070030.0
290	2070330.0
291	2070630.0
292	2070930.0
293	2071230.0
294	2071530.0
295	2071830.0
296	2072130.0
297	2072420.0
298	2072700.0
299	2072980.0
300	2073250.0
301	2073520.0
302	2073780.0
303	2074040.0
304	2074290.0
305	2074530.0
306	2074770.0
307	2074990.0
308	2075180.0
309	2075370.0
310	2075560.0
311	2075750.0
312	2075930.0
313	2076100.0
314	2076270.0
315	2076440.0
316	2076610.0
317	2076780.0
318	2076950.0
319	2077120.0
320	2077280.0
321	2077440.0
322	2077590.0
323	2077740.0
324	2077890.0
325	2078030.0
326	2078170.0
327	2078310.0
328	2078450.0
329	2078590.0
330	2078730.0
331	2078860.0
332	2078990.0
333	2079120.0
334	2079250.0
335	2079380.0
336	2079510.0
337	2079640.0
338	2079760.0
339	2079880.0
340	2080000.0
341	2080120.0
342	2080230.0
343	2080340.0
344	2080440.0
345	2080540.0
346	2080640.0
347	2080690.0
348	2080740.0
349	2080790.0
350	2080840.0
351	2080890.0
352	2080940.0
353	2080990.0
354	2081040.0
355	2081090.0
356	2081140.0
357	2081190.0
358	2081240.0
359	2081290.0
360	2081340.0
361	2081390.0
362	2081440.0
363	2081490.0
364	2081540.0
365	2081590.0
366	2081640.0
367	2081690.0
368	2081730.0
369	2081770.0
370	2081810.0
371	2081850.0
372	2081890.0
373	2081930.0
374	2081970.0
375	2082010.0
376	2082050.0
377	2082090.0
378	2082130.0
379	2082170.0
380	2082210.0
381	2082250.0
382	2082290.0
383	2082330.0
384	2082370.0
385	2082410.0
386	2082450.0
387	2082490.0
388	2082530.0
389	2082570.0
390	2082610.0
391	2082650.0
392	2082680.0
393	2082710.0
394	2082740.0
395	2082770.0
396	2082800.0
397	2082830.0
398	2082860.0
399	2082890.0
400	2082920.0
401	2082950.0
402	2082980.0
403	2083000.0
404	2083020.0
405	2083040.0
406	2083060.0
407	2083080.0
408	2083100.0
409	2083120.0
410	2083140.0
411	2083160.0
412	2083180.0
413	2083200.0
414	2083220.0
415	2083240.0
416	2083260.0
417	2083280.0
418	2083290.0
419	2083300.0
420	2083310.0
421	2083320.0
422	2083330.0
423	2083340.0
424	2083350.0
425	2083360.0
426	2083370.0
427	2083380.0
428	2083390.0
429	2083400.0
430	2083410.0
431	2083420.0
432	2083430.0
433	2083440.0
434	2083450.0
435	2083450.0
436	2083450.0
437	2083450.0
438	2083450.0
439	2083450.0
440	2083450.0
441	2083450.0
442	2083450.0
443	2083450.0
444	2083450.0
445	2083450.0
446	2083450.0
447	2083450.0
448	2083450.0
449	2083450.0
450	2083450.0
451	2083450.0
452	2083450.0
453	2083450.0
454	2083450.0
455	2083450.0
456	2083450.0
457	2083450.0
458	2083450.0
459	2083450.0
460	2083450.0
461	2083450.0
462	2083450.0
463	2083450.0
464	2083450.0
465	2083450.0
466	2083450.0
467	2083450.0
468	2083450.0
469	2083450.0
470	2083450.0
471	2083450.0
472	2083450.0
473	2083450.0
474	2083450.0
475	2083450.0
476	2083450.0
477	2083450.0
478	2083450.0
479	2083450.0
480	2083450.0
481	2083450.0
482	2083450.0
483	2083450.0
484	2083450.0
485	2083450.0
486	2083450.0
487	2083450.0
488	2083450.0
489	2083450.0
490	2083450.0
491	2083450.0
492	2083450.0
493	2083450.0
