Cycle	Now Cost	Average Cost	Number of Replication

0	528	528.0	412
1	184	356.0	300
2	147	286.3333333333333	328
3	121	245.0	312
4	101	216.2	280
5	143	204.0	332
6	116	191.42857142857142	332
7	97	179.625	280
8	105	171.33333333333334	276
9	115	165.7	324
10	184	167.36363636363637	376
11	188	169.08333333333334	352
12	146	167.30769230769232	360
13	121	164.0	280
14	111	160.46666666666667	260
15	152	159.9375	276
16	159	159.88235294117646	252
17	93	156.16666666666666	188
18	95	152.94736842105263	200
19	74	149.0	164
20	101	146.71428571428572	160
21	84	143.86363636363637	120
22	107	142.2608695652174	100
23	63	138.95833333333334	84
24	33	134.72	76
25	66	132.07692307692307	64
26	22	128.0	32
27	28	124.42857142857143	20
28	13	120.58620689655173	20
29	54	118.36666666666666	56
30	85	117.29032258064517	36
31	91	116.46875	32
32	69	115.03030303030303	32
33	28	112.47058823529412	20
34	21	109.85714285714286	16
35	61	108.5	36
36	1907	157.1081081081081	15
37	44	154.1315789473684	20
38	16	150.5897435897436	24
39	54	148.175	32
40	49	145.7560975609756	28
41	925	164.3095238095238	21
42	883	181.02325581395348	5
43	23	177.4318181818182	12
44	20	173.93333333333334	8
45	29	170.7826086956522	16
46	4826	269.82978723404256	25
47	22	264.6666666666667	16
48	42	260.1224489795918	16
49	40	255.72	8
50	5635	361.19607843137254	11
51	7	354.38461538461536	4
52	9	347.8679245283019	4
53	33	342.037037037037	8
54	7	335.94545454545454	4
55	5222	423.19642857142856	25
56	6	415.87719298245617	4
57	0	408.7068965517241	0
58	13	402.0	4
59	1	395.31666666666666	4
60	30	389.327868852459	8
61	11	383.2258064516129	8
62	19	377.44444444444446	8
63	16	371.796875	8
64	0	366.0769230769231	0
65	592	369.5	5
66	0	363.9850746268657	0
67	1228	376.69117647058823	2
68	37	371.768115942029	12
69	718	376.7142857142857	1
70	5255	445.4225352112676	6
71	1008	453.2361111111111	1
72	0	447.027397260274	0
73	0	440.9864864864865	0
74	1617	456.6666666666667	2
75	713	460.0394736842105	9
76	4401	511.2207792207792	7
77	0	504.6666666666667	0
78	0	498.27848101265823	0
79	2107	518.3875	3
80	885	522.9135802469136	5
81	17	516.7439024390244	4
82	0	510.51807228915663	0
83	16	504.6309523809524	8
84	993	510.3764705882353	1
85	9	504.54651162790697	4
86	6261	570.7126436781609	6
87	0	564.2272727272727	0
88	1936	579.6404494382023	6
89	1930	594.6444444444444	2
90	4957	642.5824175824176	6
91	0	635.5978260869565	0
92	6631	700.0645161290323	8
93	0	692.6170212765958	0
94	0	685.3263157894737	0
95	10770	790.375	13
96	1705	799.8041237113403	2
97	732	799.1122448979592	1
98	1187	803.030303030303	1
99	2921	824.21	3
100	13182	946.5643564356436	15
101	2930	966.0098039215686	4
102	787	964.2718446601941	1
103	11036	1061.1153846153845	11
104	3511	1084.4476190476191	5
105	4470	1116.3867924528302	6
106	968	1115.0	1
107	11	1104.7777777777778	4
108	2188	1114.7155963302753	3
109	3217	1133.8272727272727	4
110	16560	1272.8018018018017	21
