Cycle	Availability	Now Replications	Total Replications

0	1.0	455.0	455.0
1	1.0	570.0	570.0
2	0.9984615384615385	649.0	650.0
3	0.99055330634278	734.0	741.0
4	0.9825870646766169	790.0	804.0
5	0.972027972027972	834.0	858.0
6	0.9609704641350211	911.0	948.0
7	0.9564007421150278	1031.0	1078.0
8	0.9487179487179487	1110.0	1170.0
9	0.9416058394160584	1161.0	1233.0
10	0.9426829268292682	1546.0	1640.0
11	0.9372592184920198	1703.0	1817.0
12	0.9312467932272961	1815.0	1949.0
13	0.9174664107485605	1912.0	2084.0
14	0.9099018733273863	2040.0	2242.0
15	0.900836820083682	2153.0	2390.0
16	0.8882259347653142	2233.0	2514.0
17	0.8735055919784034	2265.0	2593.0
18	0.8581533879374534	2305.0	2686.0
19	0.8436258577103648	2336.0	2769.0
20	0.8306280875088214	2354.0	2834.0
21	0.8186775732788003	2402.0	2934.0
22	0.8140835801250411	2474.0	3039.0
23	0.8017436228608331	2483.0	3097.0
24	0.7933858267716536	2519.0	3175.0
25	0.7806748466257669	2545.0	3260.0
26	0.767462957363169	2538.0	3307.0
27	0.7587339504329651	2541.0	3349.0
28	0.7470518867924528	2534.0	3392.0
29	0.732592159157402	2504.0	3418.0
30	0.7250996015936255	2548.0	3514.0
31	0.7121636771300448	2541.0	3568.0
32	0.7019977802441731	2530.0	3604.0
33	0.6924134139637164	2519.0	3638.0
34	0.6843105320304017	2521.0	3684.0
35	0.69175	2767.0	4000.0
36	0.6892285298398836	2841.0	4122.0
37	0.6835112692763938	2881.0	4215.0
38	0.6730321378667908	2890.0	4294.0
39	0.6646048109965635	2901.0	4365.0
40	0.6779121578612349	3195.0	4713.0
41	0.6713991769547325	3263.0	4860.0
42	0.6721900578957876	3367.0	5009.0
43	0.667704280155642	3432.0	5140.0
44	0.6582012602635097	3447.0	5237.0
45	0.6579289830823574	3539.0	5379.0
46	0.653915553951642	3624.0	5542.0
47	0.6492563739376771	3667.0	5648.0
48	0.642869550112906	3701.0	5757.0
49	0.6314266258086483	3709.0	5874.0
50	0.6310503786631544	3833.0	6074.0
51	0.6227660602157462	3868.0	6211.0
52	0.6197272438947035	3908.0	6306.0
53	0.6101325019485581	3914.0	6415.0
54	0.6048362411998776	3952.0	6534.0
55	0.602510460251046	4032.0	6692.0
56	0.5965405085748078	4035.0	6764.0
57	0.5883985973115138	4027.0	6844.0
58	0.580668499493561	4013.0	6911.0
59	0.5726593911545089	3988.0	6964.0
60	0.5694405397807141	4051.0	7114.0
61	0.5604625243800502	4023.0	7178.0
62	0.5539757040309221	4013.0	7244.0
63	0.5464256368118324	3990.0	7302.0
64	0.5378151260504201	3968.0	7378.0
65	0.5425685425685426	4136.0	7623.0
66	0.5366865439460721	4140.0	7714.0
67	0.5268610897927859	4119.0	7818.0
68	0.5187294355859277	4099.0	7902.0
69	0.5124122367101304	4087.0	7976.0
70	0.5305275637225845	4475.0	8435.0
71	0.5315147997678468	4579.0	8615.0
72	0.5266285714285714	4608.0	8750.0
73	0.5221946822893195	4635.0	8876.0
74	0.5194834112669784	4666.0	8982.0
75	0.5225254494260342	4825.0	9234.0
76	0.5191076003415884	4863.0	9368.0
77	0.5146235877943195	4874.0	9471.0
78	0.5089639357932041	4883.0	9594.0
79	0.5044887008564648	4889.0	9691.0
80	0.5060132291040289	5049.0	9978.0
81	0.504200850054364	5101.0	10117.0
82	0.5041885836742646	5176.0	10266.0
83	0.49961471778077443	5187.0	10382.0
84	0.49818702290076333	5221.0	10480.0
85	0.506759863883013	5510.0	10873.0
86	0.5019465821638751	5544.0	11045.0
87	0.5000447267197424	5590.0	11179.0
88	0.49805413055015035	5631.0	11306.0
89	0.49707091020372474	5685.0	11437.0
90	0.5045319779754341	5956.0	11805.0
91	0.5013382402141184	5994.0	11956.0
92	0.5008260366760284	6063.0	12106.0
93	0.496	6076.0	12250.0
94	0.4891830804003875	6060.0	12388.0
95	0.49267183948585314	6286.0	12759.0
96	0.49291980914268124	6405.0	12994.0
97	0.49466434572012413	6536.0	13213.0
98	0.4912556053811659	6573.0	13380.0
99	0.4863985807214666	6580.0	13528.0
100	0.4929083094555874	6881.0	13960.0
101	0.4924499012136607	6979.0	14172.0
102	0.4858595709111173	6975.0	14356.0
103	0.483568722011712	7019.0	14515.0
104	0.4793331966933115	7016.0	14637.0
105	0.48881831414582505	7388.0	15114.0
106	0.48132942326490713	7386.0	15345.0
107	0.47958855673416906	7460.0	15555.0
108	0.4741291634884312	7459.0	15732.0
109	0.466057358966278	7394.0	15865.0
110	0.45725	7316.0	16000.0
111	0.4529893326717936	7304.0	16124.0
112	0.44373882483507	7197.0	16219.0
113	0.4391887751975982	7168.0	16321.0
114	0.43461046476213683	7135.0	16417.0
115	0.43692859276964446	7312.0	16735.0
116	0.43214116532449076	7298.0	16888.0
117	0.42895741556534506	7303.0	17025.0
118	0.42351498160154194	7251.0	17121.0
119	0.41519855805570094	7141.0	17199.0
120	0.41785531624708755	7353.0	17597.0
121	0.41482774149966223	7369.0	17764.0
122	0.4116859199732128	7377.0	17919.0
123	0.4069393637069061	7342.0	18042.0
124	0.4050214734060126	7356.0	18162.0
125	0.40926724137931036	7596.0	18560.0
126	0.4037074630055024	7557.0	18719.0
127	0.4004239533651298	7556.0	18870.0
128	0.39611824111087734	7531.0	19012.0
129	0.3949281045751634	7553.0	19125.0
130	0.39603451818368607	7710.0	19468.0
131	0.39273153575615477	7705.0	19619.0
132	0.3910512729665435	7726.0	19757.0
133	0.3872361809045226	7706.0	19900.0
134	0.3837116288371163	7675.0	20002.0
135	0.38719960765080924	7895.0	20390.0
136	0.3839120708102325	7894.0	20562.0
137	0.38061499903605167	7897.0	20748.0
138	0.37464748338989534	7838.0	20921.0
139	0.36924392909756215	7770.0	21043.0
140	0.3683520599250936	7868.0	21360.0
141	0.3654105292504995	7864.0	21521.0
142	0.3612098822442854	7822.0	21655.0
143	0.35659840205712184	7766.0	21778.0
144	0.3527475541739051	7716.0	21874.0
145	0.35100351003510033	7800.0	22222.0
146	0.3496875	7833.0	22400.0
147	0.34769107927072707	7838.0	22543.0
148	0.3425811573747354	7767.0	22672.0
149	0.3406685114419994	7756.0	22767.0
150	0.34077750206782464	7828.0	22971.0
151	0.3395093720307506	7861.0	23154.0
152	0.33530953301542293	7805.0	23277.0
153	0.33045190003423486	7722.0	23368.0
154	0.3222696245733788	7554.0	23440.0
155	0.32409282700421943	7681.0	23700.0
156	0.32173402649672983	7674.0	23852.0
157	0.318596608192008	7646.0	23999.0
158	0.3134446105298123	7549.0	24084.0
159	0.30786098469176665	7441.0	24170.0
160	0.3124414197807572	7667.0	24539.0
161	0.3103350713390728	7678.0	24741.0
162	0.3092862315925002	7687.0	24854.0
163	0.3069437770302739	7665.0	24972.0
164	0.3005625822926226	7533.0	25063.0
165	0.30282299284422426	7702.0	25434.0
166	0.3012067012926153	7713.0	25607.0
167	0.2976343083556695	7662.0	25743.0
168	0.2980605779632205	7715.0	25884.0
169	0.29423076923076924	7650.0	26000.0
170	0.30057650003792763	7925.0	26366.0
171	0.3003160033105109	7983.0	26582.0
172	0.2967493360266337	7933.0	26733.0
173	0.2932708403080013	7884.0	26883.0
174	0.290941411747278	7856.0	27002.0
175	0.29638273045507585	8128.0	27424.0
176	0.29694733796296297	8210.0	27648.0
177	0.29540552200172565	8217.0	27816.0
178	0.29543423075547925	8263.0	27969.0
179	0.2920568234414498	8203.0	28087.0
180	0.2885570374574347	8135.0	28192.0
181	0.28488618690795986	8060.0	28292.0
182	0.2787624652031432	7911.0	28379.0
183	0.2771825048304936	7890.0	28465.0
184	0.27354951796669585	7803.0	28525.0
185	0.27243578573171157	7817.0	28693.0
186	0.2701614303072383	7782.0	28805.0
187	0.26626973137635	7692.0	28888.0
188	0.26166286543645034	7572.0	28938.0
189	0.25806117874262857	7483.0	28997.0
190	0.260095215261842	7594.0	29197.0
191	0.2583387388617664	7567.0	29291.0
192	0.25528510638297874	7499.0	29375.0
193	0.2512900597501358	7402.0	29456.0
194	0.2483983593776482	7328.0	29501.0
195	0.24644677762398298	7300.0	29621.0
