Cycle	Cumulative Occupancy

0	1170.0
1	3120.0
2	5810.0
3	9230.0
4	13240.0
5	17830.0
6	23060.0
7	28990.0
8	35560.0
9	42660.0
10	51000.0
11	60690.0
12	71280.0
13	82910.0
14	95740.0
15	109610.0
16	124230.0
17	139380.0
18	154980.0
19	171090.0
20	187740.0
21	204800.0
22	222230.0
23	239820.0
24	257690.0
25	275870.0
26	294070.0
27	312310.0
28	330430.0
29	348380.0
30	366280.0
31	383870.0
32	401230.0
33	418350.0
34	435290.0
35	452900.0
36	470840.0
37	489140.0
38	507570.0
39	526060.0
40	545670.0
41	565810.0
42	586780.0
43	608360.0
44	630430.0
45	653330.0
46	676770.0
47	700610.0
48	725070.0
49	749690.0
50	775120.0
51	800740.0
52	826720.0
53	852940.0
54	879260.0
55	905530.0
56	931740.0
57	957930.0
58	983980.0
59	1009930.0
60	1035810.0
61	1061410.0
62	1086740.0
63	1111780.0
64	1136550.0
65	1161670.0
66	1186690.0
67	1211450.0
68	1236100.0
69	1260640.0
70	1286360.0
71	1312910.0
72	1339880.0
73	1367160.0
74	1395000.0
75	1423450.0
76	1452320.0
77	1481430.0
78	1510930.0
79	1540700.0
80	1570880.0
81	1601690.0
82	1633060.0
83	1664830.0
84	1697090.0
85	1731170.0
86	1765840.0
87	1801200.0
88	1837230.0
89	1873730.0
90	1911410.0
91	1949460.0
92	1988300.0
93	2027580.0
94	2067070.0
95	2107490.0
96	2148850.0
97	2191360.0
98	2234620.0
99	2278630.0
100	2324020.0
101	2370500.0
102	2417510.0
103	2465280.0
104	2513470.0
105	2563440.0
106	2613760.0
107	2665290.0
108	2717580.0
109	2769950.0
110	2822310.0
111	2875090.0
112	2927490.0
113	2980090.0
114	3032930.0
115	3086200.0
116	3139500.0
117	3192900.0
118	3246420.0
119	3299380.0
120	3352960.0
121	3406870.0
122	3461170.0
123	3515640.0
124	3570500.0
125	3626340.0
126	3682250.0
127	3738550.0
128	3795130.0
129	3852200.0
130	3909760.0
131	3967600.0
132	4025940.0
133	4084570.0
134	4143260.0
135	4202560.0
136	4262270.0
137	4322480.0
138	4382520.0
139	4442670.0
140	4502960.0
141	4563420.0
142	4624040.0
143	4684480.0
144	4744920.0
145	4804980.0
146	4865460.0
147	4926420.0
148	4986960.0
149	5047790.0
150	5109030.0
151	5170530.0
152	5231610.0
153	5292360.0
154	5352040.0
155	5412250.0
156	5472260.0
157	5532200.0
158	5591570.0
159	5650290.0
160	5709390.0
161	5768390.0
162	5827730.0
163	5887110.0
164	5945800.0
