Cycle	Cumulative Occupancy

0	100.0
1	200.0
2	300.0
3	400.0
4	500.0
5	700.0
6	900.0
7	1100.0
8	1300.0
9	1500.0
10	1800.0
11	2100.0
12	2400.0
13	2700.0
14	3000.0
15	3330.0
16	3730.0
17	4130.0
18	4530.0
19	4930.0
20	5410.0
21	5920.0
22	6430.0
23	6940.0
24	7450.0
25	8910.0
26	11180.0
27	14130.0
28	17640.0
29	21780.0
30	27480.0
31	33750.0
32	40380.0
33	47430.0
34	54910.0
35	63050.0
36	71720.0
37	80900.0
38	90550.0
39	100550.0
40	111230.0
41	122120.0
42	133160.0
43	144290.0
44	155650.0
45	167180.0
46	178730.0
47	190210.0
48	201550.0
49	212920.0
50	224300.0
51	235660.0
52	246810.0
53	257770.0
54	268530.0
55	279310.0
56	289790.0
57	300140.0
58	310320.0
59	320340.0
60	330260.0
61	340060.0
62	349630.0
63	359030.0
64	368320.0
65	377610.0
66	386800.0
67	395840.0
68	404710.0
69	413420.0
70	422090.0
71	430630.0
72	438990.0
73	447230.0
74	455320.0
75	463320.0
76	471290.0
77	479100.0
78	486800.0
79	494370.0
80	501910.0
81	509320.0
82	516620.0
83	523810.0
84	530900.0
85	537960.0
86	544900.0
87	551730.0
88	558430.0
89	564890.0
90	571390.0
91	577850.0
92	584150.0
93	590350.0
94	596440.0
95	602480.0
96	608460.0
97	614330.0
98	620100.0
99	625770.0
100	631540.0
101	637350.0
102	643060.0
103	648760.0
104	654440.0
105	660220.0
106	665960.0
107	671670.0
108	677380.0
109	683090.0
110	688890.0
111	694750.0
112	700620.0
113	706490.0
114	712360.0
115	718280.0
116	724110.0
117	729860.0
118	735550.0
119	741120.0
120	746710.0
121	752260.0
122	757760.0
123	763190.0
124	768530.0
125	774010.0
126	779390.0
127	784770.0
128	790070.0
129	795250.0
130	800530.0
131	805730.0
132	810880.0
133	816010.0
134	821120.0
135	826310.0
136	831440.0
137	836470.0
138	841430.0
139	846270.0
140	851170.0
141	856040.0
142	860830.0
143	865620.0
144	870380.0
145	875180.0
146	879960.0
147	884690.0
148	889370.0
149	893990.0
150	898670.0
151	903310.0
152	907890.0
153	912420.0
154	916920.0
155	921440.0
156	925920.0
157	930370.0
158	934770.0
159	939100.0
160	943610.0
161	948010.0
162	952370.0
163	956670.0
164	960920.0
165	965370.0
166	969750.0
167	974040.0
168	978260.0
169	982460.0
170	986720.0
171	990920.0
172	995040.0
173	999080.0
174	1003110.0
175	1007190.0
176	1011210.0
177	1015190.0
178	1019140.0
179	1023060.0
180	1027070.0
181	1031080.0
182	1035050.0
183	1038990.0
184	1042890.0
185	1046870.0
186	1050790.0
187	1054680.0
188	1058520.0
189	1062330.0
190	1066260.0
191	1070170.0
192	1074050.0
193	1077920.0
194	1081770.0
195	1086040.0
196	1090270.0
197	1094480.0
198	1098640.0
199	1102750.0
200	1106930.0
201	1111060.0
202	1115130.0
203	1119170.0
204	1123160.0
205	1127240.0
206	1131320.0
207	1135390.0
208	1139420.0
209	1143390.0
210	1147480.0
211	1151530.0
212	1155540.0
213	1159520.0
214	1163500.0
215	1167590.0
216	1171690.0
217	1175780.0
218	1179820.0
219	1183820.0
220	1188740.0
221	1193640.0
222	1198500.0
223	1203370.0
224	1208200.0
225	1213050.0
226	1217830.0
227	1222560.0
228	1227290.0
229	1231970.0
230	1236630.0
231	1241260.0
232	1245830.0
233	1250330.0
234	1254800.0
235	1259460.0
236	1264130.0
237	1268870.0
238	1273600.0
239	1278260.0
240	1283010.0
241	1287720.0
242	1292400.0
243	1297090.0
244	1301780.0
245	1306500.0
246	1311250.0
247	1316000.0
248	1320740.0
249	1325550.0
250	1330350.0
251	1335150.0
252	1339930.0
253	1344670.0
254	1349410.0
255	1354130.0
256	1358790.0
257	1363420.0
258	1368020.0
259	1372570.0
260	1377080.0
261	1381560.0
262	1385990.0
263	1390390.0
264	1394740.0
265	1399050.0
266	1403360.0
267	1407620.0
268	1411820.0
269	1415970.0
270	1420020.0
271	1424010.0
272	1427910.0
273	1431760.0
274	1435530.0
275	1439260.0
276	1442950.0
277	1446550.0
278	1450060.0
279	1453520.0
280	1456950.0
281	1460350.0
282	1463750.0
283	1467080.0
284	1470350.0
285	1473620.0
286	1476840.0
287	1480060.0
288	1483190.0
289	1486290.0
290	1489360.0
291	1492400.0
292	1495400.0
293	1498370.0
294	1501320.0
295	1504220.0
296	1507090.0
297	1509950.0
298	1512780.0
299	1515590.0
300	1518390.0
301	1521170.0
302	1523920.0
303	1526660.0
304	1529380.0
305	1532040.0
306	1534690.0
307	1537310.0
308	1539910.0
309	1542480.0
310	1545030.0
311	1547520.0
312	1549980.0
313	1552420.0
314	1554820.0
315	1557210.0
316	1559580.0
317	1561940.0
318	1564260.0
319	1566540.0
320	1568800.0
321	1571060.0
322	1573300.0
323	1575530.0
324	1577730.0
325	1579870.0
326	1582000.0
327	1584090.0
328	1586150.0
329	1588200.0
330	1590240.0
331	1592250.0
332	1594240.0
333	1596200.0
334	1598140.0
335	1600060.0
336	1601940.0
337	1603800.0
338	1605630.0
339	1607450.0
340	1609250.0
341	1611030.0
342	1612770.0
343	1614500.0
344	1616210.0
345	1617910.0
346	1619590.0
347	1621230.0
348	1622860.0
349	1624470.0
350	1626080.0
351	1627670.0
352	1629250.0
353	1630800.0
354	1632320.0
355	1633840.0
356	1635340.0
357	1636830.0
358	1638280.0
359	1639730.0
360	1641150.0
361	1642560.0
362	1643950.0
363	1645310.0
364	1646670.0
365	1648020.0
366	1649360.0
367	1650700.0
368	1652020.0
369	1653320.0
370	1654620.0
371	1655900.0
372	1657170.0
373	1658440.0
374	1659710.0
375	1660960.0
376	1662200.0
377	1663440.0
378	1664650.0
379	1665840.0
380	1667020.0
381	1668180.0
382	1669310.0
383	1670440.0
384	1671550.0
385	1672660.0
386	1673740.0
387	1674820.0
388	1675890.0
389	1676960.0
390	1678010.0
391	1679050.0
392	1680080.0
393	1681090.0
394	1682070.0
395	1683030.0
396	1683990.0
397	1684940.0
398	1685870.0
399	1686780.0
400	1687670.0
401	1688550.0
402	1689420.0
403	1690290.0
404	1691110.0
405	1691910.0
406	1692700.0
407	1693470.0
408	1694230.0
409	1694990.0
410	1695750.0
411	1696510.0
412	1697240.0
413	1697930.0
414	1698610.0
415	1699290.0
416	1699970.0
417	1700640.0
418	1701290.0
419	1701930.0
420	1702560.0
421	1703170.0
422	1703780.0
423	1704380.0
424	1704970.0
425	1705540.0
426	1706090.0
427	1706640.0
428	1707180.0
429	1707710.0
430	1708240.0
431	1708770.0
432	1709280.0
433	1709790.0
434	1710280.0
435	1710770.0
436	1711260.0
437	1711740.0
438	1712200.0
439	1712650.0
440	1713100.0
441	1713540.0
442	1713970.0
443	1714400.0
444	1714810.0
445	1715210.0
446	1715590.0
447	1715950.0
448	1716300.0
449	1716650.0
450	1717000.0
451	1717340.0
452	1717670.0
453	1718000.0
454	1718320.0
455	1718640.0
456	1718960.0
457	1719280.0
458	1719600.0
459	1719900.0
460	1720200.0
461	1720500.0
462	1720800.0
463	1721080.0
464	1721360.0
465	1721640.0
466	1721900.0
467	1722150.0
468	1722400.0
469	1722650.0
470	1722890.0
471	1723130.0
472	1723370.0
473	1723610.0
474	1723850.0
475	1724080.0
476	1724310.0
477	1724540.0
478	1724760.0
479	1724960.0
480	1725160.0
481	1725360.0
482	1725560.0
483	1725750.0
484	1725940.0
485	1726130.0
486	1726320.0
487	1726510.0
488	1726700.0
489	1726890.0
490	1727070.0
491	1727250.0
492	1727430.0
493	1727610.0
494	1727790.0
495	1727960.0
496	1728120.0
497	1728270.0
498	1728420.0
499	1728560.0
