Cycle	Now Cost	Average Cost

0	619	619.0
1	0	309.5
2	0	206.33333333333334
3	0	154.75
4	0	123.8
5	70	114.83333333333333
6	165	122.0
7	82	117.0
8	34	107.77777777777777
9	18	98.8
10	1106	190.36363636363637
11	76	180.83333333333334
12	3	167.15384615384616
13	12	156.07142857142858
14	0	145.66666666666666
15	608	174.5625
16	197	175.88235294117646
17	202	177.33333333333334
18	4	168.21052631578948
19	13	160.45
20	187	161.71428571428572
21	95	158.6818181818182
22	115	156.7826086956522
23	207	158.875
24	53	154.64
25	1552	208.3846153846154
26	50	202.5185185185185
27	252	204.28571428571428
28	39	198.58620689655172
29	34	193.1
30	698	209.38709677419354
31	24	203.59375
32	460	211.36363636363637
33	204	211.14705882352942
34	143	209.2
35	618	220.55555555555554
36	276	222.05405405405406
37	112	219.1578947368421
38	131	216.89743589743588
39	423	222.05
40	98	219.02439024390245
41	82	215.76190476190476
42	258	216.74418604651163
43	376	220.36363636363637
44	64	216.88888888888889
45	1832	252.0
46	58	247.87234042553192
47	54	243.83333333333334
48	1020	259.6734693877551
49	219	258.86
50	932	272.05882352941177
51	30	267.40384615384613
52	1065	282.45283018867923
53	240	281.6666666666667
54	315	282.27272727272725
55	943	294.07142857142856
56	191	292.2631578947368
57	149	289.7931034482759
58	260	289.2881355932203
59	423	291.51666666666665
60	1547	312.0983606557377
61	134	309.2258064516129
62	109	306.04761904761904
63	1	301.28125
64	244	300.4
65	971	310.56060606060606
66	0	305.92537313432837
67	206	304.45588235294116
68	132	301.95652173913044
69	631	306.65714285714284
70	1445	322.6901408450704
71	0	318.2083333333333
72	125	315.56164383561645
73	121	312.93243243243245
74	0	308.76
75	1850	329.0394736842105
76	1112	339.2077922077922
77	678	343.55128205128204
78	876	350.2911392405063
79	740	355.1625
80	2565	382.44444444444446
81	420	382.9024390243902
82	1930	401.5421686746988
83	531	403.0833333333333
84	1137	411.7176470588235
85	2257	433.1744186046512
86	936	438.95402298850576
87	288	437.2386363636364
88	0	432.3258426966292
89	2902	459.76666666666665
90	1933	475.95604395604397
91	849	480.0108695652174
92	390	479.0430107526882
93	2200	497.3510638297872
94	208	494.30526315789473
95	2100	511.03125
96	329	509.1546391752577
97	967	513.8265306122449
98	703	515.7373737373738
99	2341	533.99
100	2945	557.8613861386139
101	369	556.0098039215686
102	1791	568.0
103	1348	575.5
104	1381	583.1714285714286
105	2163	598.0754716981132
106	542	597.5514018691589
107	1164	602.7962962962963
108	914	605.651376146789
109	905	608.3727272727273
110	2794	628.063063063063
111	253	624.7142857142857
112	3275	648.1681415929204
113	917	650.5263157894736
114	659	650.6
115	1926	661.5948275862069
116	2070	673.6324786324786
117	2290	687.3305084745763
118	259	683.7310924369748
119	1595	691.325
120	2721	708.099173553719
121	684	707.9016393442623
122	805	708.6910569105692
123	512	707.1048387096774
124	488	705.352
125	1320	710.2301587301587
126	3029	728.488188976378
127	1212	732.265625
128	1391	737.3720930232558
129	0	731.7
130	1659	738.7786259541984
131	2193	749.7954545454545
132	1704	756.9699248120301
133	618	755.9328358208955
134	2094	765.8444444444444
135	1557	771.6617647058823
136	2018	780.7591240875912
137	2363	792.2246376811594
138	1369	796.3741007194244
139	1292	799.9142857142857
140	1186	802.6524822695036
141	1550	807.9154929577464
142	1460	812.4755244755245
143	1413	816.6458333333334
144	270	812.8758620689655
145	1526	817.7602739726027
146	2225	827.3333333333334
147	2506	838.6756756756756
148	2748	851.489932885906
149	1990	859.08
150	227	854.8940397350993
151	925	855.3552631578947
152	2430	865.6470588235294
153	0	860.025974025974
154	2132	868.2322580645161
155	625	866.6730769230769
156	3247	881.8343949044586
157	96	876.8607594936709
158	1744	882.3144654088051
159	773	881.63125
160	1491	885.416149068323
161	2430	894.9506172839506
162	250	890.9938650306749
163	15	885.6524390243902
164	455	883.0424242424242
165	2251	891.2831325301205
166	1689	896.0598802395209
167	1974	902.4761904761905
168	1782	907.6804733727811
169	2	902.3529411764706
170	2913	914.1111111111111
171	1858	919.5988372093024
172	0	914.2832369942197
173	960	914.5459770114943
174	1953	920.48
175	1960	926.3863636363636
176	4	921.1751412429378
177	1127	922.3314606741573
178	3627	937.4413407821229
179	3016	948.9888888888889
180	2407	957.0441988950276
181	193	952.8461538461538
182	909	952.6065573770492
183	964	952.6684782608696
184	0	947.5189189189189
185	2532	956.0376344086021
186	1154	957.096256684492
187	1184	958.3031914893617
188	1334	960.2910052910053
189	2279	967.2315789473685
190	1454	969.7801047120419
191	275	966.1614583333334
192	2169	972.3937823834196
193	955	972.3041237113403
194	547	970.123076923077
195	677	968.6275510204082
196	1552	971.5888324873097
197	3655	985.1414141414141
198	1395	987.2010050251256
199	1060	987.565
200	1926	992.2338308457712
201	3865	1006.4554455445544
202	5	1001.5221674876848
203	273	997.9509803921569
204	334	994.7121951219513
205	327	991.4708737864078
206	1492	993.8888888888889
207	1664	997.1105769230769
208	618	995.2966507177033
209	1573	998.047619047619
210	7471	1028.7251184834124
211	2248	1034.4764150943397
212	1476	1036.5492957746478
213	515	1034.1121495327102
214	953	1033.7348837209302
215	1061	1033.861111111111
216	2469	1040.4746543778801
217	1113	1040.8073394495414
218	1827	1044.3972602739725
219	5	1039.6727272727273
220	2748	1047.4027149321266
221	1079	1047.545045045045
222	0	1042.847533632287
223	2638	1049.96875
224	1170	1050.5022222222221
225	2059	1054.9646017699115
226	1762	1058.079295154185
227	733	1056.6535087719299
228	605	1054.6812227074236
229	4344	1068.982608695652
230	2931	1077.04329004329
231	2953	1085.1293103448277
232	239	1081.4978540772531
233	322	1078.2521367521367
234	1244	1078.9574468085107
235	2292	1084.0974576271187
236	6295	1106.084388185654
237	1232	1106.6134453781513
238	3253	1115.5941422594142
239	2831	1122.7416666666666
240	2398	1128.033195020747
241	2535	1133.8471074380166
242	3990	1145.6008230452676
243	600	1143.3647540983607
244	850	1142.1673469387756
245	2570	1147.9715447154472
246	24	1143.421052631579
247	1025	1142.9435483870968
248	4422	1156.1124497991968
249	230	1152.408
250	14	1147.8725099601593
251	2758	1154.2619047619048
252	2993	1161.5296442687747
253	478	1158.8385826771653
254	3085	1166.3921568627452
255	1205	1166.54296875
256	322	1163.2568093385214
257	525	1160.7829457364342
258	778	1159.3050193050194
259	2067	1162.7961538461539
260	1818	1165.3065134099618
261	4634	1178.5458015267175
262	4263	1190.273764258555
263	2396	1194.840909090909
264	2631	1200.2603773584906
265	3791	1210.0
266	5498	1226.059925093633
267	1809	1228.2350746268658
268	4090	1238.8736059479554
