cycle Data5 Data15 Data25 Data35 Data45
0
1
2
3
4
5
6
7
8
9
10
11
12
13
14
15
16
17
18
19
20
21
22
23
24
25
26     0
27     0
28     0
29     0
30     5
31     5
32     5
33     5
34     5
35     5
36     5
37     5
38     5
39     5
40     5
41     5
42     5
43     5
44     5
45     5
46     5
47     5
48     5
49     5
50     5
51     5
52     5
53     5
54     5
55     5
56     5
57     5
58     5
59     5
60     5
61     5
62     5
63     5
64     5
65     5
66     5
67     5
68     5
69     5
70     5
71     5
72     5
73     5
74     5
75     5
76     5     0
77     5     0
78     5     0
79     5     9
80     5    15
81     5    20
82     5    25
83     5    30
84     5    41
85     5    46
86     5    58
87     5    71
88     5    80
89     5    91
90     5   117
91     5   141
92     5   154
93     5   175
94     5   200
95     5   236
96     5   267
97     5   297
98     5   321
99     5   354
100     5   383
101     5   420
102     5   454
103     5   494
104     5   531
105     5   564
106     5   599
107     5   599
108     5   599
109     5   599
110     5   599
111     5   599
112     5   599
113     5   586
114     5   581
115     5   574
116     5   574
117     5   568
118     5   554
119     5   543
120     5   543
121     5   521
122     5   495
123     5   465
124     5   457
125     5   457
126     5   440     0
127     5   360     0
128     5   331     0
129     5   318    10
130     5   307    10
131     5   307    10
132     5   287    10
133     5   215    10
134     5   155    10
135     5   129    10
136     5   105    10
137     5    85    10
138     5    51    10
139     5    21    10
140     5     5    10
141     5     5    10
142     5     5    10
143     5     5    10
144     5     5    10
145     5     5    10
146     5     5    10
147     5     5    10
148     5     5    10
149     5     5    10
150     5     5    10
151     5     5    10
152     5     5    10
153     5     5    10
154     5     5    10
155     5     5    10
156     5     5    10
157     5     5    10
158     5     5    10
159     5     5    10
160     5     5    10
161     5     5    10
162     5     5    10
163     5     5    10
164     5     5    10
165     5     5    10
166     5     5    10
167     5     5    10
168     5     5    10
169     5     5    10
170     5     5    10
171     5     5    10
172     5     5    10
173     5     5    10
174     5     5    10
175     5     5    10
176     5     5    10     0
177     5     5    10     0
178     5     5    10     0
179     5     5    10    15
180     5     5    10    16
181     5     5    10    18
182     5     5    10    21
183     5     5    10    23
184     5     5    10    23
185     5     5    10    29
186     5     5    10    31
187     5     5    10    33
188     5     5    10    36
189     5     5    10    43
190     5     5    10    50
191     5     5    10    58
192     5     5    10    61
193     5     5    10    70
194     5     5    10    80
195     5     5    10    94
196     5     5    10   106
197     5     5    10   113
198     5     5    10   123
199     5     5    10   126
200     5     5    10   135
201     5     5    10   143
202     5     5    10   153
203     5     5     8   165
204     5     5     5   176
205     5     5     5   186
